Suburb,2021_population
DONNYBROOK,9552
KALKALLO,18259
MICKLEHAM,5217
ROXBURGH PARK,24433
FITZROY,10609
COLLINGWOOD,9348
ABBOTSFORD,9262
CLIFTON HILL,9980
FITZROY NORTH,12955
NORTHCOTE,25657
THORNBURY,19152
PRESTON,20997
PRESTON WEST,12828
RESERVOIR,27930
THOMASTOWN,20211
LALOR,23663
EPPING,12280
ALPHINGTON,2626
FAIRFIELD,6445
IVANHOE,12561
IVANHOE EAST,1300
BELLFIELD,2506
HEIDELBERG HEIGHTS,9022
HEIDELBERG WEST,3508
MILL PARK,17647
BUNDOORA,6239
KINGSBURY,2022
EAGLEMONT,6500
HEIDELBERG,8380
ROSANNA,7821
VIEWBANK,15112
MACLEOD,8541
YALLAMBIE,3778
WATSONIA,6977
WATSONIA NORTH,2325
BRIAR HILL,4997
GREENSBOROUGH,19947
ST HELENA,1049
DIAMOND CREEK,14539
PLENTY,9522
LOWER PLENTY,4997
MONTMORENCY,6663
ELTHAM,15088
ELTHAM NORTH,8622
HURSTBRIDGE,3573
KEW,24878
KEW EAST,6557
BALWYN,14800
DEEPDENE,1531
BALWYN NORTH,21411
BULLEEN,11371
TEMPLESTOWE,17105
TEMPLESTOWE LOWER,14278
DONCASTER,25172
DONCASTER EAST,15593
DONVALE,16406
NORTH WARRANDYTE,6985
WARRANDYTE,10183
CHIRNSIDE PARK,11873
BURNLEY,601
CREMORNE,801
RICHMOND,30652
HAWTHORN,22188
HAWTHORN EAST,15898
CAMBERWELL,21512
BURWOOD,12543
CANTERBURY,7198
MONT ALBERT,10262
SURREY HILLS,8891
BOX HILL,19101
BOX HILL SOUTH,4130
BOX HILL NORTH,12965
MONT ALBERT NORTH,5338
BLACKBURN,18367
BLACKBURN NORTH,3992
BLACKBURN SOUTH,11022
FOREST HILL,10866
NUNAWADING,12522
MITCHAM,16935
VERMONT,11083
VERMONT SOUTH,12044
RINGWOOD,18919
RINGWOOD NORTH,9726
HEATHMONT,3284
RINGWOOD EAST,18066
CROYDON,14247
CROYDON HILLS,9117
CROYDON NORTH,9117
CROYDON SOUTH,4936
KILSYTH,9980
MOOROOLBARK,23447
SEVILLE,7959
LILYDALE,19783
SOUTH YARRA,21581
TOORAK,13098
ARMADALE,9436
KOOYONG,493
MALVERN,3948
CAULFIELD EAST,3031
MALVERN EAST,22221
GLEN IRIS,16040
ASHBURTON,8025
ASHWOOD,7506
CHADSTONE,12283
MOUNT WAVERLEY,19475
GLEN WAVERLEY,21899
WHEELERS HILL,20854
BURWOOD EAST,10778
WANTIRNA,14450
WANTIRNA SOUTH,18102
BAYSWATER,12707
BAYSWATER NORTH,11968
THE BASIN,4380
BORONIA,23831
FERNTREE GULLY,14249
UPPER FERNTREE GULLY,15448
UPWEY,9848
CAULFIELD NORTH,19707
CAULFIELD,8448
CAULFIELD SOUTH,9783
CARNEGIE,18803
GLEN HUNTLY,5838
MURRUMBEENA,9471
DANDENONG SOUTH,531
BENTLEIGH EAST,16756
HUGHESDALE,7644
HUNTINGDALE,1516
OAKLEIGH,9099
OAKLEIGH EAST,7582
OAKLEIGH SOUTH,5055
CLAYTON,20142
NOTTING HILL,2349
CLARINDA,11656
CLAYTON SOUTH,13570
MULGRAVE,20078
SPRINGVALE,22537
DINGLEY VILLAGE,10554
SPRINGVALE SOUTH,12738
KEYSBOROUGH,30488
NOBLE PARK,19818
NOBLE PARK NORTH,12901
DANDENONG,30798
DANDENONG NORTH,22839
DOVETON,10050
EUMEMMERRING,2010
ROWVILLE,15540
SCORESBY,6274
KNOXFIELD,10458
PRAHRAN,15007
WINDSOR,4452
ST KILDA,26204
BALACLAVA,15280
ELWOOD,15041
ELSTERNWICK,10970
GARDENVALE,1061
RIPPONLEA,804
BRIGHTON,23053
BRIGHTON EAST,16695
HAMPTON,13328
HAMPTON EAST,5077
MOORABBIN,7154
HIGHETT,12541
SANDRINGHAM,7376
CHELTENHAM,24355
BEAUMARIS,14124
BLACK ROCK,10142
MENTONE,13304
ASPENDALE,9108
ASPENDALE GARDENS,8927
MORDIALLOC,10204
PARKDALE,11224
BONBEACH,9188
CHELSEA,6125
EDITHVALE,4554
CARRUM,6922
PATTERSON LAKES,5192
SEAFORD,17359
FRANKSTON,23908
FRANKSTON SOUTH,18948
FRANKSTON NORTH,19665
CARRUM DOWNS,22262
HEATHERTON,2044
BENTLEIGH,16231
MCKINNON,8969
ORMOND,7459
SOUTH MELBOURNE,3824
ALBERT PARK,11310
MIDDLE PARK,4712
PORT MELBOURNE,1472
LARA,18765
ANAKIE,2085
LOVELY BANKS,1141
CORIO,14840
NORLANE,9132
NORTH SHORE,2283
BELL PARK,7344
BELL POST HILL,2098
DRUMCONDRA,1049
HAMLYN HEIGHTS,3694
NORTH GEELONG,3147
RIPPLESIDE,2098
BELMONT,14994
GROVEDALE,21944
HIGHTON,11674
MARSHALL,1462
MOUNT DUNEED,8756
WAURN PONDS,3648
ARMSTRONG CREEK,21196
CHARLEMONT,11703
FYANSFORD,461
GEELONG WEST,12007
HERNE HILL,3694
MANIFOLD HEIGHTS,1385
BREAKWATER,1155
EAST GEELONG,2310
NEWCOMB,12321
GEELONG,8856
NEWTOWN,10406
SOUTH GEELONG,1155
MOOLAP,3080
CLIFTON SPRINGS,3857
CURLEWIS,12858
INDENTED HEAD,1303
PORTARLINGTON,5213
ST LEONARDS,2932
LEOPOLD,13213
POINT LONSDALE,4676
QUEENSCLIFF,779
BARWON HEADS,8770
CONNEWARRE,730
BELLBRAE,1641
JAN JUC,1641
TORQUAY,21334
ANGLESEA,6189
APOLLO BAY,2386
MARENGO,397
SKENES CREEK,397
FORREST,397
CARLISLE RIVER,397
MORIAC,1645
WINCHELSEA,4936
GERANGAMETE,2821
COLAC,9522
ELLIMINYT,3174
BEEAC,2821
CAMPERDOWN,3470
TERANG,2679
PETERBOROUGH,7148
HEXHAM,6989
WARRNAMBOOL,22462
HAWKESDALE,9963
PENSHURST,1044
HAMILTON,10284
BRANXHOLME,1044
CAPE BRIDGEWATER,8871
PORTLAND,10165
PORTLAND WEST,1016
COLERAINE,4176
KADNOOK,2748
BANNOCKBURN,7733
BONNIE BROOK,3794
ROCKBANK,3856
THORNHILL PARK,4338
AINTREE,3856
DEANSIDE,5784
HARKNESS,12648
KURUNJANG,7392
MELTON,12320
MELTON WEST,8853
BROOKFIELD,6535
COBBLEBANK,1633
EXFORD,816
EYNESBURY,2450
MELTON SOUTH,14704
STRATHTULLOH,4901
WEIR VIEWS,6535
BACCHUS MARSH,18783
DARLEY,2087
MADDINGLEY,4174
MYRNIONG,3266
BALLAN,3266
ALFREDTON,12434
BAKERY HILL,928
BALLARAT CENTRAL,6502
BALLARAT EAST,8428
BALLARAT NORTH,1872
BLACK HILL,6555
BROWN HILL,4682
CANADIAN,7690
GOLDEN POINT,1098
LAKE WENDOUREE,2786
LUCAS,3657
MOUNT HELEN,3616
MOUNT PLEASANT,2197
NERRINA,936
REDAN,4394
SOLDIERS HILL,1872
SMYTHES CREEK,1330
BONSHAW,5320
CARDIGAN,731
LAKE GARDENS,1857
WENDOUREE,15314
DELACOMBE,3990
SEBASTOPOL,9887
BUNINYONG,3616
WINTER VALLEY,5416
SKIPTON,2679
CRESWICK,6428
ASCOT,1607
BEAUFORT,4618
ARARAT,8468
STAWELL,8465
WARRACKNABEAL,3227
HOPETOUN,3227
HORSHAM,16944
NATIMUK,3451
NHILL,6907
DIGGERS REST,6595
BULLA,2239
SUNBURY,25062
RIDDELLS CREEK,4494
ROMSEY,2708
LANCEFIELD,2708
GISBORNE,12284
NEW GISBORNE,2047
WOODEND,7908
KYNETON,10494
CASTLEMAINE,5642
GUILDFORD,9145
MCKENZIE HILL,5642
TRENTHAM,1974
DAYLESFORD,3948
HEPBURN SPRINGS,1974
LYONVILLE,1974
MARYBOROUGH,8116
ST ARNAUD,3429
DONALD,2044
WATCHEM,2044
OUYEN,3709
RED CLIFFS,6123
IRYMPLE,5119
MILDURA,16417
NICHOLS POINT,2559
HEATHCOTE,5023
CHARLTON,2044
BOORT,3615
QUAMBATOOK,3332
BENDIGO,10946
EAST BENDIGO,2457
FLORA HILL,2826
IRONBARK,266
KENNINGTON,8191
LONG GULLY,533
NORTH BENDIGO,3203
QUARRY HILL,5652
SPRING GULLY,942
STRATHDALE,3276
WHITE HILLS,7222
EPSOM,3611
HUNTLY,3611
JUNORTOUN,2135
MAIDEN GULLY,5500
NEWBRIDGE,1807
STRATHFIELDSAYE,8540
GOLDEN SQUARE,14580
KANGAROO FLAT,6480
CALIFORNIA GULLY,2349
EAGLEHAWK,7048
JACKASS FLAT,2349
SAILORS GULLY,1174
TORRUMBARRY,3908
ECHUCA,14766
ECHUCA VILLAGE,820
COHUNA,3332
PYRAMID HILL,1807
KERANG,3943
SWAN HILL,11169
MURRAYDALE,6462
TATURA,10326
MOOROOPNA,8311
SHEPPARTON,23307
KIALLA,2330
SHEPPARTON NORTH,20034
MARUNGI,6249
TALLYGAROOPNA,4012
STRATHMERTON,6249
COBRAM,6438
BROADFORD,6650
FLOWERDALE,2071
TALLAROOK,4632
SEYMOUR,6545
BADDAGINNIE,1876
BENALLA,10750
WANGARATTA,19877
EAST WANGARATTA,9863
CHILTERN,3158
RUTHERGLEN,4019
WODONGA,22915
BANDIANA,1636
BARANDUDA,1636
LENEVA,1636
TANGAMBALANGA,5187
TAWONGA SOUTH,5898
TALLANGATTA,2051
DARTMOUTH,2051
CORRYONG,2051
BUXTON,1692
EILDON,1692
ALEXANDRA,1692
YEA,2071
MAINDAMPLE,3484
MERRIJIG,6969
THOONA,1876
TUNGAMAH,943
BUNDALONG SOUTH,1886
YARRAWONGA,8585
MYRTLEFORD,4716
WANDILIGONG,2949
BEECHWORTH,4954
WOLLERT,24762
SOUTH MORANG,12514
BEVERIDGE,6879
DOREEN,4839
MERNDA,23634
YAN YEAN,1194
UPPER PLENTY,1146
WALLAN,12613
HEATHCOTE JUNCTION,1146
PANTON HILL,284
BYLANDS,1146
KILMORE,8866
MONTROSE,6995
MOUNT DANDENONG,9771
MARYSVILLE,1692
MOUNT EVELYN,9863
YARRA JUNCTION,8474
EAST WARBURTON,8474
ENDEAVOUR HILLS,13464
HALLAM,11603
NARRE WARREN NORTH,8310
NARRE WARREN,14905
NARRE WARREN SOUTH,13266
BERWICK,23187
BEACONSFIELD,7335
OFFICER,16765
PAKENHAM,33639
DROUIN,19790
WARRAGUL,23080
TRAFALGAR,8313
MOE,15693
NEWBOROUGH,1569
HAZELWOOD NORTH,2371
MORWELL,14393
CHURCHILL,7113
CALLIGNEE,2371
TRARALGON,28735
ROSEDALE,4909
SALE,15259
GOLDEN BEACH,1633
SEASPRAY,3267
TOONGABBIE,4691
MAFFRA,14693
LINDENOW,2746
MIRBOO NORTH,5717
BAIRNSDALE,8941
CLIFTON CREEK,2746
EASTWOOD,6706
PAYNESVILLE,6897
NICHOLSON,2746
CAPE CONRAN,3345
MARLO,3345
METUNG,1848
KALIMNA,924
KALIMNA WEST,924
LAKES ENTRANCE,7394
LANGWARRIN,25248
PEARCEDALE,4041
SOMERVILLE,12458
TYABB,6229
HASTINGS,10908
BITTERN,2424
CRIB POINT,1212
COWES,8577
SMITHS BEACH,857
SUNDERLAND BAY,857
SUNSET STRIP,857
VENTNOR,857
WIMBLEDON HEIGHTS,857
CAPE WOOLAMAI,857
SAN REMO,1670
BALNARRING,6060
BALNARRING BEACH,1212
MERRICKS BEACH,1212
SOMERS,1212
FLINDERS,1720
MOUNT ELIZA,18923
MORNINGTON,25909
MOUNT MARTHA,20020
DROMANA,5384
SAFETY BEACH,8076
RED HILL,860
RED HILL SOUTH,1720
MCCRAE,2313
CAPE SCHANCK,1720
FINGAL,555
ROSEBUD,10412
CAPEL SOUND,10412
RYE,11660
TOOTGAROOK,1110
BLAIRGOWRIE,3886
SORRENTO,1110
PORTSEA,1665
LEONGATHA,5717
DUMBALK,1041
MEENIYAN,2083
TARWIN LOWER,1041
FISH CREEK,1041
FOSTER,4167
PORT ALBERT,5556
LYNBROOK,12180
LYNDHURST,6090
HAMPTON PARK,26384
CRANBOURNE,21580
CRANBOURNE EAST,19792
CRANBOURNE NORTH,24962
CRANBOURNE SOUTH,5871
CRANBOURNE WEST,21834
DEVON MEADOWS,1174
SANDHURST,6709
SKYE,6709
CLYDE,10567
CLYDE NORTH,42058
BLIND BIGHT,2020
TOORADIN,2020
CORINELLA,1670
CORONET BAY,3340
LANG LANG,10107
PIONEER BAY,1670
NYORA,9783
DALYSTON,1670
CAPE PATERSON,1670
NORTH WONTHAGGI,1670
WONTHAGGI,8350
INVERLOCH,5010
