Suburb,2021_population
MELBOURNE,43823
EAST MELBOURNE,4962
WEST MELBOURNE,0
SOUTHBANK,8505
DOCKLANDS,15942
FOOTSCRAY,17420
SEDDON,4802
BROOKLYN,5523
KINGSVILLE,4561
MAIDSTONE,7627
WEST FOOTSCRAY,11885
YARRAVILLE,15653
NEWPORT,14766
SOUTH KINGSVILLE,2109
SPOTSWOOD,2109
WILLIAMSTOWN,12654
WILLIAMSTOWN NORTH,3420
ALTONA,13292
SEAHOLME,359
BRAYBROOK,11733
ALBION,4397
SUNSHINE,9576
SUNSHINE NORTH,12163
SUNSHINE WEST,13255
ALBANVALE,8448
KEALBA,3769
KINGS PARK,5632
ST ALBANS,20850
ARDEER,3197
BURNSIDE,5855
BURNSIDE HEIGHTS,6442
CAIRNLEA,10144
CAROLINE SPRINGS,20643
DEER PARK,22629
MAMBOURIN,22661
MANOR LAKES,12614
WYNDHAM VALE,21024
ALTONA NORTH,15086
DERRIMUT,4351
WILLIAMS LANDING,3461
ALTONA MEADOWS,18665
LAVERTON,8181
HOPPERS CROSSING,18663
TARNEIT,57511
TRUGANINA,38668
POINT COOK,19385
WERRIBEE,15826
WERRIBEE SOUTH,1158
FLEMINGTON,7519
KENSINGTON,10874
ASCOT VALE,15351
MARIBYRNONG,12715
TRAVANCORE,1670
KEILOR EAST,6754
AVONDALE HEIGHTS,27645
KEILOR,1842
DELAHEY,8154
HILLSIDE,22764
SYDENHAM,11866
TAYLORS HILL,19800
KEILOR DOWNS,9423
KEILOR LODGE,5690
TAYLORS LAKES,11380
MOONEE PONDS,16406
ABERFELDIE,1809
ESSENDON,24874
ESSENDON WEST,2506
ESSENDON NORTH,1809
STRATHMORE,9386
STRATHMORE HEIGHTS,722
AIRPORT WEST,8237
NIDDRIE,5013
GLADSTONE PARK,6816
GOWANBRAE,3141
TULLAMARINE,6630
PASCOE VALE,17527
PASCOE VALE SOUTH,10461
GLENROY,23965
HADFIELD,6295
OAK PARK,7857
BROADMEADOWS,13243
DALLAS,10836
JACANA,827
MEADOW HEIGHTS,15078
ATTWOOD,4544
WESTMEADOWS,6816
NORTH MELBOURNE,23617
PARKVILLE,7446
CARLTON,17198
CARLTON NORTH,8097
PRINCES HILL,197
BRUNSWICK WEST,14499
BRUNSWICK,26306
BRUNSWICK EAST,12963
COBURG,26859
COBURG NORTH,8513
GREENVALE,20151
FAWKNER,14193
CAMPBELLFIELD,5418
CRAIGIEBURN,8197
