,Suburb,Facilites
0, COBRAM,1
1, MYRTLEFORD,1
2,ABBOTSFORD,5
3,ABERFELDIE,2
4,AIREYS INLET,3
5,AIRLEYS INLET,1
6,AIRPORT WEST,4
7,ALBANVALE,2
8,ALBERT PARK,10
9,ALBERT PARK ,1
10,ALBERTON WEST,1
11,ALBION,5
12,ALEXANDRA,11
13,ALFREDTON,2
14,ALLANS FLAT,1
15,ALLANSFORD,1
16,ALPHINGTON,2
17,ALPHINGTON ,1
18,ALTONA,14
19,ALTONA MEADOWS,5
20,ALTONA NORTH,18
21,ALVIE,1
22,AMPHITHEATRE,1
23,ANAKIE,1
24,ANGLESEA,9
25,APOLLO BAY,8
26,APSLEY,2
27,ARARAT,22
28,ARARAT ,1
29,ARDEER,2
30,ARDMONA,1
31,ARMADALE,4
32,ARTHURS CREEK  ,1
33,ASCOT VALE,9
34,ASHBURTON,7
35,ASHWOOD,8
36,ASPENDALE,3
37,ASPENDALE ,2
38,ATHLONE,1
39,AVENEL,5
40,AVOCA,5
41,AVONDALE HEIGHTS,2
42,AVONSLEIGH,1
43,AXEDALE,2
44,BACCHUS MARSH,9
45,BAGSHOT,1
46,BAIRNSDALE,17
47,BAIRNSDALE ,1
48,BAKER,1
49,BALLAN,5
50,BALLARAT,29
51,BALLARAT EAST,5
52,BALLARAT NORTH,5
53,BALLIANG,3
54,BALMORAL,4
55,BALNARRING,3
56,BALNARRING BEACH,1
57,BALWYN,3
58,BALWYN NORTH,13
59,BAMAWM,4
60,BAMBRA,1
61,BANGHOLME,4
62,BANNOCKBURN,7
63,BANYENA,1
64,BARANDUDA,1
65,BARINGHUP,2
66,BARINHUP,1
67,BARMAH,1
68,BARNAWARTHA,3
69,BARONGAROOK,2
70,BARRABOOL,1
71,BARUNAH PARK,1
72,BARWON DOWNS,1
73,BARWON HEADS,8
74,BASS,1
75,BATESFORD,2
76,BAYSWATER,14
77,BAYSWATER NORTH,3
78,BEACONSFIELD,5
79,BEALIBA,2
80,BEARII,1
81,BEARS LAGOON,1
82,BEAUCHAMP,1
83,BEAUFORT,4
84,BEAUMARIS,10
85,BEAUMORIS,1
86,BEEAC,3
87,BEECH FOREST,1
88,BEECHWORTH,6
89,BELBRIDGE,1
90,BELGRAVE,2
91,BELGRAVE SOUTH,2
92,BELL PARK,1
93,BELL POST HILL,1
94,BELLBRAE,1
95,BELMONT,10
96,BENA,1
97,BENALLA,11
98,BENAMBRA,1
99,BENDIGO,31
100,BENDIGO EAST,3
101,BENNETTSWOOD,1
102,BENNISON,1
103,BENTLEIGH,7
104,BENTLEIGH EAST  ,9
105,BERRIWILLOCK,4
106,BERWICK,7
107,BERWICK ,3
108,BETHANGA,2
109,BEULAH,3
110,BEVERIDGE,1
111,BINGINWARRI,1
112,BIRCHIP,7
113,BIRREGURRA,3
114,BITTERN,2
115,BLACK HILL,1
116,BLACK ROCK,7
117,BLACKBURN,4
118,BLACKBURN  ,1
119,BLACKBURN NORTH,2
120,BLACKBURN SOUTH,2
121,BLACKWOOD,1
122,BLAIRGOWRIE,2
123,BOISDALE,1
124,BOLWARRA,1
125,BONBEACH,3
126,BONEO,4
127,BONNIE DOON,1
128,BOOLARRA,5
129,BOORHAMAN,2
130,BOORT,8
131,BORONIA,12
132,BOWENVALE,1
133,BOX HILL,8
134,BOX HILL ,1
135,BOX HILL NORTH,2
136,BOX HILL SOUTH,2
137,BRAESIDE,1
138,BRANXHOLME,2
139,BRAYBROOK,10
140,BREAKWATER,1
141,BREAMLEA,1
