,Suburb,Facilites
142,BREMLEA,1
143,BRIAGOLONG,2
144,BRIDGEWATER ON LODDON,3
145,BRIGHT,8
146,BRIGHTON,15
147,BRIGHTON  ,1
148,BRIGHTON EAST,3
149,BRIM,3
150,BROADFORD,9
151,BROADMEADOWS,7
152,BROOKLYN,2
153,BROWN HILL,1
154,BRUNSWICK,13
155,BRUNSWICK EAST,5
156,BRUNSWICK WEST,5
157,BRUTHEN,3
158,BUANGOR,1
159,BUCHAN,2
160,BUCKLEY,1
161,BUFFALO,1
162,BULLA,1
163,BULLAROOK,1
164,BULLEEN,6
165,BULLENGAROOK,1
166,BULN BULN,2
167,BUNBARTHA,1
168,BUNDOORA,11
169,BUNDOORA ,9
170,BUNGAREE,1
171,BUNINYONG,5
172,BUNYIP,5
173,BURNLEY,6
174,BURNSIDE HEIGHTS,2
175,BURRUMBEET,2
176,BURWOOD,6
177,BURWOOD  ,2
178,BURWOOD EAST,5
179,BUXTON,1
180,BYADUK,1
181,BYAWARTHA,1
182,CAIRNLEA,3
183,CALIFORNIA GULLY,2
184,CALIVIL,3
185,CAMBERWELL,12
186,CAMPBELLFIELD,1
187,CAMPBELLS BRIDGE,1
188,CAMPBELLS CREEK,5
189,CAMPERDOWN,10
190,CANIAMBO,1
191,CANN RIVER,1
192,CANTERBURY,1
193,CAPE BRIDGEWATER,1
194,CAPE BRIDGEWATER ,1
195,CAPE CLEAR,2
196,CAPE PATERSON,3
197,CAPE SCHANCK,3
198,CAPE SCHANK,1
199,CAPE WOOLAMAI,1
200,CARAMUT,1
201,CARBOOR,1
202,CARDINIA,1
203,CARDROSS,1
204,CARISBROOK,2
205,CARLISLE RIVER,1
206,CARLSRUSHE,2
207,CARLTON,2
208,CARLTON  ,2
209,CARNBOURNE EAST,1
210,CARNEGIE,7
211,CARNEGIE  ,1
212,CAROLINE SPRINGS,8
213,CARRANBALLAC,1
214,CARRUM,5
215,CARRUM DOWNS,6
216,CASTERTON,6
217,CASTLEMAINE,16
218,CATANI,1
219,CATHCART,1
220,CAULFIELD   ,6
221,CAULFIELD NORTH,2
222,CAULFIELD SOUTH,3
223,CAULFIELD SOUTH  ,3
224,CAVENDISH,1
225,CERES,2
226,CHADSTONE,4
227,CHARLTON,8
228,CHELSEA,3
229,CHELSEA  ,2
230,CHELSEA HEIGHTS,8
231,CHELTENHAM,9
232,CHELTENHAM ,4
233,CHEWTON,4
234,CHILTERN,2
235,CHIRNSIDE PARK,4
236,CHRISTMAS HILLS,1
237,CHURCHILL,8
238,CLARENDON,1
239,CLARINDA,1
240,CLARKEFIELD,1
241,CLAYTON,13
242,CLAYTON SOUTH,5
243,CLIFTON HILL,4
244,CLIFTON SPRINGS,3
245,CLOVERLEA,1
246,CLUNES,4
247,CLYDE ,1
248,CLYDE NORTH,1
249,CLYDEBANK,1
250,COBDEN,6
251,COBDEN ,1
252,COBRAM,9
253,COBRICO,1
254,COBURG,14
255,COBURG NORTH,4
256,COBURG WEST,1
257,COCKATOO,4
258,COHUNA,10
259,COLAC,13
260,COLAC ,1
261,COLBINABBIN,4
262,COLDSTREAM,2
263,COLERAINE,1
264,COLERAINE ,4
265,COLIGNAN,1
266,COLLIGNEE,1
267,COLLINGWOOD,1
268,CONGUPNA,1
269,CONNEWARRE,1
270,CONNEWIRRICOO,1
271,COOLAROO,2
272,COOMA,1
273,COORIEMUNGLE,1
274,CORA LYNN,1
275,CORA LYNNE,1
276,CORINDHAP,1
277,CORINELLA,1
278,CORIO,11
279,CORONET BAY,1
280,COROROOKE,1
281,CORRYONG,4
282,COSGROVE,1
283,COWES,10
284,COWWARR,1
285,CRAIGIEBURN,11
286,CRANBOURNE,11
287,CRANBOURNE ,3
288,CRANBOURNE EAST,2
289,CRANBOURNE EAST ,1
290,CRANBOURNE NORTH,1
291,CRANBOURNE SOUTH ,1
292,CREMORNE,1
293,CRESWICK,6
294,CRESWICK  ,1
295,CRIB POINT,6
296,CROYDEN,1
297,CROYDON,17
298,CROYDON HILLS,1
299,CROYDON NORTH,1
300,CROYDON SOUTH,3
301,CUDGEWA,2
302,CULGOA,2
303,CULLULLERAINE,1
304,DAISY HILL,1
305,DALLAS,2
306,DALYSTON,1
307,DANDENONG,14
308,DANDENONG  ,1
309,DANDENONG NORTH,2
310,DARLEY,2
311,DARNUM,2
312,DARTMOOR,3
313,DARTMOUTH,2
314,DAYLESFORD,5
315,DAYLESFORD  ,1
316,DEANS MARSH,1
317,DEAN  ,1
318,DEAVON MEADOWS,1
319,DEAVON MEADOWS ,1
320,DEDERANG,3
321,DEER PARK,12
322,DELACOMBE,1
323,DELAHEY,4
324,DENNINGTON,2
325,DERGHOLM,1
326,DERRIMUT,5
327,DERRINALLUM,2
328,DEVENISH,1
329,DHURRINGILE,1
330,DIAMOND CREEK,14
331,DIGBY,1
332,DIGGERS REST,2
333,DIMBOOLA,7
334,DINGEE,2
335,DINGLEY VILLAGE,6
336,DIXONS CREEK,1
337,DOCKLANDS,2
338,DONALD,10
339,DONCASTER,9
340,DONNYBROOK,1
341,DONVALE,5
342,DOOKIE,3
343,DOREEN,2
344,DOUGLAS,1
345,DOVETON ,4
346,DROMANA,4
347,DROUIN,10
348,DROUIN WEST,1
349,DRUMBORG,1
350,DRUMCONDRA,1
351,DRUNG,1
352,DRYSDALE,6
353,DUMBALK,1
354,DUMBALK NORTH,1
355,DUNKELD,6
356,DUNLUCE,1
357,DUNNSTOWN,1
358,DUNOLLY,5
359,DUNSTOWN,1
360,EAGLE POINT,1
361,EAGLEHAWK,11
362,EAST DONCASTER,8
363,EAST GEELONG,2
364,EAST IVANHOE VIC ,1
365,EAST KEILOR,2
366,EAST MALVERN,15
367,ECHUCA,12
368,ECKLIN SOUTH,1
369,EDENHOPE,7
370,EDI UPPER,1
371,EDITHVALE,4
372,EILDON,5
373,ELAINE,1
374,ELDORADO,2
375,ELLIMINYT,4
376,ELLINBANK,1
377,ELMHURST,2
378,ELMORE,5
379,ELPHINSTONE,1
380,ELSTERNWICK,7
381,ELTHAM,12
382,ELTHAM NORTH,1
383,ELTHAM NORTH ,1
384,ELWOOD,3
385,EMERALD,2
386,EMU CREEK,1
387,ENDEAVOUR HILLS,2
388,ENDEAVOUR HILLS ,14
389,ENFIELD,2
390,ENSAY,1
391,EPPING,12
392,EPSOM,2
393,ESKDALE,3
394,ESSENDON,13
395,EUMEMMERRING ,6
396,EUROA,7
397,EVERTON,2
398,EYNESBURY,2
399,FAIRFIELD,10
400,FAIRHAVEN,1
401,FAWKNER,5
402,FERGUSON,1
403,FERNBANK,1
404,FERNTREE GULLY,16
405,FERNY CREEK,1
406,FINGAL,1
407,FISH CREEK,3
408,FITZROY,9
409,FITZROY ,1
410,FITZROY NORTH,2
411,FLEMINGTON,2
412,FLINDERS,1
413,FLINDERS ,2
414,FLORA HILL,1
415,FLOWERDALE,2
416,FLYNN,1
417,FOOTSCRAY,11
418,FOREST HILL,5
419,FORREST,2
420,FOSTER,4
421,FRAMLINGHAM EAST,1
422,FRANKSTON,33
423,FRANKSTON NORTH,4
424,FRANKSTON SOUTH,6
425,FRANSKTON SOUTH,2
426,FRESHWATER CREEK,1
427,GANNAWARRA,1
428,GAPSTED,1
429,GARFIELD,3
430,GARFIELD NORTH,1
431,GEELONG,8
432,GEELONG SOUTH,1
433,GEELONG WEST,4
434,GELLIBRAND,1
435,GEMBROOK,2
436,GERANGAMETE ,1
437,GHERINGHAP,1
438,GIRGARRE,1
439,GISBORNE,10
440,GISBORNE SOUTH,3
441,GLADSTONE PARK,5
442,GLADYSDALE,1
443,GLEN ALVIE,1
444,GLEN FORBES,2
445,GLEN HUNTLY ,1
446,GLEN IRIS,11
447,GLEN WAVERLEY,17
448,GLENALADALE,1
449,GLENGARRY,2
450,GLENLYON,1
451,GLENORCHY,1
452,GLENROWAN,2
453,GLENROY,7
454,GLENTHOMPSON,2
455,GNARWARRE,1
456,GOBUR,1
457,GOLDEN BEACH,2
458,GOLDEN SQUARE,10
459,GOORAMBAT,1
460,GOORNONG,2
461,GORDON,3
462,GORMANDALE,1
463,GOROKE,4
464,GOWANBRAE,1
465,GRANTVILLE,1
466,GREAT WESTERN,2
467,GREENDALE,1
468,GREENSBOROUGH,6
469,GREENSBOROUGH ,5
470,GREENSBOROUGH  ,2
471,GREENVALE,7
472,GRENVILLE,1
473,GRETA,2
474,GRETA SOUTH,1
475,GROVEDALE,4
476,GRUYERE,1
477,GUILDFORD,2
478,GUNBOWER,2
479,GUNDOWRING,1
480,GUYS HILL,1
481,HADDON,3
482,HADFIELD,3
483,HALLAM ,1
484,HALLORA,1
485,HALLS GAP,4
486,HAMILTON,2
487,HAMILTON ,14
488,HAMLYN HEIGHTS,1
489,HAMPTON,8
490,HAMPTON EAST,1
491,HAMPTON PARK ,4
492,HANSNVILLE,1
493,HARCOURT,6
494,HARKAWAY,1
495,HARRIETVILLE,1
496,HARROW,3
497,HASTINGS,7
498,HAVEN,1
499,HAWKESDALE,3
500,HAWTHORN,17
501,HAWTHORN EAST,7
502,HEALESVILLE,5
503,HEATHCOTE,7
504,HEATHERTON,5
505,HEATHMERE,1
506,HEATHMONT,4
507,HEIDELBERG,3
508,HEIDELBERG ,4
509,HEIDELBERG HEIGHTS,1
510,HEIDELBERG HEIGHTS ,1
511,HEPBURN SPRINGS,1
512,HEPBURN SPRINGS  ,1
513,HERNE HILL,3
514,HEXHAM,1
515,HEYFIELD,4
516,HEYWOOD,6
517,HIGHETT,9
518,HIGHTON,3
519,HILLSIDE,5
520,HMAS CERBERUS,2
521,HODDLES CREEK,1
522,HOPETOUN,5
523,HOPPERS CROSSING,14
524,HORSHAM,30
525,HUMEVALE,2
526,HUNTINGDALE,1
527,HUNTLY,2
528,HUNTLY NORTH,1
529,HURSTBRIDGE,2
530,HURSTBRIDGE  ,4
531,INDENTED HEAD,1
532,INGLEWOOD,4
533,INVERGORDON,1
534,INVERLEIGH,5
535,INVERLOCH,8
536,INVERMAY,2
537,IRONBARK,1
538,IRREWARRA,1
539,IRREWILLIPE,1
540,IRYMPLE,4
541,IVANHOE ,9
542,IVANHOE EAST,1
543,JACANA,1
544,JAN JUC,2
545,JARKLIN,1
546,JEPARIT,5
547,JINDIVICK,1
548,JOHANNA,1
549,JUNCTION VILLAGE,1
550,JUNORTOUN,1
551,KAARIMBA,1
552,KALORAMA,1
553,KANGAROO FLAT,6
554,KANGAROO GROUND,3
555,KANIVA,6
556,KARRAMOMUS,1
557,KATAMATITE,2
558,KATANDRA WEST,2
559,KATUNGA,2
560,KAWARREN,1
561,KEALBA,4
562,KEILOR,7
563,KEILOR DOWNS,8
564,KEILOR EAST,6
565,KEILOR PARK,3
566,KENNETT RIVER,2
567,KENNINGTON,1
568,KENSINGTON,2
569,KEON PARK,3
570,KERANG,12
571,KERNOT,1
572,KERRRIMUIR,1
573,KEW,5
574,KEW EAST,6
575,KEYSBOROUGH,12
576,KIALLA,6
577,KIALLA WEST,1
578,KIEWA,1
579,KILLARNEY,1
580,KILLAWARRA,1
581,KILMANY,1
582,KILMORE,6
583,KILMORE EAST,1
584,KILSYTH,8
585,KIMBOLTON,1
586,KINGLAKE,5
587,KINGLAKE WEST,3
588,KINGOWER,1
589,KINGS PARK,1
590,KINGSBURY,3
591,KINGSTON,3
592,KNOWSLEY,1
593,KNOXFIELD,11
594,KONGWAK,1
595,KOO WEE RUP,1
596,KOO WEE RUP ,2
597,KOONDROOK,3
598,KOONOOMOO,1
599,KOONWARRA,1
600,KOORLONG,1
601,KOOYONG,6
602,KORIOT,1
603,KORONG VALE,2
604,KORUMBURRA,9
605,KORWEINGUBOORA,1
606,KOYUGA,1
607,KY VALLEY,1
608,KYABRAM,10
609,KYBRAM,1
610,KYNETON,10
611,KYOUGA,1
612,LAHARUM,1
613,LAKE BOGA,4
614,LAKE BOLAC,4
615,LAKE CHARM,2
616,LAKE GARDENS,1
617,LAKE MERAN,2
618,LAKES ENTRANCE,12
619,LALBERT,2
620,LALOR,6
621,LANCASTER,1
622,LANCEFIELD,5
623,LANDSBOROUGH,2
624,LANG LANG,8
625,LANGWARRIN,5
626,LARA,6
627,LARDNER,2
628,LARPENT,1
629,LAUCHING PLACE,1
630,LAVERS HILL,1
631,LAVERTON,1
632,LAVERTON NORTH,1
633,LEARMONTH,3
634,LEICHARDT,1
635,LEITCHVILLE,4
636,LEMNOS,1
637,LEONGATHA,12
638,LEONGATHA NORTH,1
639,LEOPOLD,3
640,LETHBRIDGE,1
641,LEXTON,2
642,LILLICO,1
643,LILYDALE,5
644,LINDENOW,2
645,LINDENOW SOUTH,2
646,LINTON,3
647,LISMORE,4
648,LITTLE RIVER,5
649,LOCH,2
650,LOCH SPORT,3
651,LOCKINGTON,6
652,LOCKWOOD,1
653,LOCKWOOD SOUTH,3
654,LONG GULLY,2
655,LONGFORD,3
656,LONGLEA,1
657,LONGWARRY,2
658,LONGWOOD,2
659,LORNE,7
660,LOWER PLENTY ,3
661,LOWER TEMPLESTOWE,2
662,LOWER TEMPLESTOWE ,1
663,LUBECK,1
664,LUCKNOW,2
665,LYNBROOK ,1
666,LYNDHURST,1
667,LYSTERFIELD,3
668,MACARTHUR,4
669,MACCLESFIELD,1
670,MACEDON,4
671,MACLEOD,5
672,MACLEOD ,1
673,MACORNA,1
674,MAFFRA,9
675,MAGPIE,1
676,MAIDEN GULLY,1
677,MAIDSTONE,7
678,MAIN RIDGE,1
679,MAIN RIDGE ,2
680,MALDON,7
681,MALLACOOTA,7
682,MALMSBURY,1
683,MALVERN,6
684,MALVERN EAST,1
685,MANANGATANG,4
686,MANDURANG SOUTH,1
687,MANIFOLD HEIGHTS,1
688,MANNIBADAR,1
689,MANSFIELD,17
690,MARCUS HILL,1
691,MARDEN,1
692,MARIBYRNONG,5
693,MARKWOOD,1
694,MARLO ,1
695,MARNOO,2
696,MARONG,6
697,MAROONA,1
698,MARSHALL,1
699,MARYBOROUGH,15
700,MARYKNOLL,1
701,MARYSVILLE,4
702,MARYVALE,1
703,MAUDE,2
704,MCCRAE,2
705,MCKINNON,1
706,MEADOW HEIGHTS,2
707,MEENIYAN,3
708,MELBOURNE,14
709,MELTON,22
710,MELTON SOUTH,8
711,MELTON WEST,1
712,MENTONE,6
713,MENZIES CREEK,1
714,MERBEIN,5
715,MEREDITH,3
716,MERINO,3
717,MERNDA,3
718,MERRICKS,1
719,MERRICKS BEACH,1
720,MERRIGUM,4
721,MERRIJIG,2
722,MERTON,1
723,METCALFE,1
724,METUNG,3
725,MIA MIA,1
726,MIDDLE PARK,1
727,MILAWA,1
728,MILDURA,17
729,MILL PARK,8
730,MILLGROVE,1
731,MINERS REST,1
732,MINIMAY,1
733,MININERA,1
734,MINYIP,4
735,MIRBOO  ,1
736,MIRBOO NORTH,5
737,MIRRANATWA,1
738,MITCHAM,6
739,MITIAMO,3
740,MITTA MITTA,2
741,MODELLA,2
742,MODEWARRE,1
743,MOE,10
744,MOLESWORTH,1
745,MOLIAGUL,1
746,MONBULK,3
747,MONT ALBERT,1
748,MONT ALBERT ,1
749,MONT ALBERT NORTH,1
750,MONTMORENCY,1
751,MONTMORENCY ,5
752,MONTROSE,3
753,MOOLAP,2
754,MOONAMBEL,2
755,MOONEE PONDS,14
756,MOORABBIN,4
757,MOORALLA,1
758,MOOROODUC,2
759,MOOROOLBARK,5
760,MOOROOPNA,11
761,MORDIALLOC,11
762,MORIAC,1
763,MORNINGTON,17
764,MORTLAKE,4
765,MORWELL,15
766,MOUNT BEAUTY,4
767,MOUNT CLEAR,2
768,MOUNT DUNEED,2
769,MOUNT EGERTON,1
770,MOUNT ELIZA,2
771,MOUNT EVELYN,4
772,MOUNT HELEN,4
773,MOUNT MACEDON,2
774,MOUNT MARTHA,9
775,MOUNT PLEASANT,1
776,MOUNT ROWAN,1
777,MOUNT WAVERLEY,1
778,MOYHU,3
779,MOYSTON,1
780,MT BULLER,1
781,MT DUNEED,1
782,MT ELIZA,2
783,MT MORIAC,1
784,MT ROWAN,1
785,MT WAVERLEY,11
786,MUCKATAH,1
787,MUCKLEFORD,2
788,MUCKLEFORD SOUTH,1
789,MULGRAVE,7
790,MURCHISON,4
791,MURCHISON EAST,1
792,MURMUNGEE,1
793,MURRABIT,3
794,MURRAYVILLE,3
795,MURRUMBEENA,5
796,MURTOA,5
797,MYRNIONG,1
798,MYRRHEE,1
799,MYRTLEFORD,13
800,MYSTIC PARK,1
801,NAGAMBIE,7
802,NAGAMBIE ,1
803,NANDALY,2
804,NANGILOC,1
805,NANNEELLA,1
806,NAPOLEONS,1
807,NAR NAR GOON,1
808,NAR NAR GOON NORTH,1
809,NARRE WARREN,6
810,NARRE WARREN ,2
811,NARRE WARREN EAST,1
812,NARRE WARREN NORTH ,5
813,NARRE WARREN SOUTH,1
814,NARRE WARREN SOUTH ,4
815,NATHALIA,6
816,NATIMUK,6
817,NATTE YALLOCK,1
818,NAVARRE,1
819,NAVIGATORS,1
820,NEERIM,1
821,NEERIM JUNCTION,1
822,NEERIM SOUTH,5
823,NELSON,1
824,NERRENA,1
825,NEW GISBORNE,2
826,NEWBOROUGH,11
827,NEWBRIDGE,1
828,NEWBURY,1
829,NEWCOMB,3
830,NEWHAM,1
831,NEWHAVEN,2
832,NEWLYN  ,1
833,NEWMERELLA,1
834,NEWPORT,7
835,NEWRY,3
836,NEWSTEAD,3
837,NEWTOWN,7
838,NHILL,7
839,NICHOLS POINT,1
840,NIDDRIE,2
841,NIRRANDA,1
842,NOBLE PARK,2
843,NOBLE PARK  ,4
844,NOBLE PARK NORTH,3
845,NOOJEE,1
846,NOORAT,1
847,NOORINBEE,1
848,NORLANE,7
849,NORTH BALWYN,1
850,NORTH BENDIGO,1
851,NORTH BRIGHTON,1
852,NORTH ESSENDON,3
853,NORTH GEELONG,5
854,NORTH MELBOURNE,4
855,NORTHCOTE,6
856,NOTTING HILL,1
857,NOWA NOWA,1
858,NULLAWIL,1
859,NUMURKAH,11
860,NUNAWADING,3
861,NYAH,3
862,NYAH WEST,3
863,NYORA,2
864,OAK PARK,5
865,OAKLEIGH,19
866,OAKLEIGH SOUTH,2
867,OCEAN GROVE,10
868,OFFICER,3
869,OLINDA,3
870,OMEO,3
871,ORBOST,9
872,ORMOND,3
873,OUTRIM,1
874,OUTTRIM,2
875,OUYEN,6
876,OXLEY,1
877,PAKENHAM,11
878,PAKENHAM ,1
879,PAKENHAM SOUTH,1
880,PAKENHAM UPPER,2
881,PANMURE,1
882,PANTON HILL,1
883,PANTON HILL  ,1
884,PARAPARAP,1
885,PARK ORCHARDS,4
886,PARKDALE,6
887,PARKVILLE,4
888,PASCOE VALE,4
889,PASCOE VALE SOUTH,3
890,PATCHEWOLLOCK,1
891,PATTERSON LAKES,2
892,PAYNESVILLE,3
893,PEARCEDALE,2
894,PEARCEDALE ,1
895,PEECHELBA,1
896,PENNYROYAL,1
897,PENSHURST,3
898,PETERBOROUGH,1
899,PHEASANT CREEK,1
900,PICOLA,1
901,PIGEON PONDS,1
902,PINE LODGE,2
903,PIRRON YALLOCK,1
904,PLENTY,1
905,POINT COOK,11
906,POINT LEO,2
907,POINT LONSDALE,4
908,POINT WILSON,1
909,POMONAL,2
910,POOWONG,1
911,POOWONG ,1
912,POOWONG  ,1
913,POREPUNKAH,1
914,PORT CAMPBELL,3
915,PORT FAIRY,10
916,PORT MELBOURNE,12
917,PORT WELSHPOOL,2
918,PORTARLINGTON,5
919,PORTLAND,15
920,PORTSEA,3
921,POWELLTOWN,1
922,POWLETT PLAINS,1
923,PRAHRAN,6
924,PRESTON,15
925,PRINCESS HILL,1
926,PRINCETOWN,1
927,PYALONG,3
928,PYRAMID HILLS,6
929,QUAMBATOOK,4
930,QUANTONG,1
931,QUARRY HILL,4
932,QUEENSCLIFF,2
933,QUEENSCLIFFE,1
934,RAGLAN,1
935,RAINBOW,5
936,RAVENHALL,3
937,RAVENSWOOD,2
938,RAWSON,3
939,RAYWOOD,3
940,RED CLIFFS,4
941,RED HILL,1
942,REDAN,3
943,REDESDALE,1
944,RESEARCH,4
945,RESERVOIR,15
946,RHYLL,3
947,RICH AVON WEST,1
948,RICHMOND,17
949,RIDDELLS CREEK,3
950,RINGWOOD,21
951,RINGWOOD EAST,3
952,RINGWOOD NORTH,2
953,ROBINVALE,4
954,ROCHESTER,8
955,ROCKBANK,2
956,ROCKWOOD,1
957,ROKEBY,1
958,ROKEWOOD,2
959,ROMSEY,4
960,ROSANNA,2
961,ROSEBUD,8
962,ROSEBUD WEST,3
963,ROSEDALE,5
964,ROSS CREEK,1
965,ROWVILLE,13
966,ROXBURGH PARK,3
967,RUFFY,1
968,RUPANYUP,3
969,RUSHWORTH,5
970,RUTHERGLEN,6
971,RYE,3
972,SAFETY BEACH,2
973,SALE,19
974,SAN REMO,1
975,SANDFORD,1
976,SANDHILL LAKE,1
977,SANDHURST,1
978,SANDRINGHAM,11
979,SANDY CREEK,1
980,SANDY POINT,1
981,SANY POINT,1
982,SARSFIELD,1
983,SCORESBY,4
984,SCOTTS CREEK,2
985,SEA LAKE,5
986,SEABROOK,1
987,SEAFORD,16
988,SEAHOLME,2
989,SEASPRAY,2
990,SEBASTIAN,1
991,SEBASTOPOL,8
992,SELBY,1
993,SERPENTINE,2
994,SERVICETON,2
995,SEVILLE,2
996,SEYMOUR,11
997,SHADY CREEK,2
998,SHELFORD,2
999,SHEPHERDS FLAT,1
1000,SHEPPARTON,23
1001,SHEPPARTON EAST,1
1002,SHOREHAM,1
1003,SILVAN,1
1004,SIMPSON  ,3
1005,SKIPTON,4
1006,SKYE,2
1007,SMEATON,2
1008,SMITHS BEACH,1
1009,SMYTHESDALE,3
1010,SNAKE VALLEY,3
1011,SOMERS,2
1012,SOMERTON,1
1013,SOMERVILLE,5
1014,SOMMERVILLE,1
1015,SOMMERVILLE ,1
1016,SORRENTO,5
1017,SOUTH GEELONG,4
1018,SOUTH KENSINGTON,1
1019,SOUTH KINGSVILLE,1
1020,SOUTH MELBOURNE,2
1021,SOUTH MORANG,4
1022,SOUTH WARRANDYTE,1
1023,SOUTH YARRA,8
1024,SPEED,1
1025,SPOTSWOOD,3
1026,SPRING GULLY,3
1027,SPRINGHURST,1
1028,SPRINGVALE,16
1029,ST ALBANS,23
1030,ST ANDREWS,3
1031,ST ANDREWS BEACH,2
1032,ST ARNAUD,8
1033,ST HELENA ,1
1034,ST JAMES,2
1035,ST KILDA,3
1036,ST KILDA  ,1
1037,ST KILDA EAST,1
1038,ST LEONARDS,5
1039,ST. LEONARDS,1
1040,STANHOPE,4
1041,STANLEY,1
1042,STAWELL,10
1043,STKILDA,1
1044,STOCKDALE,2
1045,STONY CREEK,1
1046,STRATFORD,6
1047,STRATH CREEK,2
1048,STRATHBOGIE,3
1049,STRATHDALE,2
1050,STRATHEWEN,1
1051,STRATHFIELDSAYE,3
1052,STRATHMERTON,4
1053,STRATHMORE,3
1054,STRATHMORE HEIGHTS,2
1055,STREATHAM,1
1056,STUART MILL,1
1057,SUNBURY,17
1058,SUNSHINE,20
1059,SUNSHINE NORTH,2
1060,SUNSHINE WEST,5
1061,SURREY HILLS,6
1062,SUTHERLANDS CREEK,2
1063,SUTTON GRANGE,1
1064,SWAN HILL,16
1065,SWAN MARSH,1
1066,SWAN REACH,1
1067,SWANPOOL,3
1068,SWIFT CREEK,2
1069,SYDENHAM,8
1070,TAHARA,1
1071,TALAROOK,1
1072,TALBOT,6
1073,TALLANGATTA,6
1074,TALLAROOK,3
1075,TALLYGAROOPNA,1
1076,TANGAMBALANGA,1
1077,TARADALE,1
1078,TARNAGULLA,2
1079,TARNEIT,3
1080,TARRAGAL,1
1081,TARRAVILLE,1
1082,TARRAWINGEE,2
1083,TARRINGTON,1
1084,TARRONE,1
1085,TARWIN LOWER,3
1086,TATONG,1
1087,TATURA,9
1088,TATYOON,1
1089,TAWONGA,1
1090,TAYLORS LAKES,6
1091,TEESDALE,3
1092,TELANGATUK EAST,1
1093,TEMPLESTOWE,8
1094,TEMPY,2
1095,TENNYSON,1
1096,TERANG,7
1097,TERANG ,1
1098,TERIP TERIP,2
1099,THALLOO,1
1100,THE BASIN,2
1101,THOMASTOWN,10
1102,THOMSON,1
1103,THORNBURY,10
1104,THORNTON,1
1105,THORPDALE,4
