,Suburb,Affordability
115,FOOTSCRAY,155.94864864864866
116,CARRUM,155.8311111111111
117,MITCHAM,154.44761904761904
118,HOPPERS CROSSING,154.42465753424656
119,DEER PARK,154.18857142857144
120,SEAFORD,153.57894736842104
121,MELTON,153.54285714285714
122,ECHUCA,153.5211267605634
123,PAKENHAM,153.31944444444446
124,CARLTON NORTH,153.1155172413793
125,BRUNSWICK,153.09555555555556
126,LILYDALE,152.85476190476192
127,COBURG NORTH,152.24878048780488
128,MILL PARK,151.03947368421052
129,NUNAWADING,149.92857142857142
130,CASTLEMAINE,148.92
131,GLADSTONE PARK,148.87179487179486
132,CARRUM DOWNS,148.6315789473684
133,BARWON HEADS,148.5688888888889
134,CHELSEA,148.4
135,FRANKSTON,147.54933333333332
136,TULLAMARINE,147.16153846153847
137,BRIGHTON EAST,146.9093525179856
138,PORTSEA,146.55
139,GROVEDALE,146.32151898734176
140,RINGWOOD,145.8658536585366
141,CHELTENHAM,145.29347826086956
142,CHADSTONE,144.59775280898876
143,COBURG,144.31304347826088
144,WENDOUREE,144.01142857142858
145,SUNSHINE,143.19714285714286
146,BELMONT,142.45822784810127
147,DROMANA,142.35
148,RESERVOIR,141.5236842105263
149,BAYSWATER,141.42307692307693
150,OAKLEIGH,140.71685393258426
151,HEIDELBERG WEST,139.92048192771085
152,VERMONT,139.40444444444444
153,DANDENONG NORTH,139.0861111111111
154,SYDENHAM,138.78
155,BOX HILL,138.745
156,TORQUAY,137.52884615384616
157,BULLEEN,137.26875
158,LALOR,136.26388888888889
159,MOUNT WAVERLEY,135.65714285714284
160,HASTINGS,135.40714285714284
161,THOMASTOWN,135.10555555555555
162,ROXBURGH PARK,133.56216216216217
163,SCORESBY,131.70444444444445
164,ROWVILLE,131.60434782608695
165,DANDENONG,131.16571428571427
166,FOREST HILL,130.60444444444445
167,HAMPTON PARK,129.85
168,WANTIRNA,129.02
169,CRANBOURNE,128.92658227848102
170,BUNDOORA,128.78
171,FAWKNER,128.21772151898733
172,GLEN WAVERLEY,124.93541666666667
173,ST ALBANS,124.80571428571429
174,DONCASTER,123.72291666666666
175,MULGRAVE,123.53958333333334
176,PORT MELBOURNE,122.34434782608696
177,BURWOOD,120.9888888888889
178,BURWOOD EAST,120.60444444444444
179,MORNINGTON,119.75961538461539
180,BROADMEADOWS,113.85945945945946
181,CLAYTON,110.73
182,SPRINGVALE,110.3
