,Suburb,Affordability
0,TOORAK,366.80776699029127
1,EAST MELBOURNE,293.6222222222222
2,HAWTHORN,267.6
3,MALVERN,265.31555555555553
4,GLEN IRIS,248.73333333333332
5,ARMADALE,248.06444444444443
6,MALVERN EAST,242.07857142857142
7,ALBERT PARK,240.824
8,MIDDLE PARK,240.824
9,IVANHOE EAST,239.90967741935484
10,SOUTHBANK,235.5925
11,KEW,227.35757575757575
12,CANTERBURY,226.44040404040405
13,SURREY HILLS,226.44040404040405
14,SOUTH YARRA,225.59047619047618
15,NEWBOROUGH,224.592
16,MOE,224.592
17,ELWOOD,216.8729411764706
18,ASHBURTON,213.84222222222223
19,NEWTOWN,213.3725
20,MORWELL,212.0
21,CAMBERWELL,211.43958333333333
22,SOUTH MELBOURNE,209.41555555555556
23,WINDSOR,208.30117647058825
24,PRAHRAN,208.30117647058825
25,PARKVILLE,206.9142857142857
26,ESSENDON,205.775
27,BRIGHTON,205.76716417910447
28,FAIRFIELD,205.2390243902439
29,ALPHINGTON,205.2390243902439
30,ELSTERNWICK,203.67333333333335
31,CAULFIELD,201.43529411764706
32,TRARALGON,200.6848484848485
33,MOONEE PONDS,199.55365853658537
34,ST KILDA,196.84810126582278
35,ASCOT VALE,196.78048780487805
36,IVANHOE,195.8709677419355
37,FLINDERS,195.6642857142857
38,SALE,194.659375
39,KENSINGTON,193.00238095238095
40,HORSHAM,189.03793103448277
41,WILLIAMSTOWN,188.7
42,HAMILTON,188.58214285714286
43,CLIFTON HILL,187.84528301886792
44,GEELONG,187.4388888888889
45,MONT ALBERT,182.91313131313132
46,BURNLEY,182.70625
47,RICHMOND,182.70625
48,SWAN HILL,182.09731543624162
49,ALFREDTON,181.90857142857143
50,NORTH BENDIGO,181.28787878787878
51,HEIDELBERG,180.84819277108434
52,BUNINYONG,180.73714285714286
53,GEELONG WEST,180.2986301369863
54,HERNE HILL,180.2986301369863
55,ALTONA,179.9725
56,PORTLAND,178.496875
57,HAMPTON,176.217094017094
58,BENDIGO,175.9558823529412
59,FITZROY NORTH,175.8490566037736
60,MURRUMBEENA,175.30731707317074
61,FLORA HILL,175.16363636363636
62,THORNBURY,175.00731707317073
63,ABBOTSFORD,173.73555555555555
64,WERRIBEE,173.64931506849314
65,SHEPPARTON,173.46666666666667
66,YARRAVILLE,173.1875
67,SEYMOUR,173.12
68,PARKDALE,172.71954022988507
69,MORDIALLOC,172.71954022988507
70,COLLINGWOOD,172.67777777777778
71,DELACOMBE,171.390625
72,CARLTON,170.83142857142857
73,GREENSBOROUGH,170.3475
74,DOCKLANDS,170.1809523809524
75,BLACKBURN,169.46666666666667
76,NORTH MELBOURNE,168.91898734177215
77,BERWICK,168.76
78,MAFFRA,168.65625
79,OAK PARK,168.6506329113924
80,NEWPORT,168.4909090909091
81,SPOTSWOOD,168.4909090909091
82,CARNEGIE,167.76341463414633
83,KEILOR EAST,167.70243902439023
84,KEILOR,167.70243902439023
85,WODONGA,167.16176470588235
86,TEMPLESTOWE,166.70625
87,HUGHESDALE,166.11219512195123
88,MENTONE,166.0022988505747
89,NORTHCOTE,165.726
90,ASPENDALE,165.21777777777777
91,NORTH GEELONG,164.39166666666668
92,SUNBURY,164.0921052631579
93,ELTHAM,163.66666666666666
94,DONVALE,162.95625
95,SEDDON,162.95416666666668
96,BEAUMARIS,162.52991452991452
97,PASCOE VALE,162.48048780487804
98,HURSTBRIDGE,161.76
99,CORIO,161.21333333333334
100,BALWYN,160.90363636363637
101,MONTMORENCY,160.647311827957
102,FLEMINGTON,159.89523809523808
103,LARA,159.4575
104,FITZROY,159.32592592592593
105,SEBASTOPOL,158.68125
106,PASCOE VALE SOUTH,158.19565217391303
107,BAIRNSDALE,158.19375
108,AVONDALE HEIGHTS,157.88292682926829
109,BENTLEIGH,157.86122448979592
110,WARRAGUL,157.57640750670242
111,WEST FOOTSCRAY,157.4875
112,BENALLA,157.321875
113,GOLDEN SQUARE,156.93030303030304
114,KANGAROO FLAT,156.93030303030304
