,Suburb,Distance to CBD (km)
257,Lynbrook,36.4
258,Lyndhurst,35.9
259,Lysterfield,29.9
260,Lysterfield South,31.9
261,Macclesfield,45.1
262,Macleod,13
263,Maidstone,9.2
264,Malvern,7.4
265,Malvern East,11.2
266,Malvern North,13
267,Mambourin,37.6
268,Maribyrnong,8.7
269,Mckinnon,12.3
270,Meadow Heights,18.7
271,Melbourne,2.8
272,Melbourne Airport,19.4
273,Melton,37
274,Melton South,36.9
275,Melton West,38.8
276,Mentone,20.6
277,Menzies Creek,39.8
278,Mernda,26.9
279,Merrimu,47.1
280,Mickleham,29.2
281,Middle Park,4.1
282,Mill Park,18
283,Mitcham,19.6
284,Monash University,18
285,Monbulk,38.7
286,Monegeetta,48.6
287,Mont Albert,11.8
288,Mont Albert North,12.4
289,Montmorency,17
290,Montrose,32.7
291,Moonee Ponds,6.9
292,Moorabbin,14.6
293,Moorabbin Airport,21.5
294,Moorooduc,47.1
295,Mooroolbark,30
296,Mordialloc,23.8
297,Moreland,7.3
298,Mornington,45.5
299,Mount Cottrell,32.2
300,Mount Dandenong,34.1
301,Mount Eliza,42.4
302,Mount Evelyn,36.1
303,Mount Slide,47.2
304,Mount Waverley,15.5
305,Mulgrave,20.9
306,Murrumbeena,12.1
307,Nangana,49.5
308,Narre Warren,37.8
309,Narre Warren East,38.4
310,Narre Warren North,35.5
311,Narre Warren South,38.9
312,Newport,8.4
313,Niddrie,11.2
314,Noble Park,24.9
315,Noble Park North,25
316,North Melbourne,2.3
317,North Warrandyte,23.8
318,Northcote,5.5
319,Notting Hill,18.2
320,Nunawading,18
321,Nutfield,28.8
322,Oak Park,11.5
323,Oaklands Junction,23.5
324,Oakleigh,14
325,Oakleigh East,15.3
326,Oakleigh South,14.7
327,Officer,47.4
328,Olinda,34.9
329,Ormond,11.8
330,Panton Hill,30.4
331,Park Orchards,22
332,Parkdale,22
333,Parkville,2.6
334,Parwan,46.3
335,Pascoe Vale,9.9
336,Pascoe Vale South,8.5
337,Patterson Lakes,32.1
338,Pearcedale,49
339,Pheasant Creek,45.8
340,Plenty,20.8
341,Plumpton,28.8
342,Point Cook,22.3
343,Port Melbourne,3.8
344,Portarlington,43.7
345,Prahran,4.5
346,Preston,8.8
347,Princes Hill,3.7
348,Quandong,36.6
349,Ravenhall,21.1
350,Research,22.1
351,Reservoir,11.2
352,Richmond,2.6
353,Riddells Creek,46.8
354,Ringwood,22.5
355,Ringwood East,24.3
356,Ringwood North,23.4
357,Ripponlea,7.4
358,Rockbank,29.4
359,Rosanna,11.4
360,Rowville,25.9
361,Roxburgh Park,19.9
362,Royal Melbourne Hospital,2.1
363,Saint Helena,19.6
364,Sandhurst,36.4
365,Sandringham,16
366,Sargood,13.8
367,Sassafras,34.1
368,Sassafras Gully,33.5
369,Scoresby,24.9
370,Seabrook,20
371,Seaford,34.9
372,Seaholme,12.7
373,Seddon,6.6
374,Selby,37
375,Seville,43.2
376,Seville East,46.3
377,Sherbrooke,35
378,Silvan,39.5
379,Skye,39.6
380,Smiths Gully,33.5
381,Somerton,18.9
382,Somerville,49.1
383,South Kingsville,9.1
384,South Melbourne,2.1
385,South Morang,22.3
386,South Yarra,3.3
387,Southbank,1.2
388,Spotswood,7.7
389,Springvale,22.1
390,Springvale South,23.5
391,St Albans,16.9
392,St Andrews,35.2
393,St Kilda,6.1
394,St Kilda East,6.4
395,St Kilda Road Central,3.2
396,St Kilda West,5.3
397,St Leonards,45.6
398,Steels Creek,43
399,Strathewen,40.7
400,Strathmore,9.7
401,Strathmore Heights,12.5
402,Summerfield,48.9
403,Sunbury,33.7
404,Sunshine,12.6
405,Sunshine North,13.3
406,Sunshine West,13.5
407,Surrey Hills,11.2
408,Sydenham,22.1
409,Tarneit,24.4
410,Tarrawarra,45
411,Taylors Hill,21.3
412,Taylors Lakes,20.5
413,Tecoma,34.4
414,Templestowe,15.5
415,Templestowe Lower,13.8
416,The Basin,30.6
417,The Patch,37.9
418,Thomastown,15.3
419,Thornbury,6.5
420,Toolern Vale,40.7
421,Toorak,4.6
422,Tottenham,10.1
423,Travancore,5.3
424,Tremont,32.5
425,Truganina,19.5
426,Tullamarine,16.1
427,Tyntynder,38.2
428,University Of Melbourne,2.1
429,Upper Ferntree Gully,31.1
430,Upper Plenty,44.2
431,Upwey,33.3
432,Vermont,19.8
433,Vermont South,19.3
434,Viewbank,13.8
435,Wallan,44.5
436,Wandin East,43
437,Wandin North,39.2
438,Wandong,48.9
439,Wantirna,23
440,Wantirna South,24
441,Warrandyte,23.7
442,Warrandyte South,23.9
443,Warranwood,24.8
444,Waterways,26.3
445,Watsonia,14.9
446,Watsonia North,16.2
447,Watsons Creek,29.7
448,Wattle Glen,24.8
449,Werribee,29.3
450,Werribee South,29.3
451,West Footscray,8.2
452,West Melbourne,1.9
453,Westmeadows,16.7
454,Wheelers Hill,21.9
455,Whittlesea,35.7
456,Wildwood,30.6
457,Williams Landing,19.4
458,Williams Raaf,19.4
459,Williamstown,8
460,Williamstown North,8.9
461,Windsor,5.1
