prop_lat,prop_long,numSchool_3km,school_lat,school_long,distance_school,numHospital_1km,hospital_lat,hospital_long,distance_hospital,numStation_1km,station_lat,station_long,distance_station,numShopping_3km,shopping_lat,shopping_long,distance_shopping,numFacility_3km,facility_lat,facility_long,distance_facility,cbd_lat,cbd_long,distance_CBD
-37.7807821,144.8130199,33.0,-37.78219,144.8202,650.1404158195666,0.0,-37.693365,144.758677,10831.47814710251,2.0,-37.777653,144.824704,1084.2142151889327,1.0,-37.78187,144.831506,1629.1194229883624,58.0,-37.781765,144.814164,148.50882293301257,-37.810454,144.962379,13532.036617087226
-37.8690276,144.8072501,12.0,-37.8639,144.81167,689.6526476051238,1.0,-37.869448,144.828494,1865.3500382034183,2.0,-37.865163,144.813494,696.4726085221332,1.0,-37.861908,144.68726,10562.8346200528,21.0,-37.873873,144.811386,649.6779101999998,-37.810454,144.962379,15099.409296373971
-37.27641089999999,142.920079,6.0,-37.27736,142.921,133.33514251150268,1.0,-37.278816,142.932858,1161.8697631779714,0.0,-37.579091,144.727319,163090.79964570815,0.0,-38.381549,142.520583,127796.15136213895,20.0,-37.279115,142.91492,546.5960785569936,-37.810454,144.962379,189594.75284672604
-37.292905,142.9218811,6.0,-37.286,142.92196,767.8326903981126,1.0,-37.278816,142.932858,1843.1996873724909,0.0,-37.579091,144.727319,162548.9893801814,0.0,-38.381549,142.520583,126076.62883658863,21.0,-37.292104,142.935676,1223.5626246941526,-37.810454,144.962379,188858.1552262157
-37.7823611,144.8088328,30.0,-37.78753,144.80752,586.2197076000491,0.0,-37.693365,144.758677,10834.261807364064,1.0,-37.777653,144.824704,1489.848932777189,1.0,-37.78187,144.831506,1993.3255797215038,55.0,-37.782572,144.805283,312.84398999338373,-37.810454,144.962379,13848.330174308141
-37.860329,145.0220163,63.0,-37.85807,145.03116,841.1155827360083,4.0,-37.869064,145.018774,1012.1313579364404,3.0,-37.856452,145.019326,491.56223892201746,9.0,-37.863028,145.027026,532.4329518509576,86.0,-37.85866,145.02348,225.72880024224062,-37.810454,144.962379,7627.95322159298
-37.7730663,144.9303035,49.0,-37.77432,144.92612,393.2376248818626,1.0,-37.778813,144.948049,1685.4766233844127,4.0,-37.775306,144.921821,786.0389925378425,5.0,-37.765648,144.922669,1063.3611981100246,80.0,-37.774717,144.928041,270.6182221191965,-37.810454,144.962379,5022.679836852265
-37.7573875,144.8691038,35.0,-37.75847,144.86162,668.8306258138242,1.0,-37.748597,144.885403,1734.6048008264981,0.0,-37.809939,144.962594,10082.080101302225,5.0,-37.749591,144.861442,1097.86390290243,60.0,-37.76268,144.858666,1090.0794155496944,-37.810454,144.962379,10100.01445999309
-37.5570369,143.8794746,15.0,-37.5617,143.87401,707.7270173385002,0.0,-37.814488,144.971391,100258.4493692753,0.0,-37.818305,144.966964,100005.28074509001,0.0,-37.81797,144.969024,100168.15458549581,42.0,-37.558452,143.882306,295.0453762090125,-37.810454,144.962379,99373.0710541082
-36.5566188,145.973497,5.0,-36.55396,145.97412,300.8364809831405,1.0,-36.555239,145.994675,1897.835072044161,0.0,-37.639398,145.192017,138922.27033837524,0.0,-37.652833,145.518043,128410.53653984287,11.0,-36.559341,145.968719,523.210045088166,-37.810454,144.962379,165712.34314014934
