school_long,school_lat
146.6666,-38.61771
142.59039,-38.38628
143.47565,-37.0845
145.23472,-36.90137
145.21398,-37.74268
144.3421,-38.17067
144.44312,-37.67303
143.85394,-37.56401
146.88982,-36.12921
145.35442,-38.04409
143.38172,-37.43852
145.05463,-37.96861
142.65084,-38.34794
144.87834,-37.83842
142.03989,-37.53087
143.59834,-38.33722
144.22233,-37.0666
144.20466,-37.09293
143.89156,-37.42411
144.24986,-36.73321
145.26983,-37.60232
142.4668,-38.36634
144.95965,-38.33964
145.12967,-37.7868
144.74746,-36.1282
145.1478,-37.72498
144.25426,-36.72058
144.3329,-37.105
145.25824,-38.00176
144.93392,-37.78067
144.89267,-37.79838
144.58844,-37.49086
145.00947,-37.94704
146.98292,-36.76886
144.34776,-38.19764
145.01838,-37.82011
145.0678,-37.7547
142.02138,-37.74491
144.70685,-36.92401
144.31708,-38.17216
144.3344,-36.66254
144.263,-38.33364
146.6066,-36.14707
144.46269,-37.24889
144.74538,-37.35418
143.98214,-38.01399
144.15675,-36.8416
144.13537,-36.73568
144.58413,-37.40479
143.86837,-37.60474
144.58702,-37.68046
144.98151,-37.7996
144.06719,-37.10592
143.98443,-37.41202
145.15181,-37.85973
144.59658,-37.46289
143.64428,-38.19397
144.92104,-37.7531
144.96821,-37.7413
142.29133,-37.87918
144.34632,-37.61972
145.09224,-37.5946
141.59941,-38.3473
142.77378,-37.05613
146.46061,-36.05621
144.67978,-37.46122
143.72281,-37.90366
144.38277,-38.17551
147.07364,-38.1083
143.36816,-37.68686
144.98562,-37.84135
147.08539,-37.96725
144.35106,-37.14131
142.3687,-38.29244
144.40878,-37.32497
145.0115,-37.68227
146.32942,-36.35528
146.39792,-36.01365
144.53294,-37.35342
142.4845,-38.31681
144.65874,-37.90687
144.20749,-37.07016
146.73088,-36.29048
144.97504,-37.41146
142.43176,-38.18741
144.08844,-37.214
146.67532,-38.55853
143.8385,-37.55633
145.4283,-37.21273
144.72642,-37.27495
144.47831,-37.61379
143.78651,-38.34046
145.12267,-37.91194
146.43248,-36.44454
144.16156,-36.80258
143.5519,-36.78994
147.62323,-37.82742
144.10505,-37.58385
144.13276,-37.30972
144.39564,-38.0304
146.7739,-38.1546
146.96093,-36.7331
144.698,-36.3546
142.93731,-37.28594
146.14,-37.30126
145.00745,-37.74787
147.59308,-37.10022
147.06494,-36.88771
145.08881,-38.00558
145.51604,-37.65713
142.8379,-37.72024
146.62518,-38.05697
143.63446,-37.35384
142.85173,-37.14851
146.97677,-37.964
145.88923,-36.42328
144.01071,-37.67672
143.07812,-38.32712
144.71475,-38.17184
145.35407,-37.75367
144.26524,-36.75702
144.89357,-37.40103
143.56131,-37.68407
143.87458,-37.52053
147.37948,-36.53341
145.05805,-37.83268
144.88618,-37.63983
145.7117,-37.19257
144.6619,-37.73215
144.16067,-38.042
145.14554,-37.60601
143.7036,-37.16865
145.37241,-37.6497
144.23409,-36.78768
144.8957,-37.67565
144.72814,-37.59769
145.15165,-37.67185
144.61978,-37.34781
144.50146,-36.78623
145.1943,-37.83736
143.8284,-36.77126
145.08138,-37.81394
145.2275,-37.89395
143.81266,-37.05206
145.43595,-37.79025
145.38222,-37.70535
141.27673,-37.92302
144.87655,-37.5635
143.87045,-36.57394
144.26116,-37.08233
144.7454,-37.43373
143.82646,-37.67863
145.03339,-37.80364
143.72171,-37.58864
142.73253,-38.32935
144.74069,-38.34148
143.8021,-37.5548
143.94592,-36.6031
145.18947,-38.2997
146.83646,-36.3121
145.15723,-36.78759
146.78494,-37.98211
145.03959,-37.94202
146.08482,-37.05559
146.72484,-36.15601
147.06784,-37.8428
147.45327,-37.80088
145.0463,-37.20257
145.21429,-36.61718
145.23956,-37.64161
143.9348,-37.52478
142.82232,-37.04956
147.83349,-37.70421
143.54325,-35.34691
146.91102,-36.69949
144.46437,-38.18726
144.05469,-38.10094
145.06589,-37.86048
143.46986,-37.43773
144.27998,-36.77512
143.84472,-37.59643
146.87674,-38.52633
142.92873,-38.19075
144.95277,-37.84188
144.90041,-37.8638
144.88728,-38.41187
144.65621,-38.26722
141.57233,-38.31764
143.71199,-36.98422
141.08249,-36.97371
144.35291,-36.80436
145.20124,-38.11771
144.79814,-37.03978
147.63075,-37.81267
145.05787,-37.42371
144.97303,-37.79106
144.06581,-36.99504
145.53269,-37.77737
142.76785,-37.30166
143.88625,-37.65423
145.74894,-37.51198
144.48966,-37.17118
145.02786,-37.3603
145.24131,-38.45628
144.21822,-37.40538
143.3393,-37.9546
145.1155,-37.72617
144.24834,-36.76187
141.6138,-38.28161
143.11134,-36.90074
142.39126,-36.25788
146.38309,-36.59317
143.468,-36.94213
144.98925,-37.79231
145.3042,-37.65352
147.1742,-36.2148
145.43115,-36.4527
145.09219,-38.19539
145.36945,-38.52385
142.0304,-36.45336
146.58665,-36.50544
146.25688,-37.1028
144.13456,-37.96906
