,Suburb,2001_population,2002_population,2003_population,2004_population,2005_population,2006_population,2007_population,2008_population,2009_population,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,2020_population,2021_population
105,COLLINGWOOD,5221,5419,5537,5602,5653,5761,5939,6185,6454,6684,6867,7209,7427,8022,8582,9235,9439,9597,9817,9953,9348
106,ABBOTSFORD,4150,4339,4444,4452,4498,4537,4638,4727,4833,5029,5213,5544,6539,7411,8078,8770,9288,9522,9586,9662,9262
107,CLIFTON HILL,7673,7687,7739,7833,7909,8034,8225,8372,8519,8595,8621,8814,9001,9237,9449,9606,9675,9761,9984,10151,9980
108,FITZROY NORTH,11130,11162,11202,11275,11486,11606,11725,11937,12104,12163,12143,12312,12446,12658,12901,13129,13249,13330,13521,13648,12955
109,NORTHCOTE,21150,21244,21369,21567,21817,22220,22726,23282,23821,24070,24152,24419,24982,25551,25992,26424,26630,26885,27011,27036,25657
110,THORNBURY,17056,17084,17084,17118,17193,17368,17622,17880,18064,18177,18258,18484,18773,18985,19254,19578,19711,19699,19708,19763,19152
113,RESERVOIR,24082,24046,24024,24153,24318,24666,24909,25115,25479,25662,25781,26379,26842,27285,27735,28420,28704,28898,29033,28929,27930
114,THOMASTOWN,22546,22382,22228,21869,21570,21422,21328,21398,21512,21526,21430,21420,21430,21432,21442,21485,21482,21445,21351,21152,20211
115,LALOR,21412,21237,20980,20603,20349,20172,20182,20345,20527,20677,20782,21313,22013,22612,23290,23874,24205,24359,24418,24305,23663
117,ALPHINGTON,2282,2293,2301,2308,2325,2346,2370,2393,2424,2462,2478,2520,2555,2589,2644,2730,2741,2723,2738,2757,2626
118,FAIRFIELD,5602,5630,5649,5667,5706,5758,5818,5876,5952,6043,6082,6185,6271,6354,6489,6703,6728,6685,6720,6769,6445
119,IVANHOE,10493,10440,10491,10480,10545,10713,10947,11275,11516,11587,11608,11655,11693,11734,11851,11998,12317,12634,12853,12867,12561
120,IVANHOE EAST,1276,1279,1284,1280,1291,1314,1320,1328,1333,1338,1340,1342,1344,1346,1348,1353,1353,1355,1356,1329,1300
123,HEIDELBERG WEST,3103,3090,3087,3073,3085,3096,3123,3145,3195,3219,3262,3294,3328,3373,3414,3454,3510,3544,3622,3620,3508
124,MILL PARK,18680,18853,18895,18938,19053,19275,19303,19360,19398,19219,19046,18841,18656,18710,18653,18712,18633,18586,18461,18255,17647
125,BUNDOORA,6949,6890,6788,6685,6638,6583,6527,6503,6479,6477,6503,6485,6473,6450,6440,6456,6454,6467,6472,6456,6239
128,HEIDELBERG,6623,6649,6645,6627,6683,6756,6924,7005,7207,7292,7352,7498,7657,7782,7885,8033,8219,8349,8524,8600,8380
