Suburb,rental rank,income rank,population rank,average rank
WANTIRNA,44,157,168,123.0
GREENSBOROUGH,168,38,164,123.33333333333333
BUNINYONG,126,167,78,123.66666666666667
KEILOR EAST,91,115,166,124.0
BLACKBURN,158,120,97,125.0
TRARALGON,123,154,99,125.33333333333333
ARMADALE,156,164,59,126.33333333333333
HOPPERS CROSSING,84,139,159,127.33333333333333
SALE,98,166,118,127.33333333333333
SOUTHBANK,181,174,28,127.66666666666667
SOUTH MELBOURNE,180,175,29,128.0
BULLEEN,104,135,146,128.33333333333334
EAST MELBOURNE,138,106,142,128.66666666666666
BALWYN,111,179,96,128.66666666666666
MULGRAVE,78,148,161,129.0
HAMILTON,118,138,139,131.66666666666666
MONT ALBERT,142,141,123,135.33333333333334
ABBOTSFORD,178,50,183,137.0
SURREY HILLS,143,143,127,137.66666666666666
CANTERBURY,144,142,128,138.0
KEW,108,158,153,139.66666666666666
TEMPLESTOWE,103,165,156,141.33333333333334
ELWOOD,165,118,141,141.33333333333334
MILL PARK,182,112,133,142.33333333333334
BERWICK,145,152,134,143.66666666666666
DEER PARK,140,121,178,146.33333333333334
FLEMINGTON,173,107,169,149.66666666666666
BRIGHTON,137,150,167,151.33333333333334
HAWTHORN,157,176,129,154.0
ESSENDON,155,136,177,156.0
CAMBERWELL,130,169,181,160.0
BUNDOORA,167,162,151,160.0
BROADMEADOWS,153,153,180,162.0
