name,type,prop_lat,prop_long,Beds,Baths,Parking,weekly_cost,suburb
56 selwyn street albion vic 3020,House,-37.7807821,144.8130199,3,2,2,300.0,albion
1/3 robin street altona vic 3018,Apartment / Unit / Flat,-37.8690276,144.8072501,2,1,1,300.0,altona
34 hucker street ararat vic 3377,House,-37.27641089999999,142.920079,3,1,1,300.0,ararat
3 neylan street ararat vic 3377,House,-37.292905,142.9218811,2,1,2,300.0,ararat
8 suspension street ardeer vic 3022,House,-37.7823611,144.8088328,2,1,2,300.0,ardeer
14/27 st georges road armadale vic 3143,Apartment / Unit / Flat,-37.860329,145.0220163,1,1,1,300.0,armadale
1/28 ormond road ascot vale vic 3032,Apartment / Unit / Flat,-37.773066299999996,144.9303035,1,1,1,300.0,ascot vale
30b san remo drive avondale heights vic 3034,Apartment / Unit / Flat,-37.7573875,144.8691038,1,1,0,300.0,avondale heights
205 johns street ballarat east vic 3350,House,-37.5570369,143.8794746,3,1,1,300.0,ballarat east
14b purcell st benalla vic 3672,House,-36.5566188,145.973497,1,1,0,300.0,benalla
3/25a havlin street bendigo vic 3550,Apartment / Unit / Flat,-36.7615282,144.2899869,2,1,1,300.0,bendigo
3/180 williamson street bendigo vic 3550,Townhouse,-36.7684112,144.290465,2,1,1,300.0,bendigo
765 warrigal rd bentleigh east vic 3165,House,-37.9125784,145.0842931,1,1,1,300.0,bentleigh east
4/718 chisholm street black hill vic 3350,House,-37.5503711,143.8716351,2,1,1,300.0,black hill
1/53 bishop street box hill vic 3128,Apartment / Unit / Flat,-37.820344,145.134384,2,1,1,300.0,box hill
12/23-25 albion road box hill vic 3128,Apartment / Unit / Flat,-37.8242993,145.1246278,2,1,1,300.0,box hill
7/380 brunswick road brunswick vic 3056,Apartment / Unit / Flat,-37.775646,144.947037,2,1,1,300.0,brunswick
18/39 murray st brunswick west vic 3055,Apartment / Unit / Flat,-37.7596004,144.9414751,1,1,0,300.0,brunswick west
8/16 wallace street brunswick west vic 3055,Apartment / Unit / Flat,-37.7628591,144.946364,1,1,1,300.0,brunswick west
77 elgar road burwood vic 3125,Apartment / Unit / Flat,-37.8447381,145.1095873,1,1,0,300.0,burwood
25 redhill avenue burwood east vic 3151,Apartment / Unit / Flat,-37.853623,145.155402,0,1,0,300.0,burwood east
6317/570 lygon street carlton vic 3053,Apartment / Unit / Flat,-37.7931559,144.9694316,1,1,0,300.0,carlton
3609/478 swanston street carlton vic 3053,Studio,-37.8055054,144.9633599,0,1,0,300.0,carlton
3/9 frogmore road carnegie vic 3163,Apartment / Unit / Flat,-37.894363,145.0639811,1,1,1,300.0,carnegie
2/158 oakleigh road carnegie vic 3163,Apartment / Unit / Flat,-37.9007349,145.0635293,2,1,1,300.0,carnegie
3/24 park crescent caulfield north vic 3161,Apartment / Unit / Flat,-37.87256319999999,145.0348183,1,1,1,300.0,caulfield north
7/9 hudson street caulfield north vic 3161,Apartment / Unit / Flat,-37.8799283,145.0333399,1,1,1,300.0,caulfield north
7/19 field street caulfield south vic 3162,Apartment / Unit / Flat,-37.8890587,145.0305196,1,1,1,300.0,caulfield south
3/55 koonawarra street clayton vic 3168,Apartment / Unit / Flat,-37.9111821,145.1243493,1,1,0,300.0,clayton
7/57 rayhur st clayton south vic 3169,Studio,-37.934289,145.1341561,0,1,0,300.0,clayton south
59a whyte street coleraine vic 3315,Townhouse,-37.5987575,141.6939533,2,1,2,300.0,coleraine
59a whyte street coleraine vic 3315,Townhouse,-37.5987575,141.6939533,2,1,2,300.0,coleraine
25 jesson crescent dandenong vic 3175,House,-37.9811702,145.2301825,2,1,1,300.0,dandenong
8/46 princes highway dandenong vic 3175,House,-37.9823334,145.2122199,2,1,1,300.0,dandenong
1/27 birdwood street dandenong vic 3175,Apartment / Unit / Flat,-37.9805797,145.2018216,2,1,1,300.0,dandenong
1/12 louis avenue dandenong vic 3175,Apartment / Unit / Flat,-37.9726424,145.2243887,2,1,1,300.0,dandenong
11/30-32 close avenue dandenong vic 3175,Apartment / Unit / Flat,-37.9821214,145.2076113,2,1,1,300.0,avenue dandenong
13/29 stud road dandenong vic 3175,Apartment / Unit / Flat,-37.9822901,145.220699,2,1,1,300.0,dandenong
3/249 gladstone road dandenong vic 3175,Apartment / Unit / Flat,-37.9539529,145.2081208,2,1,1,300.0,dandenong
3/79 hemmings street dandenong vic 3175,Apartment / Unit / Flat,-37.9828632,145.2017785,2,1,1,300.0,dandenong
3/12 louis avenue dandenong north vic 3175,Apartment / Unit / Flat,-37.9726424,145.2243887,2,1,1,300.0,dandenong north
3/19 canterbury street deer park vic 3023,Apartment / Unit / Flat,-37.771452,144.772592,2,1,1,300.0,deer park
32 salmond street deer park vic 3023,House,-37.7615689,144.7678323,3,1,1,300.0,deer park
26 eyre street echuca vic 3564,House,-36.1331597,144.7621442,1,1,2,300.0,echuca
1/5a rusden street elsternwick vic 3185,Apartment / Unit / Flat,-37.8860044,145.0000624,1,1,1,300.0,elsternwick
3/191 brighton road elwood vic 3184,Apartment / Unit / Flat,-37.8784374,144.9929179,1,1,1,300.0,elwood
7/96 glen huntly road elwood vic 3184,Apartment / Unit / Flat,-37.8830591,144.9880547,1,1,1,300.0,elwood
6/8 glass st essendon vic 3040,Apartment / Unit / Flat,-37.7467438,144.9206457,1,1,1,300.0,essendon
9/13 mcculloch street essendon vic 3040,Apartment / Unit / Flat,-37.7394968,144.9028238,1,1,1,299.0,essendon
76b doveton avenue eumemmerring vic 3177,Apartment / Unit / Flat,-37.9961079,145.250283,1,1,0,300.0,eumemmerring
9/43 gillies street fairfield vic 3078,Apartment / Unit / Flat,-37.780753,145.0169793,1,1,1,300.0,fairfield
4/68 station street fairfield vic 3078,Apartment / Unit / Flat,-37.779759,145.0177112,1,1,1,300.0,fairfield
10/11 owen street footscray vic 3011,Apartment / Unit / Flat,-37.7878018,144.8913888,2,1,1,300.0,footscray
1/34 empire street footscray vic 3011,Apartment / Unit / Flat,-37.7880067,144.8919906,2,1,1,300.0,footscray
3/5 empire street footscray vic 3011,Apartment / Unit / Flat,-37.7902567,144.8907226,2,1,1,300.0,footscray
3/38 station road foster vic 3960,Apartment / Unit / Flat,-38.6542591,146.2019898,2,1,1,300.0,foster
2/25 cranbourne road frankston vic 3199,Apartment / Unit / Flat,-38.1516124,145.1518544,1,1,1,300.0,frankston
2/240 ryrie street geelong vic 3220,Apartment / Unit / Flat,-38.1504387,144.3629217,1,1,1,300.0,geelong
2/31 prince street gisborne vic 3437,Apartment / Unit / Flat,-37.4888069,144.5882653,2,1,0,300.0,gisborne
10/12 rosedale avenue glen huntly vic 3163,Apartment / Unit / Flat,-37.8912007,145.0443204,1,1,1,300.0,glen huntly
5/219 burke road glen iris vic 3146,Apartment / Unit / Flat,-37.8587552,145.0508664,1,1,1,300.0,glen iris
3/33 william street glenroy vic 3046,Apartment / Unit / Flat,-37.7099333,144.9093803,2,1,1,300.0,glenroy
9/139 melbourne avenue glenroy vic 3046,Apartment / Unit / Flat,-37.7032111,144.9218497,1,1,1,300.0,glenroy
78a vines road hamlyn heights vic 3215,Apartment / Unit / Flat,-38.1215552,144.327865,1,1,1,300.0,hamlyn heights
2/7 fishburn grove harkness vic 3337,Apartment / Unit / Flat,-37.66940779999999,144.5545091,2,1,1,300.0,harkness
8/14 grove road hawthorn vic 3122,Apartment / Unit / Flat,-37.814751,145.023551,1,1,1,300.0,road hawthorn
