name,type,prop_lat,prop_long,Beds,Baths,Parking,weekly_cost,suburb
16/131 riversdale road hawthorn vic 3122,Apartment / Unit / Flat,-37.8288357,145.0376458,1,1,1,300.0,hawthorn
3/12 auburn grove hawthorn east vic 3123,Apartment / Unit / Flat,-37.8257868,145.0462153,1,1,1,300.0,hawthorn east
28 buna street heidelberg west vic 3081,House,-37.7365487,145.0401003,2,1,1,300.0,heidelberg west
2399 woolsthorpe-hexham road hexham vic 3273,House,-38.0139951,142.6712447,3,1,1,300.0,hexham
111 morris road hoppers crossing vic 3029,House,-37.8755183,144.7015875,2,1,1,300.0,hoppers crossing
2/5 pynsent street horsham vic 3400,Apartment / Unit / Flat,-36.7158184,142.2043571,2,1,1,300.0,horsham
6/160 waterdale road ivanhoe vic 3079,Apartment / Unit / Flat,-37.7637372,145.04333,1,1,1,300.0,ivanhoe
5/7 waverley avenue ivanhoe vic 3079,Apartment / Unit / Flat,-37.7715731,145.0392058,1,1,1,300.0,ivanhoe
105/1053 plenty road kingsbury vic 3083,Apartment / Unit / Flat,-37.713569,145.044726,2,1,0,300.0,kingsbury
3/20 dunne street kingsbury vic 3083,Apartment / Unit / Flat,-37.7153791,145.0411768,2,1,1,300.0,kingsbury
1/35 kingsville street kingsville vic 3012,Apartment / Unit / Flat,-37.8089872,144.8789884,1,1,1,300.0,kingsville
2/20 kingsville street kingsville vic 3012,Apartment / Unit / Flat,-37.8081694,144.8783007,2,1,1,300.0,kingsville
7/34 bishop street kingsville vic 3012,Apartment / Unit / Flat,-37.81072,144.874925,2,1,1,300.0,kingsville
32 woods street laverton vic 3028,House,-37.861835,144.7734414,3,1,1,300.0,laverton
33 woods street laverton vic 3028,House,-37.8621314,144.7737557,3,1,1,300.0,laverton
98 tyquin street laverton vic 3028,House,-37.85499799999999,144.7781342,3,1,2,320.0,laverton
1/21 main rd lower plenty vic 3093,Apartment / Unit / Flat,-37.72897,145.109432,1,1,1,300.0,lower plenty
8/9 churchill avenue maidstone vic 3012,Apartment / Unit / Flat,-37.7835505,144.8691038,2,1,1,300.0,maidstone
3/20 dundas road maryborough vic 3465,Apartment / Unit / Flat,-37.0382828,143.7381177,2,1,1,300.0,maryborough
1/294 gladstone street maryborough vic 3465,House,-37.0347319,143.740736,2,1,2,300.0,maryborough
6/125 mckinnon road mckinnon vic 3204,Apartment / Unit / Flat,-37.9106358,145.0362894,1,1,1,298.0,mckinnon
1/14 meikle street meeniyan vic 3956,House,-38.5763231,146.0180278,2,1,1,300.0,meeniyan
309/29 market street melbourne vic 3000,Apartment / Unit / Flat,-37.8186835,144.9603997,1,1,0,300.0,melbourne
208a/441 lonsdale street melbourne vic 3000,Studio,-37.8134292,144.9594445,0,1,0,300.0,melbourne
1207/268 flinders street melbourne vic 3000,Apartment / Unit / Flat,-37.8178134,144.9655688,1,1,0,300.0,melbourne
3509/568 collins street melbourne vic 3000,Apartment / Unit / Flat,-37.8183759,144.9554361,1,1,0,300.0,melbourne
211a/441 lonsdale street melbourne vic 3000,Apartment / Unit / Flat,-37.8134292,144.9594445,1,1,0,300.0,melbourne
9 westmill vista melton vic 3337,House,-37.686641,144.5554285,2,1,1,300.0,melton
unit 1/33 staughton street melton south vic 3338,House,-37.704113,144.571591,2,1,1,300.0,melton south
2/47 albenca street mentone vic 3194,Apartment / Unit / Flat,-37.9774345,145.0742551,1,1,1,300.0,mentone
2/302 ninth street mildura vic 3500,Apartment / Unit / Flat,-34.1743853,142.1468433,3,1,1,300.0,mildura
2 toorak avenue mildura vic 3500,House,-34.1827225,142.1516916,2,1,1,300.0,mildura
9 wilga avenue mildura vic 3500,House,-34.1782491,142.1496189,2,1,1,300.0,mildura
123 san mateo avenue mildura vic 3500,House,-34.1918467,142.1640854,2,1,1,300.0,mildura
35 truscott road moe vic 3825,House,-38.1839432,146.2504758,2,1,2,300.0,moe
17/108-110 maribyrnong road moonee ponds vic 3039,Apartment / Unit / Flat,-37.771541,144.915975,1,1,1,300.0,moonee ponds
8/51 buckley street moonee ponds vic 3039,Apartment / Unit / Flat,-37.7580675,144.9237203,1,1,1,300.0,moonee ponds
1/1 aherin street morwell vic 3840,House,-38.2387661,146.3906031,2,1,1,300.0,morwell
405 princes drive morwell vic 3840,House,-38.2397356,146.418523,2,1,0,300.0,morwell
71 hourigan road morwell vic 3840,House,-38.228037,146.4222772,2,1,1,300.0,morwell
2/130 bridle road morwell vic 3840,Apartment / Unit / Flat,-38.2220164,146.4351444,2,1,1,300.0,morwell
2/4 rathkeale avenue mount helen vic 3350,Apartment / Unit / Flat,-37.6277332,143.8786293,2,1,1,300.0,mount helen
5a/44-60 jacksons road mulgrave vic 3170,Apartment / Unit / Flat,-37.9279227,145.1954522,1,1,0,300.0,mulgrave
3/24 brisbane street murrumbeena vic 3163,Apartment / Unit / Flat,-37.8854472,145.068052,1,1,1,300.0,murrumbeena
2/15 gordon street noble park vic 3174,Apartment / Unit / Flat,-37.9749011,145.1829268,1,1,1,300.0,noble park
1/1-5 lawn road noble park vic 3174,Apartment / Unit / Flat,-37.9584397,145.163699,1,1,1,300.0,noble park
2/14 alamein street noble park vic 3174,Apartment / Unit / Flat,-37.9583531,145.1671487,2,1,1,300.0,noble park
2/5 duncan court noble park vic 3174,Apartment / Unit / Flat,-37.963692,145.179151,1,1,1,300.0,noble park
11 ulladulla street norlane vic 3214,House,-38.0944778,144.3495975,2,1,0,300.0,norlane
50 wendover avenue norlane vic 3214,House,-38.0929066,144.3627509,2,1,2,300.0,norlane
2/26 canning street north melbourne vic 3051,Apartment / Unit / Flat,-37.7957684,144.943323,1,1,1,300.0,north melbourne
202/179 boundary road north melbourne vic 3051,Apartment / Unit / Flat,-37.7889129,144.9392885,1,1,0,300.0,north melbourne
511/188 peel st north melbourne vic 3051,Studio,-37.8032321,144.9567684,1,1,0,300.0,north melbourne
28-29/7 hartington street northcote vic 3070,House,-37.7711979,144.9931546,2,1,0,300.0,northcote
3/6 ormond road ormond vic 3204,Apartment / Unit / Flat,-37.9036388,145.0456124,1,1,1,300.0,ormond
7/45 parkers road parkdale vic 3195,Apartment / Unit / Flat,-37.9956123,145.076063,1,1,1,300.0,parkdale
3/219 como parade east parkdale vic 3195,Apartment / Unit / Flat,-37.9953407,145.0798937,1,1,1,300.0,east parkdale
9/10-12 lennon street parkville vic 3052,Apartment / Unit / Flat,-37.786583,144.9411809,1,1,1,300.0,parkville
9/564 pascoe vale rd pascoe vale vic 3044,Apartment / Unit / Flat,-37.7238266,144.9226882,2,1,1,300.0,pascoe vale
26a waves drive point cook vic 3030,Apartment / Unit / Flat,-37.9148729,144.7807528,1,1,1,300.0,point cook
611/42 porter street prahran vic 3181,Apartment / Unit / Flat,-37.8484995,144.9903141,1,1,0,300.0,prahran
3/51 asling street preston vic 3072,Apartment / Unit / Flat,-37.7363008,144.9945318,1,1,1,300.0,preston
3/118 gower street preston vic 3072,Apartment / Unit / Flat,-37.7419204,145.0196915,1,1,1,300.0,preston
3 echuca street quarry hill vic 3550,House,-36.7705467,144.2853564,2,1,3,300.0,quarry hill
124 indi avenue red cliffs vic 3496,House,-34.3062544,142.1958143,2,1,1,300.0,red cliffs
1/808 latrobe street redan vic 3350,Apartment / Unit / Flat,-37.5714776,143.827832,2,1,1,300.0,redan
3/1067 high street reservoir vic 3073,Apartment / Unit / Flat,-37.698291,145.010431,2,1,1,300.0,reservoir
7/67 elizabeth street richmond vic 3121,Apartment / Unit / Flat,-37.8110675,144.9948115,1,1,1,300.0,richmond
3/275 burnley st richmond vic 3121,Apartment / Unit / Flat,-37.8228739,145.0078044,1,1,1,300.0,richmond
3/15 fraser street richmond vic 3121,Apartment / Unit / Flat,-37.8203304,145.0064643,1,1,1,300.0,richmond
1/96 wimble street seymour vic 3660,Apartment / Unit / Flat,-37.0254,145.149454,2,1,0,300.0,seymour
3/141 ashenden street shepparton vic 3630,Apartment / Unit / Flat,-36.3854517,145.4109291,2,1,1,300.0,shepparton
unit 2/50 mason st shepparton vic 3630,Apartment / Unit / Flat,-36.37081,145.3977362,2,1,1,300.0,shepparton
62 ferguson road shepparton vic 3630,House,-36.3567423,145.3794544,2,1,1,300.0,shepparton
1/2b saltley street south kingsville vic 3015,Apartment / Unit / Flat,-37.8263785,144.8681912,2,1,1,300.0,south kingsville
8/79 alexandra avenue south yarra vic 3141,Apartment / Unit / Flat,-37.833462,144.990691,1,1,0,300.0,south yarra
217/32 bray street south yarra vic 3141,Studio,-37.8444692,144.9955271,1,1,0,330.0,south yarra
2/49 heather grove springvale vic 3171,Apartment / Unit / Flat,-37.956041,145.142856,1,1,1,300.0,springvale
1/13 adelaide street st albans vic 3021,Apartment / Unit / Flat,-37.7415388,144.7935692,3,1,2,300.0,st albans
2/149 st albans road st albans vic 3021,Apartment / Unit / Flat,-37.7584969,144.810937,2,1,1,300.0,st albans
4 hook street st albans vic 3021,House,-37.7447345,144.7917862,3,1,2,300.0,st albans
30 scott avenue st albans vic 3021,House,-37.7454003,144.7950707,4,1,1,300.0,st albans
9/18 marsden crescent st albans vic 3021,Apartment / Unit / Flat,-37.74516089999999,144.7990874,2,1,2,300.0,st albans
11 mcleod road st albans vic 3021,House,-37.736419,144.7845306,3,1,1,300.0,st albans
2/14 john street st albans vic 3021,House,-37.738439,144.786588,2,1,3,300.0,st albans
8/75 westbury street st kilda vic 3182,Apartment / Unit / Flat,-37.864278,144.9960243,1,1,1,300.0,st kilda
1/76 octavia street st kilda vic 3182,Apartment / Unit / Flat,-37.8580751,144.9876244,1,1,0,300.0,st kilda
4/36 blessington street st kilda vic 3182,Apartment / Unit / Flat,-37.8697373,144.9819009,1,1,1,300.0,st kilda
st kilda vic 3182,Apartment / Unit / Flat,-37.864,144.982,1,1,1,300.0,kilda
7/50 carlisle street st kilda vic 3182,Apartment / Unit / Flat,-37.8671156,144.9832565,1,1,1,300.0,st kilda
79 suffolk road sunshine north vic 3020,House,-37.7723786,144.8388984,3,1,2,300.0,sunshine north
22 marcia street sunshine west vic 3020,House,-37.79014859999999,144.8120965,3,1,2,300.0,sunshine west
1/109 dalton road thomastown vic 3074,Apartment / Unit / Flat,-37.679757,145.029665,2,1,0,300.0,thomastown
4/168 station street thomastown vic 3074,Apartment / Unit / Flat,-37.6800729,145.0153812,2,1,0,300.0,thomastown
5/3 smith street thornbury vic 3071,Apartment / Unit / Flat,-37.7579461,144.9998042,1,1,0,300.0,thornbury
3/63 pender street thornbury vic 3071,Apartment / Unit / Flat,-37.7538346,145.0081546,1,1,1,300.0,thornbury
4/29 clyde street thornbury vic 3071,Apartment / Unit / Flat,-37.7608497,145.0075089,1,1,1,300.0,thornbury
2/68 dundas street thornbury vic 3071,Apartment / Unit / Flat,-37.7554968,145.0276779,1,1,1,300.0,thornbury
3/112 merrijig drive torquay vic 3228,Studio,-38.3087518,144.3302771,1,1,0,300.0,torquay
39 burnet place traralgon vic 3844,House,-38.188872,146.557563,3,1,1,300.0,traralgon
7/14 william street tyabb vic 3913,Apartment / Unit / Flat,-38.25936,145.1869431,2,1,0,330.0,tyabb
39a murphy street wangaratta vic 3677,Apartment / Unit / Flat,-36.3557294,146.325498,2,1,1,300.0,wangaratta
4/11 edgar street werribee vic 3030,House,-37.897583,144.6492253,2,1,1,300.0,werribee
3/535 barkly street west footscray vic 3012,Villa,-37.797890699999996,144.8784297,2,1,1,310.0,west footscray
g06/690 barkly street west footscray vic 3012,Apartment / Unit / Flat,-37.7960913,144.8683302,1,1,1,330.0,west footscray
10 intervale drive wyndham vale vic 3024,House,-37.8949356,144.6242977,3,1,1,300.0,wyndham vale
1/125 bouverie street carlton vic 3053,Apartment / Unit / Flat,-37.8036076,144.9616683,0,1,0,299.0,carlton
4/12 oxford street box hill vic 3128,Townhouse,-37.821447,145.12131,1,1,1,295.0,box hill
22/53 bishop street box hill vic 3128,Apartment / Unit / Flat,-37.820344,145.134384,1,1,1,295.0,box hill
103/6 hope street brunswick vic 3056,Apartment / Unit / Flat,-37.7640105,144.9618543,1,1,0,295.0,brunswick
9/912 drummond street carlton north vic 3054,Apartment / Unit / Flat,-37.7829499,144.9718751,1,1,0,295.0,carlton north
8/25 elliott avenue carnegie vic 3163,Apartment / Unit / Flat,-37.8902175,145.0597333,1,1,1,295.0,carnegie
411/5 dudley street caulfield east vic 3145,Apartment / Unit / Flat,-37.880396,145.048005,1,1,0,295.0,caulfield east
237/14-20 nicholson street coburg vic 3058,Apartment / Unit / Flat,-37.7554309,144.9756049,1,1,0,295.0,coburg
12a/310 bangerang road echuca village vic 3564,Apartment / Unit / Flat,-36.1249167,144.8064836,2,1,0,295.0,echuca village
10/126 glen huntly road elwood vic 3184,Apartment / Unit / Flat,-37.8832644,144.9899483,1,1,0,295.0,elwood
7/7 southey street elwood vic 3184,Apartment / Unit / Flat,-37.8748077,144.9838374,1,1,0,295.0,elwood
6/7 southey street elwood vic 3184,Apartment / Unit / Flat,-37.8748077,144.9838374,1,1,0,295.0,elwood
9/94 gillies street fairfield vic 3078,Apartment / Unit / Flat,-37.7757157,145.0172592,1,1,1,295.0,fairfield
12/67 ballarat road footscray vic 3011,Apartment / Unit / Flat,-37.7950764,144.9028453,1,1,1,295.0,footscray
2/103 husband road forest hill vic 3131,Apartment / Unit / Flat,-37.8394452,145.1828031,2,1,1,295.0,forest hill
5/36 fairway street frankston vic 3199,Apartment / Unit / Flat,-38.1362136,145.1338113,2,1,1,295.0,frankston
8/22 brixton rise glen iris vic 3146,Apartment / Unit / Flat,-37.85879920000001,145.0598895,1,1,1,295.0,glen iris
4/54 ballarat road hamlyn heights vic 3215,Apartment / Unit / Flat,-38.1243638,144.3365765,1,1,1,295.0,hamlyn heights
6b adrian court heathmont vic 3135,House,-37.8274195,145.2330703,1,1,1,295.0,heathmont
5/29 knight avenue herne hill vic 3218,Apartment / Unit / Flat,-38.13964970000001,144.3246258,1,1,1,295.0,herne hill
1/59 maurice street herne hill vic 3218,Apartment / Unit / Flat,-38.1298842,144.3262428,2,1,1,295.0,herne hill
4/23-25 baggott drive hoppers crossing vic 3029,House,-37.8744325,144.6870459,2,1,1,295.0,hoppers crossing
2/23-25 baggott drive hoppers crossing vic 3029,House,-37.874432,144.687045,2,1,1,295.0,hoppers crossing
2/26 philip street horsham vic 3400,Apartment / Unit / Flat,-36.7174633,142.182239,2,1,2,295.0,horsham
4/10 eglinton street kew vic 3101,Apartment / Unit / Flat,-37.7994589,145.0307885,1,1,0,295.0,kew
5/80 beauchamp street kyneton vic 3444,Apartment / Unit / Flat,-37.2414568,144.450739,2,1,1,295.0,kyneton
16 maher road laverton vic 3028,House,-37.8626265,144.7737128,3,1,0,295.0,laverton
125/116-130 main drive macleod vic 3085,Studio,-37.7147422,145.0609004,1,1,0,295.0,macleod
11/100 claremont avenue malvern vic 3144,Apartment / Unit / Flat,-37.8673191,145.0387654,1,1,1,295.0,malvern
308/65 elizabeth street melbourne vic 3000,Studio,-37.8167854,144.964073,0,1,0,295.0,melbourne
806/238 flinders street melbourne vic 3000,Apartment / Unit / Flat,-37.8173927,144.9663866,1,1,0,295.0,melbourne
307/65 elizabeth street melbourne vic 3000,Studio,-37.8167854,144.964073,0,1,0,295.0,melbourne
1/130 coburns road melton vic 3337,Apartment / Unit / Flat,-37.6868899,144.5680989,3,1,0,295.0,melton
11/86-88 seventh street mildura vic 3500,Apartment / Unit / Flat,-34.186878,142.1691417,2,1,1,295.0,mildura
7/1 holyrood avenue newtown vic 3220,Apartment / Unit / Flat,-38.1578867,144.3268165,1,1,1,295.0,newtown
6/30 aberdeen grove northcote vic 3070,Apartment / Unit / Flat,-37.774562,144.9921432,1,1,1,295.0,northcote
4/14a myrtle grove preston vic 3072,Apartment / Unit / Flat,-37.7304839,144.998556,1,1,1,295.0,preston
501 bell street redan vic 3350,House,-37.576983,143.8379711,2,1,2,295.0,redan
9/5 mcgrath court richmond vic 3121,Apartment / Unit / Flat,-37.82346709999999,144.9993522,1,1,1,295.0,richmond
2/59 grant street sebastopol vic 3356,House,-37.5909455,143.8314802,2,1,1,295.0,sebastopol
2/217 buckley street seddon vic 3011,Apartment / Unit / Flat,-37.8025987,144.8871119,2,1,1,295.0,seddon
18 oak street shepparton vic 3630,House,-36.3648622,145.4181561,3,1,1,295.0,shepparton
313 kings way south melbourne vic 3205,Apartment / Unit / Flat,-37.8338255,144.969229,0,1,0,295.0,south melbourne
1 mcarthur avenue st albans vic 3021,House,-37.7450055,144.8108512,3,1,1,295.0,st albans
9/40 waterloo crescent st kilda vic 3182,Apartment / Unit / Flat,-37.8626452,144.9835782,1,1,0,295.0,st kilda
6/30 westbury street st kilda east vic 3183,Apartment / Unit / Flat,-37.861605,144.997009,2,1,1,295.0,kilda east
7/130 alexandra street st kilda east vic 3183,Apartment / Unit / Flat,-37.860659,145.0040018,1,1,1,295.0,kilda east
3 hassett street sunshine north vic 3020,House,-37.77090099999999,144.8310373,2,1,4,295.0,sunshine north
4/145 smith st thornbury vic 3071,Apartment / Unit / Flat,-37.7567091,144.9890446,1,1,1,295.0,thornbury
2614 murray valley highway torrumbarry vic 3562,House,-36.0285901,144.515874,1,1,1,295.0,torrumbarry
64 molyneaux street warracknabeal vic 3393,House,-36.2551198,142.3975867,3,1,1,295.0,warracknabeal
13 austin street werribee vic 3030,Studio,-37.8957115,144.6623977,1,1,0,295.0,werribee
1/12 stanbury avenue canadian vic 3350,House,-37.58615169999999,143.8658923,3,1,2,293.0,canadian
2/32 green street airport west vic 3042,Apartment / Unit / Flat,-37.7280826,144.8875202,1,1,1,290.0,airport west
7/101 lucerne crescent alphington vic 3078,Apartment / Unit / Flat,-37.7806424,145.035256,1,1,1,290.0,alphington
21 timmins street ararat vic 3377,House,-37.2749279,142.9453125,3,1,1,290.0,ararat
3/14 view point street ararat vic 3377,House,-37.2870584,142.9268197,2,1,2,290.0,ararat
2/541 dandenong road armadale vic 3143,Apartment / Unit / Flat,-37.863351,145.0218239,1,1,1,290.0,armadale
3/93 st leonards road ascot vale vic 3032,Apartment / Unit / Flat,-37.7738483,144.9136584,1,1,1,290.0,ascot vale
3/417 drummond street south ballarat central vic 3350,Apartment / Unit / Flat,-37.5707055,143.8462745,2,1,1,290.0,south ballarat central
1103 doveton street north ballarat north vic 3350,House,-37.5391362,143.8588898,3,1,1,290.0,north ballarat north
2/17 forest lane bendigo vic 3550,Apartment / Unit / Flat,-36.7532877,144.2712772,1,1,1,290.0,bendigo
4/37 bishop street box hill vic 3128,Apartment / Unit / Flat,-37.820038,145.133061,2,1,1,290.0,box hill
4/140 blyth street brunswick east vic 3057,Apartment / Unit / Flat,-37.76687,144.974173,1,1,1,290.0,brunswick east
33/3 holmes street brunswick east vic 3057,Apartment / Unit / Flat,-37.761424,144.973844,1,1,0,290.0,brunswick east
14/248 glenlyon road brunswick east vic 3057,Apartment / Unit / Flat,-37.7737693,144.9782863,1,1,1,290.0,brunswick east
5/1 cooper street brunswick west vic 3055,Apartment / Unit / Flat,-37.7545771,144.9523001,1,1,1,290.0,brunswick west
1-5 grantham street brunswick west vic 3055,Apartment / Unit / Flat,-37.7753709,144.9486481,1,1,0,290.0,brunswick west
557 swanston street carlton vic 3053,Studio,-37.8051025,144.9628977,0,1,0,290.0,carlton
705/127 leicester street carlton vic 3053,Studio,-37.80288,144.9602773,1,1,0,290.0,carlton
813/9 earl street carlton vic 3053,Studio,-37.8061615,144.965462,1,1,0,290.0,carlton
9&7/6 poplar grove carnegie vic 3163,Apartment / Unit / Flat,-37.885609,145.0637875,1,1,1,290.0,carnegie
13&6/6 poplar grove carnegie vic 3163,Apartment / Unit / Flat,-37.885609,145.0637875,1,1,0,290.0,carnegie
5 treasure street castlemaine vic 3450,Apartment / Unit / Flat,-37.07166290000001,144.2349387,1,1,0,290.0,castlemaine
1/1479 heatherton road dandenong vic 3175,Apartment / Unit / Flat,-37.9696579,145.2134712,2,1,1,290.0,dandenong
5 marion street dandenong vic 3175,Studio,-37.9833655,145.2027277,1,2,1,290.0,dandenong
7/13 hopetoun street dandenong vic 3175,Studio,-37.9835897,145.2045829,1,1,0,290.0,dandenong
16/30-32 close avenue dandenong vic 3175,Apartment / Unit / Flat,-37.9821214,145.2076113,2,1,1,290.0,avenue dandenong
13/44 princes highway dandenong vic 3175,Apartment / Unit / Flat,-37.9825412,145.2123337,2,1,1,290.0,dandenong
