,Suburb,Schools
280,Chewton,1
281,Chiltern,1
282,Chirnside Park,1
283,Christmas Hills,1
284,Chum Creek,1
285,Churchill,2
286,Clarinda,1
287,Clayton,3
288,Clayton South,3
289,Clifton Creek,1
290,Clifton Hill,2
291,Clifton Springs,1
292,Clunes,1
293,Clyde,3
294,Clyde North,3
295,Cobains,1
296,Cobden,3
297,Cobram,3
298,Coburg,6
299,Cockatoo,1
300,Cohuna,2
301,Coimadai,1
302,Colac,5
303,Colbinabbin,1
304,Coldstream,1
305,Coleraine,1
306,Collingwood,2
307,Congupna,1
308,Coolaroo,1
309,Corinella,1
310,Corio,1
311,Corryong,1
312,Cowes,1
313,Cowwarr,1
314,Craigieburn,9
315,Cranbourne,7
316,Cranbourne East,4
317,Cranbourne North,3
318,Cranbourne South,1
319,Cranbourne West,2
320,Creswick,2
321,Crib Point,1
322,Croydon,7
323,Croydon Hills,1
324,Croydon South,1
325,Cudgee,1
326,DALLAS,2
327,DANDENONG,2
328,DANDENONG NORTH,2
329,DAYLESFORD,2
330,DEEPDENE,1
331,DEER PARK,1
332,DELACOMBE,1
333,DENNINGTON,1
334,DERRIMUT,1
335,DIAMOND CREEK,1
336,DIMBOOLA,1
337,DINGLEY,1
338,DONALD,1
339,DONCASTER,1
340,DONCASTER EAST,1
341,DONVALE,3
342,DOREEN,2
343,DOVETON,1
344,DROUIN,2
345,DRYSDALE,2
346,DUNNSTOWN,1
347,Dallas,1
348,Dalyston,1
349,Dandenong,7
350,Dandenong North,3
351,Darley,1
352,Darnum,1
353,Darraweit Guim,1
354,Dartmoor,1
355,Daylesford,2
356,Deans Marsh,1
357,Deanside,1
358,Dederang,1
359,Deepdene,1
360,Deer Park,2
361,Delacombe,1
362,Delahey,2
363,Derrimut,1
364,Derrinallum,1
365,Devenish,1
366,Devon Meadows,1
367,Dhurringile,1
368,Diamond Creek,3
369,Diggers Rest,1
370,Dimboola,2
371,Dingee,1
372,Dingley Village,2
373,Dinner Plain,1
374,Docklands,1
375,Don Valley,1
376,Donald,2
377,Doncaster,3
378,Doncaster East,5
379,Donvale,2
380,Dookie,1
381,Dookie Campus,1
382,Doreen,4
383,Doveton,1
384,Dromana,3
385,Drouin,2
386,Drouin South,1
387,Drouin West,1
388,Drysdale,2
389,Dunkeld,1
390,Dunolly,1
391,EAGLEHAWK,1
392,EAST PRESTON,1
393,ECHUCA,3
394,EDENHOPE,1
395,ELIMINYT,1
396,ELMORE,1
397,ELSTERNWICK,4
398,ELTHAM,2
399,ELTHAM NORTH,1
400,ELWOOD,2
401,EMERALD,1
402,ENDEAVOUR HILLS,3
403,EPPING,3
404,EPPING NORTH,1
405,ESSENDON,5
406,EUROA,1
407,Eagle Point,1
408,Eaglehawk,3
409,East Bentleigh,1
410,East Geelong,1
411,East Preston,1
412,Eastwood,1
413,Echuca,5
414,Edenhope,1
415,Edi Upper,1
416,Edithvale,1
417,Eildon,1
418,Elliminyt,1
419,Ellinbank,1
420,Elmore,1
421,Elphinstone,1
422,Eltham,3
423,Eltham North,3
424,Elwood,2
425,Emerald,2
426,Endeavour Hills,7
427,Epping,6
428,Epsom,1
429,Eskdale,1
430,Essendon,3
431,Essendon North,1
432,Euroa,2
433,Everton,1
434,Exford,1
435,Eynesbury,1
436,FAWKNER,1
437,FAWKNER NORTH,2
438,FERNTREE GULLY,4
439,FITZROY,2
440,FITZROY NORTH,1
441,FLEMINGTON,1
442,FOOTSCRAY,2
443,FRANKSTON,3
444,FRANKSTON EAST,1
445,FRANKSTON SOUTH,1
446,FRESHWATER CREEK,1
