,SA2_code,2021
577,201011001.0,16823.0
578,201011002.0,12076.0
579,201011003.0,24348.0
580,201011004.0,25269.0
581,201011005.0,7232.0
582,201011006.0,10640.0
583,201011007.0,4213.0
584,201011008.0,15314.0
585,201021009.0,6533.0
586,201021010.0,8036.0
587,201021011.0,9870.0
588,201021012.0,6337.0
589,201031013.0,3498.0
590,201031014.0,4618.0
591,201031015.0,4868.0
592,201031016.0,8116.0
593,201031017.0,5475.0
594,202011018.0,14951.0
595,202011019.0,12923.0
596,202011020.0,13925.0
597,202011021.0,9420.0
598,202011022.0,21060.0
599,202011023.0,5500.0
600,202011024.0,10676.0
601,202011025.0,14444.0
602,202021026.0,8306.0
603,202021027.0,11285.0
604,202021028.0,9145.0
605,202021029.0,5023.0
606,202021030.0,10494.0
607,202021031.0,7908.0
608,202031032.0,4906.0
609,202031033.0,7230.0
610,203011034.0,7733.0
611,203011035.0,8065.0
612,203011036.0,6582.0
613,203021037.0,14994.0
614,203021038.0,27398.0
615,203021039.0,13477.0
616,203021040.0,21244.0
617,203021041.0,35111.0
618,203021042.0,24079.0
619,203021043.0,20850.0
620,203021044.0,13213.0
621,203021045.0,15402.0
622,203021046.0,10406.0
623,203021047.0,15739.0
624,203031048.0,16716.0
625,203031049.0,6189.0
626,203031050.0,30698.0
627,203031051.0,9450.0
628,203031052.0,5456.0
629,203031053.0,24617.0
630,204011054.0,6768.0
631,204011055.0,6864.0
632,204011056.0,15517.0
633,204011057.0,10454.0
634,204011058.0,4507.0
635,204011059.0,6545.0
636,204011060.0,4632.0
637,204011061.0,240.0
638,204011062.0,4142.0
639,204021063.0,10750.0
640,204021064.0,3752.0
641,204021065.0,4019.0
642,204021066.0,19877.0
643,204021067.0,9863.0
644,204031068.0,4954.0
645,204031069.0,8848.0
646,204031070.0,3158.0
647,204031071.0,4716.0
648,204031072.0,6153.0
649,204031073.0,15357.0
650,204031074.0,27826.0
651,204031075.0,5187.0
652,205011076.0,19790.0
653,205011077.0,6539.0
654,205011078.0,8313.0
655,205011079.0,23080.0
656,205021080.0,0.0
657,205021081.0,15648.0
658,205021082.0,8238.0
659,205021083.0,0.0
660,205021084.0,11091.0
661,205021085.0,6690.0
662,205021086.0,6897.0
663,205031087.0,9377.0
664,205031088.0,138.0
665,205031089.0,9783.0
666,205031090.0,11434.0
667,205031091.0,13724.0
668,205031092.0,15.0
669,205031093.0,26723.0
670,205041094.0,11855.0
671,205041095.0,17263.0
672,205041096.0,14393.0
673,205041097.0,28735.0
674,205041098.0,4691.0
675,205051099.0,23.0
676,205051100.0,4901.0
677,205051101.0,14693.0
678,205051102.0,4909.0
679,205051103.0,15259.0
680,205051104.0,5556.0
681,206011105.0,26306.0
682,206011106.0,12963.0
683,206011107.0,14499.0
684,206011108.0,26859.0
685,206011109.0,10461.0
686,206021110.0,9072.0
687,206021111.0,25657.0
688,206021112.0,19152.0
689,206031113.0,15351.0
690,206031114.0,28493.0
691,206031115.0,9190.0
692,206031116.0,16406.0
693,206041117.0,17198.0
694,206041118.0,15942.0
695,206041119.0,4962.0
696,206041120.0,78.0
697,206041121.0,10874.0
698,206041122.0,43823.0
699,206041123.0,23617.0
700,206041124.0,7446.0
701,206041125.0,6542.0
702,206041126.0,23173.0
703,206041127.0,0.0
704,206051128.0,16023.0
705,206051129.0,15041.0
706,206051130.0,16373.0
707,206051131.0,1472.0
708,206051132.0,12330.0
709,206051133.0,26204.0
710,206051134.0,16085.0
711,206061135.0,9436.0
712,206061136.0,19460.0
713,206061137.0,21581.0
714,206061138.0,13098.0
715,206071139.0,9262.0
716,206071140.0,8295.0
717,206071141.0,9348.0
718,206071142.0,10609.0
719,206071143.0,12955.0
720,206071144.0,32055.0
721,206071145.0,9980.0
722,207011146.0,8025.0
723,207011147.0,16332.0
724,207011148.0,21411.0
725,207011149.0,21512.0
726,207011150.0,17010.0
727,207011151.0,22188.0
728,207011152.0,15898.0
729,207011153.0,24878.0
730,207011154.0,6557.0
731,207011155.0,16090.0
732,207021156.0,11371.0
733,207021157.0,25172.0
734,207021159.0,17105.0
735,207021160.0,14278.0
736,207021424.0,15792.0
737,207021425.0,15593.0
738,207031161.0,22360.0
739,207031162.0,11022.0
740,207031163.0,23232.0
741,207031164.0,18304.0
742,207031165.0,12543.0
743,207031166.0,10778.0
744,207031167.0,10262.0
745,208011168.0,14124.0
746,208011169.0,23053.0
747,208011170.0,16695.0
748,208011171.0,12541.0
749,208011172.0,18406.0
750,208011173.0,17518.0
751,208021174.0,25201.0
752,208021176.0,18803.0
753,208021177.0,22739.0
754,208021178.0,18232.0
755,208021179.0,12032.0
756,208021180.0,7644.0
757,208021181.0,9471.0
758,208021182.0,13298.0
759,208021426.0,16756.0
760,208021427.0,14153.0
761,208031183.0,8927.0
762,208031184.0,28.0
763,208031185.0,12115.0
764,208031186.0,15314.0
765,208031187.0,5428.0
766,208031188.0,24355.0
767,208031189.0,13663.0
768,208031190.0,13304.0
769,208031191.0,9198.0
770,208031192.0,26.0
771,208031193.0,21429.0
772,208041194.0,20482.0
773,208041195.0,22221.0
774,209011196.0,9925.0
775,209011197.0,20997.0
776,209011198.0,16202.0
777,209011199.0,15038.0
778,209011200.0,12561.0
779,209011201.0,7801.0
780,209011202.0,16658.0
781,209011203.0,18891.0
782,209011204.0,9303.0
783,209021205.0,10564.0
784,209021207.0,27930.0
785,209021208.0,24135.0
786,209021428.0,20997.0
787,209021429.0,12828.0
