,Suburb,2021 rent,2018_income,shopping_count,population,crime_rate,num_passenger,num_station,num facilites,num hospital,num school
63,CARRUM,450,70124.0,0.0,6922.0,0.04084905316165,157950.0,1.0,5.0,0.0,0.0
64,BENTLEIGH,490,77352.0,0.0,16231.0,0.04084905316165,426800.0,2.0,7.0,0.0,2.0
65,BRIGHTON,670,137864.0,0.0,23053.0,0.08341795829827,814400.0,4.0,15.0,2.0,5.0
66,BRIGHTON EAST,695,102102.0,0.0,16695.0,0.03383185411591,0.0,0.0,3.0,0.0,2.0
67,CARNEGIE,410,68783.0,1.0,18803.0,0.06992300497631,460850.0,1.0,7.0,0.0,0.0
68,CAULFIELD,425,85610.0,0.0,8448.0,0.03383185411591,0.0,0.0,0.0,1.0,1.0
69,CHELTENHAM,460,66835.0,1.0,24355.0,0.04084905316165,510800.0,2.0,9.0,2.0,1.0
70,ELSTERNWICK,450,91653.0,0.0,10970.0,0.08341795829827,385100.0,1.0,7.0,2.0,4.0
71,HAMPTON,585,103087.0,0.0,13328.0,0.04084905316165,229200.0,1.0,8.0,1.0,2.0
72,BEAUMARIS,585,95080.0,0.0,14124.0,0.04084905316165,0.0,0.0,10.0,0.0,1.0
73,MALVERN,450,119392.0,1.0,3948.0,0.06992300497631,516350.0,2.0,6.0,1.0,2.0
74,MALVERN EAST,420,101673.0,0.0,22221.0,0.06992300497631,435800.0,3.0,1.0,1.0,2.0
75,MENTONE,435,72211.0,1.0,13304.0,0.04084905316165,362550.0,1.0,6.0,0.0,5.0
76,PARKDALE,435,75133.0,1.0,11224.0,0.04084905316165,161900.0,1.0,6.0,1.0,0.0
77,MORDIALLOC,435,75133.0,1.0,10204.0,0.04084905316165,339550.0,1.0,11.0,0.0,1.0
78,MURRUMBEENA,410,71876.0,0.0,9471.0,0.06992300497631,318600.0,1.0,5.0,0.0,1.0
79,HUGHESDALE,410,68106.0,0.0,7644.0,0.06992300497631,250500.0,1.0,0.0,0.0,1.0
80,ALTONA,400,71989.0,0.0,13292.0,0.0418641795418,233450.0,2.0,14.0,1.0,2.0
81,FOOTSCRAY,370,57701.0,2.0,17420.0,0.04650938808824,2137800.0,2.0,11.0,7.0,2.0
82,KEILOR EAST,410,68758.0,1.0,6754.0,0.04650938808824,0.0,0.0,6.0,0.0,2.0
83,AVONDALE HEIGHTS,410,64732.0,0.0,27645.0,0.04650938808824,0.0,0.0,2.0,0.0,1.0
84,MELTON,350,53740.0,2.0,12320.0,0.0439211573055,0.0,0.0,22.0,0.0,4.0
85,NEWPORT,495,83403.0,0.0,14766.0,0.14717311415436,497600.0,1.0,7.0,0.0,2.0
86,SPOTSWOOD,495,83403.0,0.0,2109.0,0.14717311415436,122500.0,1.0,3.0,0.0,1.0
87,ST ALBANS,350,43682.0,0.0,20850.0,0.04997810400896,1083350.0,3.0,23.0,1.0,2.0
88,DEER PARK,350,53966.0,1.0,22629.0,0.04997810400896,0.0,0.0,12.0,1.0,1.0
89,SUNSHINE,350,50119.0,1.0,9576.0,0.0418641795418,896350.0,1.0,20.0,0.0,1.0
90,SYDENHAM,400,55512.0,1.0,11866.0,0.04997810400896,528500.0,1.0,8.0,1.0,2.0
91,WERRIBEE,365,63382.0,1.0,15826.0,0.0418641795418,351350.0,1.0,20.0,2.0,5.0
92,HOPPERS CROSSING,365,56365.0,2.0,18663.0,0.0418641795418,349850.0,1.0,14.0,0.0,1.0
93,WEST FOOTSCRAY,400,62995.0,0.0,11885.0,0.0418641795418,404150.0,2.0,2.0,0.0,0.0
94,WILLIAMSTOWN,500,94350.0,0.0,12654.0,0.04691164939436,267750.0,3.0,19.0,1.0,2.0
95,YARRAVILLE,480,83130.0,0.0,15653.0,0.14717311415436,368300.0,1.0,10.0,0.0,1.0
96,SEDDON,480,78218.0,0.0,4802.0,0.04650938808824,168900.0,1.0,0.0,0.0,0.0
97,BROADMEADOWS,370,42128.0,1.0,13243.0,0.049926901475,395750.0,1.0,7.0,1.0,4.0
98,ROXBURGH PARK,370,49418.0,1.0,24433.0,0.03941663565461,240050.0,1.0,3.0,0.0,1.0
99,BRUNSWICK,450,68893.0,1.0,26306.0,0.0919464539904099,450650.0,3.0,13.0,0.0,0.0
100,COBURG,460,66384.0,0.0,26859.0,0.049926901475,236750.0,2.0,14.0,1.0,3.0
101,PASCOE VALE SOUTH,460,72770.0,0.0,10461.0,0.049926901475,0.0,0.0,3.0,0.0,1.0
104,ESSENDON,400,82310.0,1.0,24874.0,0.049926901475,688850.0,2.0,13.0,0.0,5.0
105,GLADSTONE PARK,390,58060.0,1.0,6816.0,0.049926901475,0.0,0.0,5.0,0.0,1.0
106,TULLAMARINE,390,57393.0,0.0,6630.0,0.049926901475,0.0,0.0,11.0,0.0,0.0
107,KEILOR,410,68758.0,0.0,1842.0,0.05126172194369,0.0,0.0,7.0,0.0,2.0
108,MOONEE PONDS,410,81817.0,1.0,16406.0,0.049926901475,362450.0,1.0,14.0,0.0,1.0
109,ASCOT VALE,410,80680.0,0.0,15351.0,0.049926901475,202200.0,1.0,9.0,0.0,1.0
110,OAK PARK,395,66617.0,0.0,7857.0,0.049926901475,218300.0,1.0,5.0,0.0,1.0
112,FAWKNER,395,50646.0,0.0,14193.0,0.049926901475,66600.0,1.0,5.0,0.0,1.0
113,PASCOE VALE,410,66617.0,0.0,17527.0,0.049926901475,239250.0,1.0,4.0,1.0,1.0
114,COBURG NORTH,410,62422.0,1.0,8513.0,0.049926901475,243200.0,2.0,4.0,0.0,0.0
115,SUNBURY,380,62355.0,1.0,25062.0,0.04997810400896,301950.0,1.0,17.0,1.0,5.0
117,BUNDOORA,400,51512.0,0.0,6239.0,0.03941663565461,0.0,0.0,11.0,3.0,3.0
118,GREENSBOROUGH,400,68139.0,1.0,19947.0,0.03941663565461,254900.0,1.0,6.0,0.0,1.0
119,HURSTBRIDGE,400,64704.0,0.0,3573.0,0.03941663565461,50350.0,1.0,2.0,0.0,0.0
120,ELTHAM,465,76105.0,1.0,15088.0,0.02122901086559,206900.0,1.0,12.0,0.0,2.0
122,MONTMORENCY,465,74701.0,0.0,6663.0,0.02122901086559,103450.0,1.0,1.0,0.0,1.0
123,FAIRFIELD,410,84148.0,0.0,6445.0,0.0919464539904099,233400.0,1.0,10.0,1.0,0.0
124,ALPHINGTON,410,84148.0,0.0,2626.0,0.0919464539904099,109600.0,1.0,2.0,0.0,2.0
125,HEIDELBERG,415,75052.0,1.0,8380.0,0.02354276638289,343900.0,1.0,3.0,3.0,2.0
126,HEIDELBERG WEST,415,58067.0,0.0,3508.0,0.05800002842383,0.0,0.0,0.0,1.0,1.0
127,IVANHOE,465,91080.0,0.0,12561.0,0.0919464539904099,326900.0,2.0,0.0,1.0,3.0
128,IVANHOE EAST,465,111558.0,0.0,1300.0,0.0919464539904099,0.0,0.0,1.0,0.0,0.0
129,MILL PARK,380,57395.0,1.0,17647.0,0.03941663565461,0.0,0.0,8.0,0.0,1.0
