,name,latitude,longitude,suburb
0,206 Bourke Street,-37.812733,144.966947, Melbourne
1,Acland Court Shopping Centre,-37.868967,144.980617, St Kilda
2,Altona Gate Shopping Centre,-37.828989,144.84627, Melbourne
3,Balnarring Village Shopping Centre,-38.373199,145.12501, Balnarring
4,Barkly Square,-37.775695,144.962004, Brunswick
5,Barrabool Hills Plaza,-38.161872,144.305826, Geelong
6,Bayside Shopping Centre,-38.141951,145.124068, Frankston
7,Bellarine Village Shopping Centre,-38.168784,144.388547, Newcomb
8,Bellpost Shopping Centre,-38.089309,144.336645, Geelong
9,Belmont Village,-38.170104,144.349107, Belmont
10,Bendigo Marketplace,-36.765765,144.280743, Bendigo
11,Bentons Square Shopping Centre,-38.245416,145.048067, Mornington
12,Berwick Marketplace,-38.02951,145.346619, Berwick
13,Birallee Village Shopping Centre,-36.127763,146.86482, Wodonga
14,Bourke Street Mall,-37.813538,144.964386, Melbourne
15,Box Hill Central,-37.818677,145.12179, Box Hill
16,Brand Smart Premium Outlet Centre,-37.819375,145.1714718, Nunawading
17,Brandon Park Shopping Centre,-37.905522,145.161647, Wheelers Hill
18,Braybrook Shopping Centre,-37.782172,144.86422, Braybrook
19,Brimbank Central Shopping Centre,-37.751223,144.775276, Deer Park
20,Broadmeadows Shopping Centre,-37.680244,144.91953, Broadmeadows
21,Bulleen Plaza,-37.76613,145.091637, Bulleen
22,Burnside Hub,-37.75938,144.753677, Burnside
23,Burwood One Shopping Centre,-37.853784,145.149761, Burwood East
24,Camberwell Sunday Market,-37.82931,145.058043, Camberwell
25,Campbellfield Plaza,-37.689343,144.960737, Melbourne
26,Canterbury Gardens Shopping Centre,-37.822732,145.301494, Bayswater
27,Carnegie Central,-37.884786,145.058444, Carnegie
28,Caulfield Plaza Shopping Centre,-37.876146,145.04284, Caulfield East
29,Central Square Shopping Centre,-37.873122,144.776038, Altona Meadows
30,Central West Shopping Centre,-37.793489,144.861609, Braybrook
31,Centro Sunshine Marketplace,-37.78187,144.831506, Sunshine
32,Century City Walk,-37.881427,145.164632, Glen Waverley
33,Chadstone The Fashion Capital,-37.886038881076,145.08346106348, Chadstone
34,Chirnside Homemaker Centre,-37.765247,145.305655, Chirnside Park
35,Chirnside Park Shopping Centre,-37.758258,145.313972, Chirnside Park
36,Civic Square Shopping Centre,-37.799301795285,145.28299318557, Croydon
37,Coburg Hill Shopping Centre,-37.729625,144.983537, Coburg North
38,Collins Place,-37.814312,144.97268, Melbourne
39,Collins234 Boutique Place,-37.815545,144.965749, Melbourne
40,Corio Village Shopping Centre,-38.074772,144.355819, Corio
41,Craigieburn Central,-37.592986,144.912268, Craigieburn
42,Cranbourne Homemaker Centre,-38.085817,145.279178, Cranbourne
43,Cranbourne Park,-38.109657,145.282017, Cranbourne
44,Croydon Central Shopping Centre,-37.794026,145.278937, Croydon
45,CS Square Shopping Centre,-37.731774,144.743748, Caroline Springs
46,Dandenong Plaza,-37.986731,145.217684, Dandenong
47,Darley Plaza,-37.659449,144.440871, Darley
48,DFO Essendon,-37.733125,144.906547, Essendon
49,DFO Moorabbin,-37.971261,145.08812, Moorabbin
50,DFO South Wharf,-37.825196,144.949879, South Wharf
51,Diamond Creek Shopping Station,-37.673551,145.15957, Diamond Creek
52,Dingley Village Shopping Centre,-37.983412,145.132541, Dingley Village
53,Dromana Hub Shopping Centre,-38.333538,144.964645, Dromana
54,Eastland Shopping Centre,-37.812672,145.229157, Ringwood
55,Eliza Square Shopping Centre,-38.183794,145.089375, Mount Eliza
56,Eltham Village Shopping Centre,-37.714902,145.148743, Eltham
57,Emporium Melbourne,-37.812517,144.963555, Melbourne
58,Endeavour Hills Shopping Centre,-37.976993,145.258788, Endeavour Hills
59,Epping North Shopping Centre,-37.628168,145.027155, Epping
60,Federation Square (Fed Square),-37.81797,144.969024, Melbourne
61,Footscray Market,-37.800522,144.901875, Footscray
62,Footscray Plaza Shopping Centre,-37.802426,144.894785, Footscray
63,Forest Hill Chase Shopping Centre,-37.835453,145.164718, Forest Hill
64,Frankston Power Centre,-38.148946,145.137326, Frankston
65,Galleria Melbourne,-37.814824,144.962743, Melbourne
66,Gateway Plaza,-38.381608,142.519768, Warrnambool
67,Geelong Gate Homemaker Centre,-38.065015,144.383085, Geelong
68,Gippsland Centre,-38.106745,147.06271, Sale
69,Gisborne Village Shopping Centre,-37.485605,144.589909, Gisborne
70,Gladstone Park Shopping Centre,-37.688293,144.88463, Gladstone Park
71,Greensborough Plaza,-37.702696,145.102816, Greensborough
72,Greenvale Shopping Centre,-37.639349,144.881948, Greenvale
73,Hampton Park Shopping Centre,-38.032654,145.265843, Hampton Park
74,Harbour Town Melbourne,-37.812574,144.939344, Docklands
75,Harvey Norman - Wangaratta,-36.356748,146.325113, Wangaratta
76,Harvey Norman Centre - Hoppers Crossing,-37.875109,144.710844, Hoppers Crossing
77,Harvey Norman Centre Maribyrnong,-37.772658,144.885527, Maribyrnong
78,Harvey Norman Centre Warrnambool,-38.383231,142.523999, Warrnambool
79,Healesville Walk Shopping Centre,-37.652833,145.518043, Healesville
80,Highett Shopping Centre,-37.949024,145.041367, Highett
81,Highpoint Shopping Centre,-37.77369,144.888781, Maribyrnong
82,Hogan's Corner Shopping Centre,-37.861908,144.68726, Hoppers Crossing
83,Home Quarter Dandenong,-38.005209,145.21853, Dandenong
84,HomeCo. Ballarat (form. Wendouree Homemaker Centre),-37.5343837,143.8211086, Wendouree
85,Homemaker City Maribyrnong,-37.771563,144.884429, Maribyrnong
86,Homemakers Albury Wodonga,-36.137884,146.90877, Wodonga
87,HomePlus Homemaker Centre,-37.877598,145.091922, Chadstone
88,Horsham Plaza,-36.715718,142.196203, Horsham
89,Ivanhoe Plaza,-37.768183,145.04146,  Ivanhoe
90,Karingal Hub Shopping Centre,-38.153172,145.165494, Frankston
91,Keilor Shopping Centre,-37.727952,144.806774, Keilor Downs
92,Kennington Village Shopping Centre,-36.775409,144.306331, Bendigo
93,Lansell Square,-36.810475,144.242283, Kangaroo Flat
94,Lilydale Marketplace,-37.759801,145.348895, Lilydale
95,Lynbrook Village Shopping Centre,-38.05177,145.256595, Lynbrook
96,Malvern Central,-37.863028,145.027026, Malvern
97,Manor Lakes Central Shopping Centre,-37.876281,144.614452, Manor
98,Market Square Shopping Centre,-38.147951,144.361964, Geelong
99,Meadow Heights Shopping Centre,-37.650845,144.922161, Meadow Heights
100,Melbourne Central Shopping Centre,-37.810813,144.962812, Melbourne
101,Melbourne GPO,-37.813692,144.963206, Melbourne
102,Melton Gateway,-37.688442,144.603102, Melton
103,Midvalley Shopping Centre,-38.236989,146.429798, Morwell
104,Mildura Central,-34.208196,142.138774, Mildura
105,Milleara Shopping Centre,-37.749591,144.861442, Keilor East
106,Mitcham Shopping Centre,-37.815739,145.192535, Mitcham
107,Moonee Ponds Central,-37.765648,144.922669, Moonee Ponds
108,Moorabbin House and Home Centre,-37.939558,145.038272, Moorabbin
109,Mordialloc Plaza,-38.008072,145.086614, Mordialloc
110,Mornington Central,-38.218566,145.039113, Mornington
111,Mornington Village Shopping Centre,-38.223672,145.040597, Mornington
112,Mountain Gate Shopping Centre,-37.883678,145.274908, Ferntree Gully
113,Mountain High Shopping Centre,-37.840921,145.265094, Bayswater
114,Myer Bourke Street,-37.813881,144.963993, Melbourne
115,Newcomb Central Shopping Centre,-38.169956,144.39147, Newcomb
