,name,latitude,longitude,suburb
116,North Blackburn Shopping Centre,-37.812013,145.152392, Blackburn
117,Northcote Shopping Plaza,-37.768556,145.001845, Melbourne
118,Northland Homemaker Centre,-37.741697,145.027778, Preston
119,Northland Shopping Centre,-37.739018,145.029845, Preston
120,Oakleigh Central,-37.901055,145.090211, Oakleigh
121,Ocean Grove Marketplace,-38.258894,144.548297, Ocean Grove
122,Pacific Epping,-37.653869,145.018678, Epping
123,Pacific Werribee Plaza,-37.875219,144.679643, Werribee
124,Pakenham Central Marketplace,-38.0775,145.483931, Pakenham
125,Pakenham Place Shopping Centre,-38.079019,145.480817, Pakenham
126,Pakington Strand,-38.137503,144.347662, Geelong
127,Pakington Strand Shopping Centre,-38.136985,144.347624, Geelong
128,Parkdale Plaza,-37.997395,145.084297, Parkdale
129,Parkhill Plaza Shopping Centre,-38.014211,145.322697, Berwick
130,Parkmore Shopping Centre,-37.992893,145.173138, Keysborough
131,Pinewood Shopping Village,-37.892422,145.145241, Mount Waverley
132,Pran Central Shopping Centre,-37.846954,144.993643, Prahran
133,Preston Market,-37.739352,145.00178, Preston
134,Queen Victoria Market,-37.807962,144.955688, Melbourne
135,QV - Queen Victoria Village,-37.810696,144.965716, Melbourne
136,Ringwood Square Shopping Centre,-37.815398,145.222226, Ringwood
137,Ritchies Village Centre,-38.185074,145.089676, Mount Eliza
138,Rosebud Plaza,-38.361526,144.891378, Rosebud
139,Roxburgh Park Shopping Centre,-37.639405,144.932287, Roxburgh Park
140,Royal Arcade,-37.814699,144.963505, Melbourne
141,Runway Plaza,-37.724585,144.893951, Melbourne
142,Shepparton Marketplace,-36.387641,145.423834, Shepparton
143,Spencer Outlet Centre,-37.816219,144.952153, Melbourne
144,Spencer Street Fashion Station,-37.81898,144.954095, Melbourne
145,Springvale Homemaker Centre,-37.927444,145.143394, Springvale
146,St Helena Marketplace,-37.685088,145.135792, St Helena
147,Stockland Highlands Shopping Centre,-37.5751264,144.9201082, Craigieburn
148,Stockland Point Cook Shopping Centre,-37.883369895772,144.73538783062, Point Cook
149,Stockland Tooronga Shopping Centre,-37.845596113968,145.04558170316, Glen Iris
150,Stockland Wendouree,-37.53431,143.823885, Ballart
151,Strath Village Shopping Centre,-36.774541,144.305047, Bendigo
152,Stud Park,-37.920638,145.237115, Rowville
153,Sunbury Square Shopping Centre,-37.577542,144.729432, Sunbury
154,Target Centre Melbourne,-37.813077,144.966529, Melbourne
155,Tarneit Gardens Shopping Centre,-37.839616,144.673555, Tarneit
156,The Como Centre,-37.838366,144.996065, South Yarra
157,The Gateway,-38.381549,142.520583, Warrnambool
158,The Glen Shopping Centre,-37.87639,145.165638, Glen Waverley
159,The Jam Factory,-37.842618,144.995792, South Yarra
160,The Local Village,-38.0886367,145.1825171, Carrum Downs
161,The Mall Boronia,-37.860342,145.286693, Boronia
162,The Paramount Retail Centre,-37.811333,144.969441, Melbourne
163,The Pines Shopping Centre,-37.763554,145.168284, Doncaster
164,The Strand Melbourne,-37.813277,144.962665, Melbourne
165,The Walk Arcade,-37.814766,144.964729, Melbourne
166,Thrift Park Shopping Centre,-37.984204,145.076943, Mentone
167,Tok H Centre,-37.84066,145.008246, Toorak
168,Traralgon Centre Plaza,-38.194538,146.53939, Traralgon
169,Vermont South Shopping Centre,-37.855243,145.182224, Vermont South
170,Victoria Gardens Shopping Centre,-37.812724,145.010977, Richmond
171,Vogue Shopping Centre,-37.837395,144.996158, Melbourne
172,Warringal Shopping Centre,-37.755915,145.068739, Heidelberg
173,Waterfront City,-37.814342,144.939035, Melbourne
174,Watergardens Town Centre,-37.699266,144.775813, Taylors Lakes
175,Watervale Shopping Centre,-37.723117,144.751043, Sydenham
176,Waverley Gardens Shopping Centre,-37.935473,145.189605, Mulgrave
177,Wellington Village Shopping Centre,-37.92821,145.252208, Rowville
178,Westfield Airport West,-37.714077,144.886366, Melbourne
179,Westfield Doncaster,-37.78685,145.125332, Doncaster
180,Westfield Fountain Gate,-38.017692,145.303787, Fountain Gate
181,Westfield Geelong,-38.146987,144.362575, Geelong
182,Westfield Knox,-37.86927,145.24004, Wantirna South
183,Westfield Plenty Valley,-37.651367,145.071752, Mill Park
184,Westfield Southland,-37.958445,145.054806, Cheltenham
185,Wodonga Plaza,-36.121153,146.881917, Wodonga
186,Woodgrove Shopping Centre,-37.686167,144.56127, Melton
187,Woolworths Whitebox Rise Wodonga,-36.139008,146.892456, Wodonga
188,Wyndham Vale Square Shopping Centre,-37.888057,144.607036, Wyndham Vale
189,Wyndham Village Shopping Centre,-37.849333,144.704302, Tarneit
