Suburb,SA2_code,2005_income,2006_income,2007_income,2008_income,2009_income,2010_income,2011_income,2012_income,2013_income,2014_income,2015_income,2016_income,2017_income,2018_income
MARIBYRNONG,213031349.0,44880.0,47190.0,48950.0,51456.0,53536.0,54310.0,57558.0,59017.0,59733.0,61104.0,62096.0,62566.0,64646.0,66404.0
TRAVANCORE,206031115.0,45445.0,48254.0,50072.0,52727.0,54027.0,53202.0,56232.0,57459.0,58532.0,60336.0,60826.0,61354.0,64204.0,67156.0
KEILOR EAST,210011228.0,43328.0,44897.0,45912.0,49067.0,51194.0,54735.0,56480.0,58509.0,60503.0,61573.0,63481.0,65532.0,66759.0,68758.0
AVONDALE HEIGHTS,210011229.0,37754.0,39801.0,40647.0,43648.0,44572.0,48456.0,51527.0,53187.0,55045.0,56196.0,58596.0,60289.0,62902.0,64732.0
KEILOR,210011228.0,43328.0,44897.0,45912.0,49067.0,51194.0,54735.0,56480.0,58509.0,60503.0,61573.0,63481.0,65532.0,66759.0,68758.0
KEILOR NORTH,213011340.0,38182.0,39864.0,41304.0,43231.0,44464.0,49354.0,51466.0,53019.0,54819.0,56362.0,57854.0,59646.0,61177.0,63463.0
CALDER PARK,213011340.0,38182.0,39864.0,41304.0,43231.0,44464.0,49354.0,51466.0,53019.0,54819.0,56362.0,57854.0,59646.0,61177.0,63463.0
DELAHEY,213011331.0,37960.0,39208.0,40686.0,42563.0,44160.0,42100.0,43188.0,44225.0,45223.0,46129.0,46682.0,48203.0,50446.0,50783.0
HILLSIDE,213041355.0,37823.0,39082.0,40588.0,42481.0,44080.0,49630.0,51590.0,53775.0,54863.0,56371.0,58097.0,59363.0,60105.0,62404.0
PLUMPTON,213041355.0,37823.0,39082.0,40588.0,42481.0,44080.0,49630.0,51590.0,53775.0,54863.0,56371.0,58097.0,59363.0,60105.0,62404.0
SYDENHAM,213011339.0,37955.0,39210.0,40686.0,42563.0,44164.0,44960.0,47182.0,48485.0,48842.0,49907.0,50975.0,52299.0,53949.0,55512.0
TAYLORS HILL,213041360.0,37912.0,39242.0,40787.0,42784.0,44214.0,49507.0,51766.0,53770.0,54798.0,55529.0,57623.0,58907.0,61123.0,63364.0
KEILOR DOWNS,213011332.0,37053.0,38600.0,39934.0,41752.0,42757.0,44834.0,46619.0,47747.0,49133.0,50040.0,51526.0,52925.0,53880.0,55820.0
KEILOR LODGE,213011340.0,38182.0,39864.0,41304.0,43231.0,44464.0,49354.0,51466.0,53019.0,54819.0,56362.0,57854.0,59646.0,61177.0,63463.0
TAYLORS LAKES,213011340.0,38182.0,39864.0,41304.0,43231.0,44464.0,49354.0,51466.0,53019.0,54819.0,56362.0,57854.0,59646.0,61177.0,63463.0
WATERGARDENS,213011340.0,38182.0,39864.0,41304.0,43231.0,44464.0,49354.0,51466.0,53019.0,54819.0,56362.0,57854.0,59646.0,61177.0,63463.0
MOONEE PONDS,206031116.0,49472.0,52983.0,55038.0,58573.0,59861.0,65275.0,68691.0,71215.0,72264.0,74951.0,77508.0,78083.0,80195.0,81817.0
ABERFELDIE,206031114.0,48832.0,51681.0,53282.0,56151.0,58967.0,65736.0,68576.0,71609.0,71885.0,74175.0,75208.0,77349.0,80759.0,82310.0
ESSENDON,206031114.0,48832.0,51681.0,53282.0,56151.0,58967.0,65736.0,68576.0,71609.0,71885.0,74175.0,75208.0,77349.0,80759.0,82310.0
ESSENDON WEST,210011230.0,40571.0,42661.0,44625.0,47674.0,49253.0,54598.0,57441.0,60293.0,62172.0,63812.0,66537.0,67447.0,69816.0,72021.0
ESSENDON NORTH,206031114.0,48832.0,51681.0,53282.0,56151.0,58967.0,65736.0,68576.0,71609.0,71885.0,74175.0,75208.0,77349.0,80759.0,82310.0
STRATHMORE,210011231.0,45746.0,49202.0,49302.0,51658.0,54595.0,61172.0,63796.0,66347.0,68570.0,70354.0,74103.0,75026.0,78306.0,80320.0
STRATHMORE HEIGHTS,210011231.0,45746.0,49202.0,49302.0,51658.0,54595.0,61172.0,63796.0,66347.0,68570.0,70354.0,74103.0,75026.0,78306.0,80320.0
AIRPORT WEST,210011226.0,37928.0,39786.0,41772.0,44869.0,46092.0,48357.0,50527.0,52510.0,55197.0,56238.0,58809.0,60758.0,63576.0,65204.0
KEILOR PARK,210011228.0,43328.0,44897.0,45912.0,49067.0,51194.0,54735.0,56480.0,58509.0,60503.0,61573.0,63481.0,65532.0,66759.0,68758.0
NIDDRIE,210011230.0,40571.0,42661.0,44625.0,47674.0,49253.0,54598.0,57441.0,60293.0,62172.0,63812.0,66537.0,67447.0,69816.0,72021.0
NIDDRIE NORTH,210011230.0,40571.0,42661.0,44625.0,47674.0,49253.0,54598.0,57441.0,60293.0,62172.0,63812.0,66537.0,67447.0,69816.0,72021.0
GLADSTONE PARK,210051245.0,37521.0,38778.0,40165.0,42765.0,43915.0,45742.0,47943.0,49342.0,50380.0,51625.0,52529.0,54159.0,55799.0,58060.0
TULLAMARINE,210051250.0,37013.0,38283.0,39472.0,41764.0,42824.0,45258.0,47699.0,48539.0,48879.0,50120.0,52443.0,53305.0,55024.0,57393.0
PASCOE VALE,210031239.0,38524.0,40825.0,41884.0,44342.0,45741.0,50626.0,52898.0,55157.0,56207.0,57658.0,60036.0,61327.0,64174.0,66617.0
PASCOE VALE SOUTH,206011109.0,39756.0,42352.0,43388.0,46033.0,47627.0,52991.0,56047.0,58224.0,59553.0,62311.0,64988.0,66374.0,68803.0,72770.0
MELBOURNE AIRPORT,210051248.0,47031.0,44533.0,46049.0,46799.0,50782.0,34458.0,43278.0,44194.0,63443.0,60286.0,54253.0,62576.0,60466.0,62743.0
OAK PARK,210031239.0,38524.0,40825.0,41884.0,44342.0,45741.0,50626.0,52898.0,55157.0,56207.0,57658.0,60036.0,61327.0,64174.0,66617.0
BROADMEADOWS,210051242.0,30425.0,30414.0,31557.0,32975.0,33243.0,35336.0,36815.0,38096.0,39141.0,39139.0,39778.0,39929.0,41320.0,42128.0
DALLAS,210051243.0,30548.0,31143.0,32015.0,33636.0,35266.0,35844.0,37648.0,38406.0,39456.0,39539.0,40884.0,42682.0,42703.0,43784.0
JACANA,210051242.0,30425.0,30414.0,31557.0,32975.0,33243.0,35336.0,36815.0,38096.0,39141.0,39139.0,39778.0,39929.0,41320.0,42128.0
COOLAROO,210051243.0,30548.0,31143.0,32015.0,33636.0,35266.0,35844.0,37648.0,38406.0,39456.0,39539.0,40884.0,42682.0,42703.0,43784.0
MEADOW HEIGHTS,210051247.0,30233.0,30810.0,32053.0,33892.0,34260.0,36125.0,37558.0,38745.0,38364.0,38787.0,40621.0,41252.0,42233.0,42973.0
ATTWOOD,210051245.0,37521.0,38778.0,40165.0,42765.0,43915.0,45742.0,47943.0,49342.0,50380.0,51625.0,52529.0,54159.0,55799.0,58060.0
WESTMEADOWS,210051245.0,37521.0,38778.0,40165.0,42765.0,43915.0,45742.0,47943.0,49342.0,50380.0,51625.0,52529.0,54159.0,55799.0,58060.0
ROYAL MELBOURNE HOSPITAL,206041124.0,52708.0,54333.0,51256.0,53899.0,56616.0,64303.0,63964.0,69002.0,66053.0,67371.0,69759.0,67230.0,66765.0,72420.0
HOTHAM HILL,206041123.0,43585.0,45320.0,47056.0,50320.0,51960.0,54967.0,56228.0,57669.0,59378.0,60656.0,62713.0,62117.0,65142.0,66723.0
NORTH MELBOURNE,206041123.0,43585.0,45320.0,47056.0,50320.0,51960.0,54967.0,56228.0,57669.0,59378.0,60656.0,62713.0,62117.0,65142.0,66723.0
MELBOURNE UNIVERSITY,206041124.0,52708.0,54333.0,51256.0,53899.0,56616.0,64303.0,63964.0,69002.0,66053.0,67371.0,69759.0,67230.0,66765.0,72420.0
PARKVILLE,206041124.0,52708.0,54333.0,51256.0,53899.0,56616.0,64303.0,63964.0,69002.0,66053.0,67371.0,69759.0,67230.0,66765.0,72420.0
CARLTON,206041117.0,41363.0,43551.0,42956.0,46255.0,46594.0,50158.0,52772.0,55741.0,58137.0,57510.0,57023.0,56237.0,57176.0,59791.0
CARLTON SOUTH,206041117.0,41363.0,43551.0,42956.0,46255.0,46594.0,50158.0,52772.0,55741.0,58137.0,57510.0,57023.0,56237.0,57176.0,59791.0
CARLTON NORTH,206071140.0,53352.0,58034.0,55585.0,58552.0,60978.0,67919.0,71065.0,73098.0,76703.0,80015.0,79372.0,80741.0,82747.0,88807.0
PRINCES HILL,206071140.0,53352.0,58034.0,55585.0,58552.0,60978.0,67919.0,71065.0,73098.0,76703.0,80015.0,79372.0,80741.0,82747.0,88807.0
BRUNSWICK SOUTH,206011105.0,39847.0,41837.0,43541.0,46842.0,48107.0,52100.0,55600.0,57142.0,57814.0,60483.0,62220.0,63199.0,66873.0,68893.0
BRUNSWICK WEST,206011107.0,40077.0,42234.0,43932.0,46840.0,47687.0,52931.0,54723.0,56811.0,58040.0,60111.0,62038.0,62166.0,65111.0,70209.0
MOONEE VALE,206011107.0,40077.0,42234.0,43932.0,46840.0,47687.0,52931.0,54723.0,56811.0,58040.0,60111.0,62038.0,62166.0,65111.0,70209.0
MORELAND WEST,206011107.0,40077.0,42234.0,43932.0,46840.0,47687.0,52931.0,54723.0,56811.0,58040.0,60111.0,62038.0,62166.0,65111.0,70209.0
BRUNSWICK,206011105.0,39847.0,41837.0,43541.0,46842.0,48107.0,52100.0,55600.0,57142.0,57814.0,60483.0,62220.0,63199.0,66873.0,68893.0
BRUNSWICK LOWER,206011105.0,39847.0,41837.0,43541.0,46842.0,48107.0,52100.0,55600.0,57142.0,57814.0,60483.0,62220.0,63199.0,66873.0,68893.0
BRUNSWICK NORTH,206011105.0,39847.0,41837.0,43541.0,46842.0,48107.0,52100.0,55600.0,57142.0,57814.0,60483.0,62220.0,63199.0,66873.0,68893.0
BRUNSWICK EAST,206011106.0,41300.0,43506.0,44791.0,47653.0,50107.0,55119.0,56729.0,58966.0,58886.0,61348.0,62429.0,64629.0,67534.0,70497.0
LYGON STREET NORTH,206011106.0,41300.0,43506.0,44791.0,47653.0,50107.0,55119.0,56729.0,58966.0,58886.0,61348.0,62429.0,64629.0,67534.0,70497.0
SUMNER,206011106.0,41300.0,43506.0,44791.0,47653.0,50107.0,55119.0,56729.0,58966.0,58886.0,61348.0,62429.0,64629.0,67534.0,70497.0
BATMAN,206011108.0,37704.0,39522.0,41133.0,43715.0,44709.0,49437.0,52155.0,54078.0,55109.0,57617.0,59523.0,61246.0,63488.0,66384.0
COBURG,206011108.0,37704.0,39522.0,41133.0,43715.0,44709.0,49437.0,52155.0,54078.0,55109.0,57617.0,59523.0,61246.0,63488.0,66384.0
COBURG NORTH,210031236.0,37710.0,39528.0,41143.0,43720.0,44720.0,45005.0,47111.0,49785.0,51114.0,53727.0,55706.0,57651.0,59756.0,62422.0
MERLYNSTON,210031236.0,37710.0,39528.0,41143.0,43720.0,44720.0,45005.0,47111.0,49785.0,51114.0,53727.0,55706.0,57651.0,59756.0,62422.0
MORELAND,206011108.0,37704.0,39522.0,41133.0,43715.0,44709.0,49437.0,52155.0,54078.0,55109.0,57617.0,59523.0,61246.0,63488.0,66384.0
GREENVALE,210051246.0,41476.0,43068.0,43665.0,46707.0,48167.0,51923.0,54218.0,56746.0,57732.0,58807.0,59687.0,61184.0,62773.0,64890.0
FAWKNER,210031237.0,31942.0,33193.0,33931.0,36180.0,37180.0,39767.0,41445.0,43156.0,44046.0,44824.0,46888.0,47835.0,49407.0,50646.0
FAWKNER EAST,210031237.0,31942.0,33193.0,33931.0,36180.0,37180.0,39767.0,41445.0,43156.0,44046.0,44824.0,46888.0,47835.0,49407.0,50646.0
FAWKNER NORTH,210031237.0,31942.0,33193.0,33931.0,36180.0,37180.0,39767.0,41445.0,43156.0,44046.0,44824.0,46888.0,47835.0,49407.0,50646.0
CAMPBELLFIELD,210051243.0,30548.0,31143.0,32015.0,33636.0,35266.0,35844.0,37648.0,38406.0,39456.0,39539.0,40884.0,42682.0,42703.0,43784.0
SOMERTON,210051249.0,36890.0,38101.0,39272.0,41234.0,42100.0,40968.0,42678.0,44638.0,44762.0,45638.0,46364.0,47044.0,48045.0,49418.0
OAKLANDS JUNCTION,210051246.0,41476.0,43068.0,43665.0,46707.0,48167.0,51923.0,54218.0,56746.0,57732.0,58807.0,59687.0,61184.0,62773.0,64890.0
DONNYBROOK,209041225.0,38279.0,40767.0,41738.0,42075.0,43861.0,49126.0,51324.0,52045.0,52943.0,54708.0,55654.0,58420.0,61101.0,62590.0
ROXBURGH PARK,210051249.0,36890.0,38101.0,39272.0,41234.0,42100.0,40968.0,42678.0,44638.0,44762.0,45638.0,46364.0,47044.0,48045.0,49418.0
FITZROY,206071142.0,49069.0,53575.0,53384.0,57904.0,58172.0,62772.0,66487.0,70405.0,72296.0,72607.0,76425.0,80755.0,83189.0,86036.0
COLLINGWOOD,206071141.0,43297.0,45341.0,47256.0,51058.0,53727.0,57944.0,61109.0,62028.0,64475.0,64144.0,67310.0,69726.0,73036.0,77705.0
COLLINGWOOD NORTH,206071141.0,43297.0,45341.0,47256.0,51058.0,53727.0,57944.0,61109.0,62028.0,64475.0,64144.0,67310.0,69726.0,73036.0,77705.0
ABBOTSFORD,206071139.0,45910.0,50173.0,50188.0,53880.0,55691.0,59621.0,63043.0,65938.0,63884.0,65878.0,69588.0,72002.0,75384.0,78181.0
CLIFTON HILL,206071145.0,53081.0,56114.0,57305.0,60193.0,62047.0,74313.0,76471.0,79710.0,80797.0,83429.0,85217.0,87736.0,94560.0,99558.0
FITZROY NORTH,206071143.0,54852.0,57887.0,57899.0,60829.0,62813.0,67362.0,71647.0,73041.0,76502.0,78388.0,80634.0,83788.0,87614.0,93200.0
NORTHCOTE,206021111.0,45049.0,48018.0,49199.0,53376.0,55498.0,60901.0,63804.0,65625.0,67212.0,70216.0,72087.0,75052.0,78691.0,82863.0
NORTHCOTE SOUTH,206021111.0,45049.0,48018.0,49199.0,53376.0,55498.0,60901.0,63804.0,65625.0,67212.0,70216.0,72087.0,75052.0,78691.0,82863.0
THORNBURY,206021112.0,39073.0,41080.0,43923.0,45818.0,49555.0,53212.0,56189.0,57675.0,60048.0,60951.0,63037.0,65088.0,68016.0,71753.0
KEON PARK,209041223.0,31960.0,32807.0,34363.0,35913.0,36501.0,38937.0,40702.0,42459.0,42620.0,43347.0,44276.0,45131.0,46808.0,48638.0
RESERVOIR,209021207.0,34094.0,35545.0,36849.0,39116.0,39703.0,42171.0,44051.0,45557.0,46485.0,47756.0,49016.0,50178.0,51497.0,53779.0
RESERVOIR EAST,209021207.0,34094.0,35545.0,36849.0,39116.0,39703.0,42171.0,44051.0,45557.0,46485.0,47756.0,49016.0,50178.0,51497.0,53779.0
RESERVOIR NORTH,209021207.0,34094.0,35545.0,36849.0,39116.0,39703.0,42171.0,44051.0,45557.0,46485.0,47756.0,49016.0,50178.0,51497.0,53779.0
RESERVOIR SOUTH,209021207.0,34094.0,35545.0,36849.0,39116.0,39703.0,42171.0,44051.0,45557.0,46485.0,47756.0,49016.0,50178.0,51497.0,53779.0
THOMASTOWN,209041223.0,31960.0,32807.0,34363.0,35913.0,36501.0,38937.0,40702.0,42459.0,42620.0,43347.0,44276.0,45131.0,46808.0,48638.0
