Suburb,SA2_code,2005_income,2006_income,2007_income,2008_income,2009_income,2010_income,2011_income,2012_income,2013_income,2014_income,2015_income,2016_income,2017_income,2018_income
MELBOURNE,206041122.0,51052.0,53449.0,50094.0,50978.0,57408.0,56465.0,54738.0,54176.0,57011.0,53183.0,53292.0,51261.0,51528.0,52476.0
MELBOURNE,206041122.0,51052.0,53449.0,50094.0,50978.0,57408.0,56465.0,54738.0,54176.0,57011.0,53183.0,53292.0,51261.0,51528.0,52476.0
EAST MELBOURNE,206041119.0,80524.0,87975.0,79947.0,90831.0,95349.0,105396.0,107768.0,104960.0,116888.0,114762.0,122960.0,124057.0,128069.0,132130.0
MELBOURNE,206041126.0,54551.0,61427.0,62827.0,67588.0,64954.0,76885.0,71516.0,73232.0,74154.0,73998.0,75285.0,72915.0,73634.0,75071.0
ST KILDA ROAD CENTRAL,206041125.0,71733.0,77763.0,74770.0,82608.0,81303.0,109471.0,102855.0,106727.0,127605.0,122899.0,125079.0,125363.0,135941.0,134432.0
ST KILDA ROAD MELBOURNE,206041125.0,71733.0,77763.0,74770.0,82608.0,81303.0,109471.0,102855.0,106727.0,127605.0,122899.0,125079.0,125363.0,135941.0,134432.0
WORLD TRADE CENTRE,206041118.0,56900.0,62884.0,64625.0,64491.0,64633.0,69732.0,73182.0,71884.0,72349.0,72972.0,74153.0,68978.0,69260.0,71476.0
SOUTH WHARF,206041126.0,54551.0,61427.0,62827.0,67588.0,64954.0,76885.0,71516.0,73232.0,74154.0,73998.0,75285.0,72915.0,73634.0,75071.0
SOUTHBANK,206051132.0,61242.0,67480.0,65682.0,70876.0,71064.0,82798.0,88106.0,87449.0,87266.0,89607.0,93443.0,91651.0,94718.0,94237.0
DOCKLANDS,206041118.0,56900.0,62884.0,64625.0,64491.0,64633.0,69732.0,73182.0,71884.0,72349.0,72972.0,74153.0,68978.0,69260.0,71476.0
UNIVERSITY OF MELBOURNE,206041124.0,52708.0,54333.0,51256.0,53899.0,56616.0,64303.0,63964.0,69002.0,66053.0,67371.0,69759.0,67230.0,66765.0,72420.0
FOOTSCRAY,213031348.0,36482.0,37360.0,38467.0,41170.0,42943.0,42600.0,45491.0,46902.0,48180.0,49954.0,50887.0,52664.0,55519.0,57701.0
SEDDON,213031350.0,36635.0,38005.0,39443.0,42187.0,43745.0,57518.0,59896.0,61714.0,63637.0,65726.0,68694.0,71878.0,75083.0,78218.0
SEDDON WEST,213031350.0,36635.0,38005.0,39443.0,42187.0,43745.0,57518.0,59896.0,61714.0,63637.0,65726.0,68694.0,71878.0,75083.0,78218.0
BROOKLYN,213011338.0,32525.0,33740.0,34637.0,36434.0,36557.0,39714.0,41769.0,43589.0,43523.0,44511.0,45099.0,46262.0,47974.0,49129.0
KINGSVILLE,213031350.0,36635.0,38005.0,39443.0,42187.0,43745.0,57518.0,59896.0,61714.0,63637.0,65726.0,68694.0,71878.0,75083.0,78218.0
KINGSVILLE WEST,213031350.0,36635.0,38005.0,39443.0,42187.0,43745.0,57518.0,59896.0,61714.0,63637.0,65726.0,68694.0,71878.0,75083.0,78218.0
MAIDSTONE,213031347.0,34101.0,35275.0,36912.0,39399.0,39887.0,41164.0,43181.0,46129.0,46384.0,47351.0,48696.0,49839.0,51530.0,52895.0
TOTTENHAM,213031351.0,36457.0,38579.0,40523.0,43189.0,44327.0,46517.0,48643.0,51242.0,52318.0,53792.0,55182.0,57404.0,59885.0,62995.0
WEST FOOTSCRAY,213031351.0,36457.0,38579.0,40523.0,43189.0,44327.0,46517.0,48643.0,51242.0,52318.0,53792.0,55182.0,57404.0,59885.0,62995.0
YARRAVILLE,213031352.0,44732.0,47113.0,50175.0,53475.0,55554.0,60265.0,63528.0,66799.0,68348.0,70906.0,73604.0,76250.0,79585.0,83130.0
YARRAVILLE WEST,213031352.0,44732.0,47113.0,50175.0,53475.0,55554.0,60265.0,63528.0,66799.0,68348.0,70906.0,73604.0,76250.0,79585.0,83130.0
NEWPORT,213021344.0,45235.0,48260.0,48942.0,54284.0,55668.0,60778.0,64056.0,66402.0,69088.0,72132.0,75204.0,76882.0,80219.0,83403.0
SOUTH KINGSVILLE,213021344.0,45235.0,48260.0,48942.0,54284.0,55668.0,60778.0,64056.0,66402.0,69088.0,72132.0,75204.0,76882.0,80219.0,83403.0
SPOTSWOOD,213021344.0,45235.0,48260.0,48942.0,54284.0,55668.0,60778.0,64056.0,66402.0,69088.0,72132.0,75204.0,76882.0,80219.0,83403.0
WILLIAMSTOWN,213021346.0,54985.0,58481.0,58068.0,62356.0,64547.0,71487.0,74167.0,77761.0,79946.0,82819.0,85094.0,87460.0,90668.0,94350.0
WILLIAMSTOWN NORTH,213021346.0,54985.0,58481.0,58068.0,62356.0,64547.0,71487.0,74167.0,77761.0,79946.0,82819.0,85094.0,87460.0,90668.0,94350.0
ALTONA,213021341.0,40353.0,42867.0,42517.0,45150.0,46560.0,51245.0,53651.0,56677.0,58832.0,60523.0,63487.0,65344.0,69301.0,71989.0
SEAHOLME,213021341.0,40353.0,42867.0,42517.0,45150.0,46560.0,51245.0,53651.0,56677.0,58832.0,60523.0,63487.0,65344.0,69301.0,71989.0
BRAYBROOK,213031347.0,34101.0,35275.0,36912.0,39399.0,39887.0,41164.0,43181.0,46129.0,46384.0,47351.0,48696.0,49839.0,51530.0,52895.0
BRAYBROOK NORTH,213031347.0,34101.0,35275.0,36912.0,39399.0,39887.0,41164.0,43181.0,46129.0,46384.0,47351.0,48696.0,49839.0,51530.0,52895.0
ROBINSON,213031347.0,34101.0,35275.0,36912.0,39399.0,39887.0,41164.0,43181.0,46129.0,46384.0,47351.0,48696.0,49839.0,51530.0,52895.0
ALBION,213011328.0,33520.0,35074.0,36450.0,37922.0,37786.0,38903.0,41377.0,42635.0,42814.0,44318.0,45369.0,46639.0,48816.0,50078.0
GLENGALA,213011338.0,32525.0,33740.0,34637.0,36434.0,36557.0,39714.0,41769.0,43589.0,43523.0,44511.0,45099.0,46262.0,47974.0,49129.0
SUNSHINE,213011336.0,32520.0,33742.0,34635.0,36434.0,36554.0,39412.0,41244.0,42997.0,43701.0,44873.0,45577.0,46975.0,48530.0,50119.0
SUNSHINE NORTH,213011337.0,32526.0,33742.0,34636.0,36436.0,36555.0,38320.0,39925.0,40835.0,41048.0,42069.0,43411.0,44155.0,45528.0,47322.0
SUNSHINE WEST,213011338.0,32525.0,33740.0,34637.0,36434.0,36557.0,39714.0,41769.0,43589.0,43523.0,44511.0,45099.0,46262.0,47974.0,49129.0
ALBANVALE,213011333.0,32169.0,33171.0,34133.0,35659.0,35720.0,38801.0,40203.0,41666.0,42194.0,43171.0,43746.0,44438.0,45976.0,46226.0
KEALBA,213011332.0,37053.0,38600.0,39934.0,41752.0,42757.0,44834.0,46619.0,47747.0,49133.0,50040.0,51526.0,52925.0,53880.0,55820.0
KINGS PARK,213011333.0,32169.0,33171.0,34133.0,35659.0,35720.0,38801.0,40203.0,41666.0,42194.0,43171.0,43746.0,44438.0,45976.0,46226.0
ST ALBANS,213011334.0,32102.0,33087.0,34031.0,35538.0,35565.0,36741.0,38432.0,39255.0,40024.0,40164.0,41248.0,41719.0,42113.0,43682.0
ARDEER,213011328.0,33520.0,35074.0,36450.0,37922.0,37786.0,38903.0,41377.0,42635.0,42814.0,44318.0,45369.0,46639.0,48816.0,50078.0
DEER PARK EAST,213011328.0,33520.0,35074.0,36450.0,37922.0,37786.0,38903.0,41377.0,42635.0,42814.0,44318.0,45369.0,46639.0,48816.0,50078.0
CAIRNLEA,213011329.0,37783.0,39413.0,41177.0,43601.0,44430.0,45685.0,47665.0,49575.0,50440.0,50221.0,51356.0,52140.0,54391.0,54470.0
DEER PARK,213011330.0,38761.0,40575.0,42196.0,44570.0,45481.0,43733.0,45927.0,47451.0,48190.0,48829.0,50358.0,50950.0,52634.0,53966.0
DEER PARK NORTH,213011330.0,38761.0,40575.0,42196.0,44570.0,45481.0,43733.0,45927.0,47451.0,48190.0,48829.0,50358.0,50950.0,52634.0,53966.0
RAVENHALL,213041359.0,35501.0,36971.0,39146.0,41474.0,42745.0,43594.0,44270.0,46831.0,46375.0,44269.0,45895.0,47870.0,62969.0,57008.0
FIELDSTONE,213041359.0,35501.0,36971.0,39146.0,41474.0,42745.0,43594.0,44270.0,46831.0,46375.0,44269.0,45895.0,47870.0,62969.0,57008.0
MANOR LAKES,213051369.0,39328.0,41067.0,42364.0,44277.0,44670.0,47844.0,50036.0,51816.0,51787.0,52420.0,52906.0,54340.0,56229.0,58036.0
MOUNT COTTRELL,213051365.0,38965.0,40340.0,41767.0,43578.0,44036.0,48541.0,50375.0,51656.0,51925.0,51974.0,52736.0,53405.0,54321.0,55002.0
WYNDHAM VALE,213051369.0,39328.0,41067.0,42364.0,44277.0,44670.0,47844.0,50036.0,51816.0,51787.0,52420.0,52906.0,54340.0,56229.0,58036.0
ALTONA EAST,213021343.0,36219.0,39497.0,40453.0,42454.0,43122.0,46386.0,49073.0,51067.0,51367.0,53867.0,56631.0,58728.0,61391.0,65402.0
ALTONA GATE,213021343.0,36219.0,39497.0,40453.0,42454.0,43122.0,46386.0,49073.0,51067.0,51367.0,53867.0,56631.0,58728.0,61391.0,65402.0
ALTONA NORTH,213021343.0,36219.0,39497.0,40453.0,42454.0,43122.0,46386.0,49073.0,51067.0,51367.0,53867.0,56631.0,58728.0,61391.0,65402.0
DERRIMUT,213011330.0,38761.0,40575.0,42196.0,44570.0,45481.0,43733.0,45927.0,47451.0,48190.0,48829.0,50358.0,50950.0,52634.0,53966.0
LAVERTON NORTH,213051363.0,38528.0,39452.0,40488.0,42458.0,43558.0,41988.0,44954.0,48546.0,49498.0,51350.0,53119.0,53966.0,55310.0,57128.0
LAVERTON RAAF,213051363.0,38528.0,39452.0,40488.0,42458.0,43558.0,41988.0,44954.0,48546.0,49498.0,51350.0,53119.0,53966.0,55310.0,57128.0
WILLIAMS LANDING,213051363.0,38528.0,39452.0,40488.0,42458.0,43558.0,41988.0,44954.0,48546.0,49498.0,51350.0,53119.0,53966.0,55310.0,57128.0
ALTONA MEADOWS,213021342.0,37422.0,38715.0,39999.0,41687.0,42197.0,45589.0,47895.0,49950.0,51047.0,52065.0,53879.0,55384.0,57686.0,58832.0
LAVERTON,213051363.0,38528.0,39452.0,40488.0,42458.0,43558.0,41988.0,44954.0,48546.0,49498.0,51350.0,53119.0,53966.0,55310.0,57128.0
SEABROOK,213021345.0,37424.0,38714.0,39994.0,41681.0,42191.0,48711.0,52017.0,52420.0,53181.0,54966.0,56983.0,57349.0,60249.0,61171.0
HOPPERS CROSSING,213051361.0,38964.0,40334.0,41764.0,43570.0,44029.0,47326.0,49067.0,50554.0,51032.0,51837.0,52778.0,53595.0,55029.0,56365.0
TARNEIT,213051365.0,38965.0,40340.0,41767.0,43578.0,44036.0,48541.0,50375.0,51656.0,51925.0,51974.0,52736.0,53405.0,54321.0,55002.0
TRUGANINA,213051366.0,39438.0,41091.0,42282.0,44339.0,45356.0,47806.0,48636.0,50103.0,50675.0,51184.0,52085.0,53233.0,54134.0,55425.0
CHARTWELL,213011330.0,38761.0,40575.0,42196.0,44570.0,45481.0,43733.0,45927.0,47451.0,48190.0,48829.0,50358.0,50950.0,52634.0,53966.0
COCOROC,213051368.0,40974.0,43286.0,44618.0,47005.0,48141.0,48916.0,50479.0,51657.0,53289.0,55336.0,56628.0,59566.0,61353.0,63382.0
QUANDONG,213051369.0,39328.0,41067.0,42364.0,44277.0,44670.0,47844.0,50036.0,51816.0,51787.0,52420.0,52906.0,54340.0,56229.0,58036.0
WERRIBEE,213051368.0,40974.0,43286.0,44618.0,47005.0,48141.0,48916.0,50479.0,51657.0,53289.0,55336.0,56628.0,59566.0,61353.0,63382.0
WERRIBEE SOUTH,213051368.0,40974.0,43286.0,44618.0,47005.0,48141.0,48916.0,50479.0,51657.0,53289.0,55336.0,56628.0,59566.0,61353.0,63382.0
FLEMINGTON,206031115.0,45445.0,48254.0,50072.0,52727.0,54027.0,53202.0,56232.0,57459.0,58532.0,60336.0,60826.0,61354.0,64204.0,67156.0
KENSINGTON,206041121.0,45569.0,48483.0,50314.0,53008.0,54147.0,63012.0,65024.0,67157.0,67891.0,69149.0,71707.0,73885.0,77638.0,81061.0
ASCOT VALE,206031113.0,44879.0,47196.0,48951.0,51455.0,53536.0,61537.0,64141.0,66592.0,70171.0,71349.0,74690.0,76378.0,77927.0,80680.0
HIGHPOINT CITY,213031349.0,44880.0,47190.0,48950.0,51456.0,53536.0,54310.0,57558.0,59017.0,59733.0,61104.0,62096.0,62566.0,64646.0,66404.0
