,Local Government Area,crime_rate_2021,crime_rate_2020,crime_rate_2019,crime_rate_2018,crime_rate_2017,crime_rate_2016,crime_rate_2015,crime_rate_2014,crime_rate_2013,crime_rate_2012
0, Banyule,0.0412209686336199,0.05083371229347,0.05351716803403,0.05500959692898,0.05756883398521,0.05870675653409,0.05438265338494,0.05440143237389,0.0517238605466799,0.04704492490937
1, Brimbank,0.06252185377446,0.07380178345907,0.07228679951138,0.06980799448128,0.0639912655739,0.0739360399627799,0.07378771283481,0.06915472519499,0.07785633815741,0.07989203917966
2, Darebin,0.05800002842383,0.07223457309379,0.06951480904131,0.07178338787403,0.07209403405333,0.08526617072573,0.0754931764644,0.07340597012929,0.06801021239611,0.06670988923068
3, Hobsons Bay,0.04691164939436,0.04571795211276,0.05114304710275,0.04988546967797,0.05162457531739,0.05710310878057,0.05844623339224,0.06145968125463,0.06106202628156,0.06622216687986
4, Hume,0.05126172194369,0.06697679818233,0.06798689760003,0.06925760728624,0.06991330527137,0.0853067749866,0.07509486517035,0.06912974832443,0.06507169786827,0.06689099452015
5, Maribyrnong,0.07453874821439,0.07717251689794,0.07386448728097,0.07588636189601,0.07234618741747,0.08269881070139,0.08149039312126,0.07974485526842,0.08718758617232,0.09683981393902
6, Melbourne,0.14717311415436,0.14585646182982,0.15064750773769,0.15788206696924,0.16661325491231,0.19337969554266,0.18153457244725,0.18537995702286,0.20742812376275,0.23003774005838
7, Melton,0.04997810400896,0.05853913043478,0.0550334675267999,0.05135976722521,0.0541522561197199,0.06410691557064,0.06208353407701,0.05822487220534,0.0550848825200099,0.05853172087992
8, Moonee Valley,0.04650938808824,0.0489628319658799,0.04969573258232,0.05224930808563,0.05316917973702,0.06300103360435,0.05786361254585,0.05472856499919,0.05411210420564,0.06124585433656
9, Moreland,0.049926901475,0.05721490554243,0.05835499512946,0.06387391352184,0.05944376010035,0.07034487561958,0.06650979924942,0.06273651880877,0.0576671117156,0.06250995432161
10, Nillumbik,0.02122901086559,0.0249773838912,0.0254228175547999,0.02531528618284,0.0285524157355499,0.03527908498769,0.03048292108363,0.02500275881639,0.02532687498021,0.0231032017160599
11, Whittlesea,0.03941663565461,0.05131077750392,0.05241492507501,0.0527340864215799,0.05259033966043,0.06316104666325,0.05272114891261,0.05449736294499,0.05571422196439,0.05793767978681
12, Wyndham,0.0418641795418,0.0466688316731,0.0488383522968699,0.04421479674351,0.0450282281983299,0.0544914716662,0.0529523185931799,0.05040394616698,0.0522630131800999,0.06177043616125
13, Yarra,0.0919464539904099,0.11026424242424,0.10907640174948,0.11476457637952,0.11001729274746,0.1215686696665,0.11177340613636,0.11416059063603,0.10960910888259,0.11319338485013
14, Alpine,0.0294693225507399,0.03183535034302,0.03325007805183,0.03087195600943,0.0245291976578599,0.02122754014947,0.0287231474776699,0.0225010117361399,0.02955304078808,0.02610194533366
15, Bass Coast,0.0556924854333999,0.05458672719989,0.0505576208178399,0.04699088490064,0.05630198336532,0.06185751852737,0.05921537328094,0.06253720587775,0.06287702275701,0.0599785790789
16, Baw Baw,0.0553033094728099,0.06710516726186,0.06753567816609,0.060851341998,0.05458205067488,0.05925430055177,0.05205175909861,0.04883800703199,0.04854581716966,0.04792612232059
17, Benalla,0.07053441411565,0.07009973827545,0.06847655693316,0.06232617842117,0.06977243452125,0.0728794163925,0.0581771170006499,0.05892934235142,0.06153624441562,0.05256697234457
18, Boroondara,0.03110581853395,0.03411046699049,0.03371780105569,0.03089162844037,0.0319517801388,0.0398305467181099,0.03374477119134,0.03293177342755,0.03498841540311,0.03512520551035
19, East Gippsland,0.0748583973659,0.07696176008381,0.07704827936078,0.06771189336979,0.06441824172013,0.0678947368421099,0.07013907461888,0.06597104591549,0.07009975119268,0.06155230907706
20, Greater Shepparton,0.08790615916565,0.08974206053377,0.0954120990661799,0.09386741001091,0.09061231961436,0.09726149495943,0.0852548496642799,0.08806458173626,0.080893049143,0.07710750935072
21, Indigo,0.02383452041515,0.02629552857566,0.02592969638901,0.02074110012736,0.0230208779771,0.01973399319517,0.02386634844869,0.02091278921943,0.02274911887216,0.02478322764333
22, Knox,0.0430975787526,0.05292254779076,0.05341136290435,0.04945714775874,0.05210502573736,0.05716762392971,0.04632640201638,0.04547937548433,0.04427331512597,0.04409096173893
23, Latrobe,0.10489487977913,0.1267338470658,0.133694227893,0.13172625616615,0.12391199871843,0.14003913055131,0.12141491395793,0.10541721747107,0.10277373050564,0.10075131073996
24, Manningham,0.02354276638289,0.02662705830341,0.02996433750049,0.02666188712311,0.02976583246158,0.03231622746186,0.0277683487187999,0.02620628448471,0.02629333288272,0.02489782016349
25, Mansfield,0.03807269724604,0.0392653578214099,0.03433242506812,0.03708653524891,0.05616189176899,0.05545307816463,0.0397420867526399,0.04621798689696,0.03540357660706,0.03136964307768
26, Maroondah,0.04474555469904,0.04819892630715,0.0505697104639499,0.0503127526488199,0.0541604697346099,0.05895470383275,0.05123735876768,0.05269204189515,0.0500724169027399,0.04813066012505
27, Mitchell,0.0513421703830499,0.06749637962516,0.06815370928895,0.06767799900673,0.07130037526513,0.0772101926067699,0.06596463341943,0.0548817930611,0.05268868423838,0.0538973175022
28, Moira,0.05613950784322,0.05320141248584,0.06480614973262,0.05255562640534,0.04890058006205,0.04639489927423,0.0376946189565699,0.03721649484536,0.04071959868535,0.0368962510898
29, Monash,0.04312729823756,0.04830776437522,0.04470763346739,0.0411064271871799,0.04151389890413,0.0465256327060399,0.0397781936206899,0.0369863013698599,0.03722135821669,0.03619282133191
30, Murrindindi,0.03739216482981,0.0446081440556599,0.041392092257,0.03943914905374,0.03835885906983,0.03885567890692,0.03675621028307,0.03777306933587,0.03944555039446,0.03396254458977
31, South Gippsland,0.03887331622022,0.04149034646919,0.0438649281176899,0.03459002535926,0.03424166979298,0.03911132477165,0.03151384594003,0.03159075768732,0.03165564319315,0.03348134355081
32, Strathbogie,0.04182572994787,0.04366812227074,0.04147337168306,0.0413378429162,0.04177794734834,0.04624891377812,0.03528255528256,0.03393890996207,0.03780277693321,0.0388957307060799
