,Local Government Area,crime_rate_2021,crime_rate_2020,crime_rate_2019,crime_rate_2018,crime_rate_2017,crime_rate_2016,crime_rate_2015,crime_rate_2014,crime_rate_2013,crime_rate_2012
33, Towong,0.0262175664387,0.0257292690920999,0.02467295909919,0.02940204823257,0.02881271733731,0.02911015547469,0.0278101582015,0.02474088933467,0.03573225968797,0.03299663299663
34, Wangaratta,0.05756593925505,0.05644415522143,0.06040981359649,0.05982259506292,0.06169202509271,0.06333939563514,0.05788295490886,0.06062019955495,0.06072332730561,0.06330636343757
35, Wellington,0.06545194010655,0.0741791378155,0.07377529406463,0.06415703023832,0.0621446998927,0.0762232942798099,0.06867877327898,0.06752351681103,0.06549472156551,0.06742843680057
36, Whitehorse,0.03213949350435,0.03992585830083,0.04067032481444,0.03546203899633,0.03759025296803,0.03745556793464,0.03468343342593,0.03468841285297,0.0357907466020099,0.03496783810699
37, Wodonga,0.05733829865128,0.06045192442923,0.06636884252549,0.05754423230105,0.0593697931980799,0.06224438902743,0.06672105652296,0.06335844040762,0.0594810379241499,0.07081451656782
38, Yarra Ranges,0.0323313815373599,0.03967365821637,0.03863952744648,0.03502538391993,0.0364635460160999,0.0415716439256299,0.0354779615492399,0.03522452095178,0.03348530834581,0.03480488976672
39, Bayside,0.0313040675836399,0.03833886610688,0.03758328966085,0.034961463899,0.03673692487678,0.04087958644279,0.0359639767745,0.03237572271712,0.03550054960713,0.03613451444246
40, Cardinia,0.04043332717425,0.05016653326792,0.0468626035175899,0.0426636294892499,0.04247922424148,0.05516895042686,0.05067282064617,0.04385148177586,0.05135298081356,0.04748700604312
41, Casey,0.03869080819791,0.04733132199671,0.04700504573937,0.04668329206358,0.04610568257281,0.05817979532528,0.05059961005315,0.04489176451793,0.04336331886211,0.04381964046947
42, Frankston,0.05842667830221,0.07540917272461,0.07735987942094,0.07963509979062,0.07605992126096,0.0894897564192599,0.07926554902388,0.07801381984271,0.08024502980998,0.07968591615353
43, Glen Eira,0.03383185411591,0.0396104060272,0.03640719327946,0.03231548856549,0.03531035211314,0.03819414064866,0.03523066801897,0.030147396551,0.0335551465383,0.03320250726013
44, Greater Dandenong,0.07101324626491,0.0890046447535699,0.08730484188255,0.08472372697725,0.08359324355728,0.09657225599481,0.0865879367683099,0.07926512636803,0.08406620786252,0.0811833291987099
45, Kingston,0.04084905316165,0.05148452116945,0.05378036718053,0.05219881066001,0.04778610502263,0.05446046017076,0.05161798213051,0.04650152389599,0.04811075517278,0.04972911888856
46, Mornington Peninsula,0.03802085090862,0.04805107128898,0.0516528555832,0.04907039433613,0.05165594443156,0.05643603585756,0.05121166522908,0.04907987220447,0.04881137135473,0.04848384970336
47, Port Phillip,0.08341795829827,0.0883958927161,0.0847777201176299,0.08790888624023,0.08755964430307,0.096522963904,0.09219691486262,0.0869211400561,0.08593719409531,0.0884646571831899
48, Stonnington,0.06992300497631,0.07636535316236,0.07688323597337,0.07170560968688,0.06939317230953,0.08267344125834,0.07198133817159,0.06760534119025,0.07193174021858,0.07189626269599
49, Ararat,0.0843033097425999,0.0912661930630999,0.07201958797703,0.0763883001271699,0.07757740728139,0.07381864623244,0.07815183785641,0.0689446366782,0.07606614447346,0.0819298245614
50, Ballarat,0.06664273619215,0.0659656432682899,0.08153126826417,0.07505311020834,0.08497277608089,0.0915458937198099,0.0860276510411,0.0753948395620199,0.0824452940698,0.08455669506244
51, Buloke,0.03234377369088,0.04671365349943,0.03935979095215,0.0294355490862,0.0254633360193399,0.02689369828135,0.0282270853155699,0.0284135753749,0.02927363807138,0.03668013677339
52, Campaspe,0.06516392852186,0.06627737226277,0.07757543533165,0.0755786113328,0.06662765646195,0.07487697832159,0.0623046300996599,0.06240291392147,0.05643189208072,0.0602845495532
53, Central Goldfields,0.06120750345738,0.06171707913229,0.06766803216507,0.07344033918837,0.06533313051415,0.07732864674868,0.06532818532819,0.06248059608817,0.06328521264144,0.06064181217555
54, Colac-Otway,0.05474953282088,0.06278275320838,0.05964196271218,0.05901776578923,0.06444237050863,0.06764347907499,0.05619406500236,0.05200889688136,0.0485381507012099,0.05659745478902
55, Corangamite,0.03811659931829,0.04074329838659,0.03265280639321,0.03339736043125,0.04367674275139,0.0451271316874999,0.03109254024825,0.02900856793146,0.02778793418647,0.03296903460838
56, Gannawarra,0.05357689155264,0.06538461538462,0.06017766739899,0.04921297174284,0.04200965086574,0.04646541118577,0.04328018223235,0.04053540915132,0.03923617708531,0.04029338921699
57, Glenelg,0.06173037438971,0.05504306610265,0.0549031569315199,0.05237998372661,0.0631220800325,0.06953793208158,0.0622147855187099,0.07086813464946,0.05980704147093,0.05513240857503
58, Golden Plains,0.01786724658065,0.01843374984535,0.02044515639491,0.02201747556017,0.0221109535625699,0.02934229651163,0.02538806807556,0.0223455667735299,0.01974265789215,0.0191797592328099
59, Greater Bendigo,0.06341453219426,0.06749458243041,0.0714533707056399,0.06664023922579,0.06310751943624,0.0706619042105,0.05775739709575,0.05726460099115,0.05712694772408,0.0543477214763499
60, Greater Geelong,0.05449519266358,0.06253728300348,0.06368706022291,0.0634701005832,0.06965425185571,0.0777651140363,0.06633007908091,0.06617517914852,0.06067864450185,0.06136836533547
61, Hepburn,0.02712253208818,0.03478368509005,0.0453264884492599,0.03807235011384,0.04222918932753,0.04695652173913,0.0380853006391,0.03253424657534,0.03488217281321,0.03743676222597
62, Hindmarsh,0.05654821766895,0.05561516452074,0.04099534550662,0.04500354358611,0.04861839804127,0.04062932226833,0.02789256198347,0.02515400410678,0.03144224196856,0.03397643844972
63, Horsham,0.07843945318894,0.07388350484564,0.06626506024096,0.07924927040354,0.07920543122957,0.09454838060752,0.09968674211803,0.0798561879684,0.06839646592871,0.07221542227662
64, Loddon,0.05472054193593,0.05232169142245,0.04972007464676,0.0519100226274499,0.03929665645398,0.05054247155332,0.04156154561147,0.03154532144283,0.03511572226656,0.04422898127241
65, Macedon Ranges,0.02861434166597,0.03759000215809,0.03472028668127,0.0336120841517,0.0330015282309699,0.03466722830666,0.03273456537209,0.03243825735084,0.03114698957282,0.03011828104307
66, Mildura,0.08521235173575,0.08321862094857,0.0995177396511199,0.0999171410044,0.08712052518951,0.09314281532438,0.08643548267967,0.08668142992724,0.08531492211604,0.08756550738447
67, Moorabool,0.0439211573055,0.05686835309472,0.04556218082223,0.05164539173205,0.0519406734047,0.06136753183154,0.05045987148797,0.04683576900792,0.04939164748438,0.0460443415182399
68, Mount Alexander,0.03633509758878,0.03809809509525,0.0461242468735799,0.03541047453111,0.0397471109498899,0.04979839765408,0.03831009896776,0.03626830982109,0.03419740231271,0.03511881681715
69, Moyne,0.03124117832152,0.0313032242908299,0.02978999528079,0.02534493989459,0.02769010897398,0.02933620123081,0.02453137243084,0.0284641472868199,0.0264743472704,0.03293670264966
70, Northern Grampians,0.07424204134854,0.07313864772428,0.06701166564336,0.0668416447944,0.07310931666233,0.08089887640449,0.06964960494675,0.05918315360448,0.05749158249158,0.0546365914787
71, Pyrenees,0.04350637118941,0.04910655195235,0.05502008032129,0.04623963008296,0.04851861919,0.0534445051941,0.04944978409249,0.0490989073364599,0.0455462669357199,0.03615160349854
72, Queenscliffe,0.02451801718485,0.03324468085106,0.0357264375638,0.03386988598256,0.0425819533626199,0.04233526800956,0.0525059665871099,0.03434343434343,0.02431712191872,0.03631010794897
73, Southern Grampians,0.04725137944358,0.05138217429032,0.05870294446515,0.06886079087641,0.06103082552875,0.06121689511877,0.04943695087242,0.0434327899108,0.05398960562519,0.04859972055161
74, Surf Coast,0.03008079815042,0.03442523942366,0.02997877873091,0.02722311794617,0.03177337544263,0.03587723617266,0.03915611814346,0.03400983583847,0.03482357942468,0.0426807119506
75, Swan Hill,0.08537241820557,0.08858478620824,0.09065375302663,0.08578998073218,0.08504820837531,0.0830302450229699,0.07729861676159,0.0777936962750699,0.06841879731467,0.06585284440418
76, Warrnambool,0.06394279766167,0.06526327639096,0.07401722520679,0.08338352981671,0.0766582776476,0.07277612289002,0.06343184825761,0.05888108156186,0.05714627651617,0.05526482954717
77, West Wimmera,0.04324532432145,0.03438320209974,0.03386298515238,0.03314344899016,0.0323574730354399,0.02743205486411,0.02591847005536,0.0245170876671599,0.02934044616877,0.03156146179402
78, Yarriambiack,0.04452466305767,0.0547965998785699,0.04489980412837,0.05031541003304,0.0531119090365099,0.0489396411093,0.04614708467624,0.02729636048527,0.03057451649602,0.03861874559549
