,Suburb,LGA,crime_rate
0,MELBOURNE,Melbourne,0.14717311415436
1,EAST MELBOURNE,Yarra,0.0919464539904099
2,WEST MELBOURNE,Melbourne,0.14717311415436
3,ST KILDA ROAD CENTRAL,Yarra,0.0919464539904099
4,ST KILDA ROAD MELBOURNE,Yarra,0.0919464539904099
5,WORLD TRADE CENTRE,Melbourne,0.14717311415436
6,SOUTH WHARF,Port Phillip,0.08341795829827
7,SOUTHBANK,Port Phillip,0.08341795829827
8,DOCKLANDS,Melbourne,0.14717311415436
9,UNIVERSITY OF MELBOURNE,Melbourne,0.14717311415436
10,FOOTSCRAY,Moonee Valley,0.04650938808824
11,SEDDON,Moonee Valley,0.04650938808824
12,SEDDON WEST,Moonee Valley,0.04650938808824
13,BROOKLYN,Wyndham,0.0418641795418
14,KINGSVILLE,Wyndham,0.0418641795418
15,KINGSVILLE WEST,Wyndham,0.0418641795418
16,MAIDSTONE,Wyndham,0.0418641795418
17,TOTTENHAM,Wyndham,0.0418641795418
18,WEST FOOTSCRAY,Wyndham,0.0418641795418
19,YARRAVILLE,Melbourne,0.14717311415436
20,YARRAVILLE WEST,Melbourne,0.14717311415436
21,NEWPORT,Melbourne,0.14717311415436
22,SOUTH KINGSVILLE,Melbourne,0.14717311415436
23,SPOTSWOOD,Melbourne,0.14717311415436
24,WILLIAMSTOWN,Hobsons Bay,0.04691164939436
25,WILLIAMSTOWN NORTH,Hobsons Bay,0.04691164939436
26,ALTONA,Wyndham,0.0418641795418
27,SEAHOLME,Wyndham,0.0418641795418
28,BRAYBROOK,Moonee Valley,0.04650938808824
29,BRAYBROOK NORTH,Moonee Valley,0.04650938808824
30,ROBINSON,Moonee Valley,0.04650938808824
31,ALBION,Wyndham,0.0418641795418
32,GLENGALA,Wyndham,0.0418641795418
33,SUNSHINE,Wyndham,0.0418641795418
34,SUNSHINE NORTH,Wyndham,0.0418641795418
35,SUNSHINE WEST,Wyndham,0.0418641795418
36,ALBANVALE,Melton,0.04997810400896
37,KEALBA,Melton,0.04997810400896
38,KINGS PARK,Melton,0.04997810400896
39,ST ALBANS,Melton,0.04997810400896
40,ARDEER,Brimbank,0.06252185377446
41,DEER PARK EAST,Brimbank,0.06252185377446
42,BURNSIDE,Melton,0.04997810400896
43,BURNSIDE HEIGHTS,Melton,0.04997810400896
44,CAIRNLEA,Melton,0.04997810400896
45,CAROLINE SPRINGS,Melton,0.04997810400896
46,DEER PARK,Melton,0.04997810400896
47,DEER PARK NORTH,Melton,0.04997810400896
48,RAVENHALL,Melton,0.04997810400896
49,FIELDSTONE,Wyndham,0.0418641795418
50,MAMBOURIN,Wyndham,0.0418641795418
51,MANOR LAKES,Wyndham,0.0418641795418
52,MOUNT COTTRELL,Wyndham,0.0418641795418
53,WYNDHAM VALE,Wyndham,0.0418641795418
54,ALTONA EAST,Wyndham,0.0418641795418
55,ALTONA GATE,Wyndham,0.0418641795418
56,ALTONA NORTH,Wyndham,0.0418641795418
57,DERRIMUT,Wyndham,0.0418641795418
58,LAVERTON NORTH,Wyndham,0.0418641795418
59,LAVERTON RAAF,Wyndham,0.0418641795418
60,WILLIAMS LANDING,Wyndham,0.0418641795418
61,WILLIAMS RAAF,Wyndham,0.0418641795418
62,ALTONA MEADOWS,Wyndham,0.0418641795418
63,LAVERTON,Wyndham,0.0418641795418
64,SEABROOK,Wyndham,0.0418641795418
65,HOPPERS CROSSING,Wyndham,0.0418641795418
66,TARNEIT,Wyndham,0.0418641795418
67,TRUGANINA,Wyndham,0.0418641795418
68,CHARTWELL,Wyndham,0.0418641795418
69,COCOROC,Wyndham,0.0418641795418
70,POINT COOK,Wyndham,0.0418641795418
71,QUANDONG,Wyndham,0.0418641795418
72,WERRIBEE,Wyndham,0.0418641795418
73,WERRIBEE SOUTH,Wyndham,0.0418641795418
74,FLEMINGTON,Moonee Valley,0.04650938808824
75,KENSINGTON,Moonee Valley,0.04650938808824
76,ASCOT VALE,Moreland,0.049926901475
77,HIGHPOINT CITY,Moreland,0.049926901475
78,MARIBYRNONG,Moreland,0.049926901475
79,TRAVANCORE,Moreland,0.049926901475
80,KEILOR EAST,Moonee Valley,0.04650938808824
81,AVONDALE HEIGHTS,Moonee Valley,0.04650938808824
82,KEILOR,Hume,0.05126172194369
83,KEILOR NORTH,Hume,0.05126172194369
84,CALDER PARK,Melton,0.04997810400896
85,DELAHEY,Melton,0.04997810400896
86,HILLSIDE,Melton,0.04997810400896
87,PLUMPTON,Melton,0.04997810400896
88,SYDENHAM,Melton,0.04997810400896
89,TAYLORS HILL,Melton,0.04997810400896
90,KEILOR DOWNS,Brimbank,0.06252185377446
91,KEILOR LODGE,Brimbank,0.06252185377446
92,TAYLORS LAKES,Brimbank,0.06252185377446
93,WATERGARDENS,Brimbank,0.06252185377446
94,MOONEE PONDS,Moreland,0.049926901475
95,ABERFELDIE,Moreland,0.049926901475
96,ESSENDON,Moreland,0.049926901475
97,ESSENDON WEST,Moreland,0.049926901475
98,ESSENDON FIELDS,Moreland,0.049926901475
99,ESSENDON NORTH,Moreland,0.049926901475
100,STRATHMORE,Moreland,0.049926901475
101,STRATHMORE HEIGHTS,Moreland,0.049926901475
102,AIRPORT WEST,Moreland,0.049926901475
103,KEILOR PARK,Moreland,0.049926901475
104,NIDDRIE,Moreland,0.049926901475
105,NIDDRIE NORTH,Moreland,0.049926901475
106,GLADSTONE PARK,Moreland,0.049926901475
107,GOWANBRAE,Moreland,0.049926901475
108,TULLAMARINE,Moreland,0.049926901475
109,PASCOE VALE,Moreland,0.049926901475
110,PASCOE VALE SOUTH,Moreland,0.049926901475
111,MELBOURNE AIRPORT,Hume,0.05126172194369
112,GLENROY,Moreland,0.049926901475
113,HADFIELD,Moreland,0.049926901475
114,OAK PARK,Moreland,0.049926901475
115,BROADMEADOWS,Moreland,0.049926901475
116,DALLAS,Moreland,0.049926901475
117,JACANA,Moreland,0.049926901475
118,COOLAROO,Hume,0.05126172194369
119,MEADOW HEIGHTS,Hume,0.05126172194369
120,ATTWOOD,Hume,0.05126172194369
121,WESTMEADOWS,Hume,0.05126172194369
122,ROYAL MELBOURNE HOSPITAL,Moreland,0.049926901475
123,HOTHAM HILL,Moonee Valley,0.04650938808824
124,NORTH MELBOURNE,Moonee Valley,0.04650938808824
125,MELBOURNE UNIVERSITY,Moreland,0.049926901475
126,PARKVILLE,Moreland,0.049926901475
127,CARLTON,Yarra,0.0919464539904099
128,CARLTON SOUTH,Yarra,0.0919464539904099
129,CARLTON NORTH,Yarra,0.0919464539904099
130,PRINCES HILL,Yarra,0.0919464539904099
131,BRUNSWICK SOUTH,Moreland,0.049926901475
132,BRUNSWICK WEST,Moreland,0.049926901475
133,MOONEE VALE,Moreland,0.049926901475
134,MORELAND WEST,Moreland,0.049926901475
135,BRUNSWICK,Yarra,0.0919464539904099
136,BRUNSWICK LOWER,Yarra,0.0919464539904099
137,BRUNSWICK NORTH,Yarra,0.0919464539904099
138,BRUNSWICK EAST,Yarra,0.0919464539904099
139,LYGON STREET NORTH,Yarra,0.0919464539904099
140,SUMNER,Yarra,0.0919464539904099
141,BATMAN,Moreland,0.049926901475
142,COBURG,Moreland,0.049926901475
143,COBURG NORTH,Moreland,0.049926901475
144,MERLYNSTON,Moreland,0.049926901475
145,MORELAND,Moreland,0.049926901475
146,GREENVALE,Hume,0.05126172194369
147,FAWKNER,Moreland,0.049926901475
148,FAWKNER EAST,Moreland,0.049926901475
149,FAWKNER NORTH,Moreland,0.049926901475
150,CAMPBELLFIELD,Whittlesea,0.03941663565461
151,SOMERTON,Whittlesea,0.03941663565461
152,OAKLANDS JUNCTION,Hume,0.05126172194369
153,YUROKE,Hume,0.05126172194369
154,CRAIGIEBURN,Whittlesea,0.03941663565461
155,DONNYBROOK,Whittlesea,0.03941663565461
156,KALKALLO,Whittlesea,0.03941663565461
157,MICKLEHAM,Whittlesea,0.03941663565461
158,ROXBURGH PARK,Whittlesea,0.03941663565461
159,FITZROY,Yarra,0.0919464539904099
160,COLLINGWOOD,Yarra,0.0919464539904099
161,COLLINGWOOD NORTH,Yarra,0.0919464539904099
162,ABBOTSFORD,Yarra,0.0919464539904099
163,CLIFTON HILL,Yarra,0.0919464539904099
164,FITZROY NORTH,Yarra,0.0919464539904099
165,NORTHCOTE,Yarra,0.0919464539904099
166,NORTHCOTE SOUTH,Yarra,0.0919464539904099
167,THORNBURY,Moreland,0.049926901475
168,GILBERTON,Moreland,0.049926901475
169,NORTHLAND CENTRE,Moreland,0.049926901475
170,PRESTON,Moreland,0.049926901475
171,PRESTON LOWER,Moreland,0.049926901475
172,PRESTON SOUTH,Moreland,0.049926901475
173,PRESTON WEST,Moreland,0.049926901475
174,REGENT WEST,Moreland,0.049926901475
175,SYLVESTER,Moreland,0.049926901475
176,KEON PARK,Whittlesea,0.03941663565461
177,RESERVOIR,Whittlesea,0.03941663565461
178,RESERVOIR EAST,Whittlesea,0.03941663565461
179,RESERVOIR NORTH,Whittlesea,0.03941663565461
180,RESERVOIR SOUTH,Whittlesea,0.03941663565461
181,THOMASTOWN,Whittlesea,0.03941663565461
182,LALOR,Whittlesea,0.03941663565461
183,LALOR PLAZA,Whittlesea,0.03941663565461
184,EPPING,Whittlesea,0.03941663565461
185,EPPING DC,Whittlesea,0.03941663565461
186,ALPHINGTON,Yarra,0.0919464539904099
187,FAIRFIELD,Yarra,0.0919464539904099
188,IVANHOE,Yarra,0.0919464539904099
189,IVANHOE EAST,Yarra,0.0919464539904099
190,IVANHOE NORTH,Yarra,0.0919464539904099
191,BELLFIELD,Darebin,0.05800002842383
192,HEIDELBERG HEIGHTS,Darebin,0.05800002842383
193,HEIDELBERG RGH,Darebin,0.05800002842383
194,HEIDELBERG WEST,Darebin,0.05800002842383
195,MILL PARK,Whittlesea,0.03941663565461
196,BUNDOORA,Whittlesea,0.03941663565461
197,KINGSBURY,Whittlesea,0.03941663565461
198,LA TROBE UNIVERSITY,Whittlesea,0.03941663565461
199,BANYULE,Manningham,0.02354276638289
200,EAGLEMONT,Manningham,0.02354276638289
201,HEIDELBERG,Manningham,0.02354276638289
