,Suburb,SA2_code,2005_income,2006_income,2007_income,2008_income,2009_income,2010_income,2011_income,2012_income,2013_income,2014_income,2015_income,2016_income,2017_income,2018_income
148,CLIFTON HILL,206071145.0,53081.0,56114.0,57305.0,60193.0,62047.0,74313.0,76471.0,79710.0,80797.0,83429.0,85217.0,87736.0,94560.0,99558.0
149,FITZROY NORTH,206071143.0,54852.0,57887.0,57899.0,60829.0,62813.0,67362.0,71647.0,73041.0,76502.0,78388.0,80634.0,83788.0,87614.0,93200.0
150,NORTHCOTE,206021111.0,45049.0,48018.0,49199.0,53376.0,55498.0,60901.0,63804.0,65625.0,67212.0,70216.0,72087.0,75052.0,78691.0,82863.0
152,THORNBURY,206021112.0,39073.0,41080.0,43923.0,45818.0,49555.0,53212.0,56189.0,57675.0,60048.0,60951.0,63037.0,65088.0,68016.0,71753.0
154,RESERVOIR,209021207.0,34094.0,35545.0,36849.0,39116.0,39703.0,42171.0,44051.0,45557.0,46485.0,47756.0,49016.0,50178.0,51497.0,53779.0
158,THOMASTOWN,209041223.0,31960.0,32807.0,34363.0,35913.0,36501.0,38937.0,40702.0,42459.0,42620.0,43347.0,44276.0,45131.0,46808.0,48638.0
159,LALOR,209041219.0,31380.0,32353.0,33913.0,35760.0,35939.0,38563.0,40445.0,41906.0,42567.0,43995.0,45109.0,46445.0,47815.0,49055.0
161,ALPHINGTON,206021110.0,48508.0,51504.0,55602.0,58396.0,59914.0,63409.0,69140.0,68272.0,70623.0,72015.0,75345.0,76516.0,79356.0,84148.0
162,FAIRFIELD,206021110.0,48508.0,51504.0,55602.0,58396.0,59914.0,63409.0,69140.0,68272.0,70623.0,72015.0,75345.0,76516.0,79356.0,84148.0
163,IVANHOE,209011200.0,55825.0,63024.0,59870.0,63447.0,66867.0,70765.0,70792.0,74458.0,75535.0,81418.0,81344.0,83451.0,88705.0,91080.0
164,IVANHOE EAST,209011201.0,51646.0,57011.0,55144.0,58759.0,61739.0,85855.0,88559.0,89719.0,94634.0,99064.0,101104.0,105028.0,109674.0,111558.0
169,HEIDELBERG WEST,209011199.0,34845.0,36686.0,37680.0,39562.0,40398.0,44118.0,46532.0,48158.0,49242.0,50688.0,52693.0,54413.0,56266.0,58067.0
170,MILL PARK,209041220.0,36463.0,37762.0,39091.0,41314.0,42383.0,45956.0,47237.0,49353.0,50157.0,51817.0,53222.0,54719.0,55737.0,57395.0
171,BUNDOORA,209041217.0,35608.0,36790.0,38290.0,40851.0,41340.0,43386.0,44172.0,45775.0,46029.0,47075.0,48083.0,48100.0,49927.0,51512.0
176,HEIDELBERG,209011198.0,47520.0,51013.0,50382.0,53973.0,56660.0,56197.0,58573.0,60831.0,62707.0,64512.0,65733.0,64034.0,71117.0,75052.0
185,GREENSBOROUGH,209011197.0,41364.0,43010.0,44223.0,46738.0,48343.0,52354.0,54124.0,55862.0,57505.0,59493.0,61861.0,63308.0,65342.0,68139.0
192,MONTMORENCY,209011202.0,43437.0,45840.0,46586.0,49784.0,51693.0,56240.0,59762.0,61082.0,61855.0,64249.0,64583.0,68612.0,70820.0,74701.0
193,ELTHAM,209031209.0,46835.0,49304.0,50056.0,53187.0,55217.0,59965.0,62005.0,63799.0,64881.0,66670.0,69362.0,71145.0,73534.0,76105.0
202,HURSTBRIDGE,209031210.0,40393.0,42877.0,43989.0,46700.0,48712.0,49756.0,54560.0,54558.0,56326.0,55951.0,58656.0,59983.0,64296.0,64704.0
206,KEW,207011153.0,74148.0,81490.0,80136.0,83812.0,86430.0,94041.0,97256.0,100950.0,103845.0,103505.0,106035.0,108682.0,108907.0,112542.0
208,BALWYN,207011147.0,62844.0,66683.0,65032.0,67718.0,70429.0,77115.0,81028.0,82777.0,87150.0,87289.0,86646.0,85026.0,86736.0,88497.0
215,BULLEEN,207021156.0,42045.0,43994.0,44435.0,47298.0,49098.0,53339.0,55099.0,57460.0,58040.0,61456.0,62589.0,62169.0,63983.0,65889.0
217,TEMPLESTOWE,207021159.0,53909.0,59063.0,56709.0,58833.0,60392.0,66783.0,69905.0,71111.0,72672.0,73443.0,73686.0,74005.0,75928.0,80019.0
219,DONCASTER,207021157.0,41702.0,44080.0,42356.0,45380.0,45703.0,50406.0,51572.0,52619.0,53499.0,55545.0,57895.0,57534.0,59361.0,59387.0
220,DONVALE,211021261.0,53326.0,56541.0,53266.0,56390.0,58571.0,64722.0,66069.0,68951.0,71817.0,71993.0,73651.0,73972.0,75886.0,78219.0
226,BURNLEY,206071144.0,51711.0,55747.0,57287.0,60828.0,61869.0,68504.0,71718.0,73467.0,77062.0,78977.0,81317.0,83132.0,85193.0,87699.0
229,RICHMOND,206071144.0,51711.0,55747.0,57287.0,60828.0,61869.0,68504.0,71718.0,73467.0,77062.0,78977.0,81317.0,83132.0,85193.0,87699.0
236,HAWTHORN,207011151.0,70914.0,75520.0,73979.0,78766.0,80851.0,89721.0,95184.0,96673.0,99132.0,98938.0,102144.0,97905.0,99465.0,104364.0
241,CAMBERWELL,207011149.0,65088.0,70792.0,69091.0,74221.0,76302.0,85242.0,87150.0,90295.0,94918.0,97213.0,96748.0,96292.0,97237.0,101491.0
248,BURWOOD,207031165.0,42446.0,44940.0,48950.0,46109.0,46815.0,49034.0,50544.0,52698.0,53421.0,53726.0,53645.0,53303.0,53470.0,54445.0
251,CANTERBURY,207011155.0,74976.0,80342.0,78400.0,81099.0,82897.0,91519.0,98718.0,96629.0,105272.0,105527.0,111065.0,110484.0,115344.0,112088.0
252,MONT ALBERT,207031167.0,59753.0,63450.0,63282.0,67180.0,68972.0,76486.0,75737.0,78736.0,82193.0,83760.0,84284.0,86366.0,87699.0,90542.0
253,SURREY HILLS,207011155.0,74976.0,80342.0,78400.0,81099.0,82897.0,91519.0,98718.0,96629.0,105272.0,105527.0,111065.0,110484.0,115344.0,112088.0
255,BOX HILL,207031163.0,40574.0,42663.0,42316.0,44491.0,47658.0,50170.0,52535.0,54283.0,55332.0,55951.0,56502.0,53861.0,53975.0,55498.0
263,BLACKBURN,207031161.0,43488.0,45894.0,45841.0,48258.0,49788.0,55687.0,58672.0,60949.0,62466.0,63711.0,65382.0,66107.0,68474.0,71176.0
268,FOREST HILL,211041269.0,38087.0,39956.0,40747.0,42900.0,43699.0,46475.0,48346.0,50118.0,51865.0,53047.0,54661.0,55585.0,56685.0,58772.0
269,NUNAWADING,211041271.0,38089.0,39960.0,40744.0,42894.0,43703.0,49013.0,54303.0,52672.0,54845.0,56512.0,57596.0,58876.0,61162.0,62970.0
270,MITCHAM,211041270.0,40698.0,42801.0,43544.0,46067.0,47353.0,51899.0,54323.0,56170.0,57919.0,58694.0,60800.0,62012.0,63593.0,64868.0
273,VERMONT,211041272.0,43097.0,44693.0,45271.0,46934.0,47431.0,50660.0,51678.0,53759.0,55104.0,56209.0,58029.0,58903.0,60317.0,62732.0
276,RINGWOOD,211031266.0,41198.0,43736.0,43611.0,45911.0,48053.0,47292.0,48976.0,51218.0,51438.0,52529.0,53644.0,54646.0,57209.0,59805.0
298,LILYDALE,211051278.0,38367.0,39909.0,40780.0,43206.0,44924.0,48089.0,50522.0,52146.0,53860.0,54572.0,56680.0,56658.0,61266.0,64199.0
301,SOUTH YARRA,206061137.0,72142.0,79219.0,76794.0,83749.0,81799.0,85017.0,82858.0,83613.0,90398.0,92141.0,93430.0,86909.0,92513.0,94748.0
303,TOORAK,206061138.0,121175.0,136444.0,130117.0,133180.0,132252.0,149052.0,148362.0,146406.0,161878.0,164156.0,168104.0,175696.0,177645.0,188906.0
304,ARMADALE,206061135.0,75018.0,80385.0,76913.0,82507.0,89534.0,92214.0,95768.0,99631.0,106695.0,109684.0,113429.0,112884.0,107488.0,111629.0
307,MALVERN,208041194.0,73616.0,80842.0,79465.0,82983.0,85344.0,92796.0,96937.0,98413.0,104655.0,107213.0,110207.0,108873.0,114118.0,119392.0
313,MALVERN EAST,208041195.0,62936.0,66017.0,66349.0,69478.0,72103.0,81621.0,82678.0,86103.0,88953.0,92445.0,92240.0,94521.0,98625.0,101673.0
315,GLEN IRIS,208041194.0,73616.0,80842.0,79465.0,82983.0,85344.0,92796.0,96937.0,98413.0,104655.0,107213.0,110207.0,108873.0,114118.0,119392.0
316,ASHBURTON,207011146.0,48174.0,50730.0,51726.0,54347.0,56389.0,67845.0,72098.0,76336.0,81790.0,83774.0,87828.0,92036.0,93355.0,96229.0
318,CHADSTONE,212051319.0,41770.0,43506.0,44163.0,46238.0,48553.0,50539.0,52994.0,55781.0,56494.0,57887.0,59966.0,60464.0,62564.0,64346.0
322,MOUNT WAVERLEY,212051324.0,43648.0,46032.0,44289.0,46643.0,47693.0,51599.0,54589.0,57259.0,58549.0,60098.0,61544.0,62081.0,63883.0,66472.0
326,GLEN WAVERLEY,212051321.0,43092.0,44832.0,43504.0,46188.0,47475.0,50802.0,52770.0,54371.0,56181.0,57308.0,57578.0,57032.0,58082.0,59969.0
328,BURWOOD EAST,207031166.0,37601.0,38993.0,39248.0,40658.0,41134.0,44338.0,46745.0,49250.0,49256.0,50618.0,51931.0,51966.0,53465.0,54272.0
332,WANTIRNA,211011259.0,39533.0,40978.0,41828.0,43910.0,45249.0,48380.0,50845.0,51885.0,52519.0,53131.0,53555.0,54898.0,56387.0,58059.0
334,BAYSWATER,211011251.0,35605.0,36868.0,38446.0,40608.0,41914.0,44736.0,47152.0,48405.0,49025.0,49782.0,51402.0,52117.0,53822.0,55155.0
346,CAULFIELD,208021178.0,53248.0,58866.0,56279.0,60205.0,62969.0,67414.0,69808.0,71423.0,74687.0,75945.0,79822.0,80622.0,82784.0,85610.0
350,CARNEGIE,208021176.0,41968.0,44297.0,45110.0,47552.0,49142.0,54260.0,56431.0,59517.0,61256.0,62798.0,64244.0,65090.0,66873.0,68783.0
352,MURRUMBEENA,208021181.0,41967.0,44303.0,45107.0,47556.0,49147.0,56234.0,59056.0,61585.0,62636.0,64524.0,66211.0,67878.0,69958.0,71876.0
354,HUGHESDALE,208021180.0,38742.0,40941.0,42376.0,44692.0,45590.0,52157.0,55469.0,56837.0,59027.0,61188.0,63361.0,64894.0,66808.0,68106.0
356,OAKLEIGH,212051326.0,38304.0,40357.0,41820.0,44124.0,45170.0,47966.0,50414.0,52561.0,54252.0,55850.0,57566.0,58785.0,60602.0,62619.0
359,CLAYTON,212051320.0,30734.0,31627.0,32207.0,35591.0,34738.0,37727.0,39814.0,42192.0,43959.0,44558.0,45882.0,45295.0,44622.0,44292.0
363,MULGRAVE,212051325.0,37482.0,39339.0,40231.0,42657.0,43373.0,47678.0,49837.0,52206.0,53413.0,54180.0,56306.0,57228.0,58047.0,59299.0
366,SPRINGVALE,212041317.0,30023.0,30395.0,30951.0,31524.0,32988.0,34444.0,36382.0,37805.0,38965.0,39915.0,40075.0,40442.0,42139.0,43017.0
371,DANDENONG,212041311.0,31904.0,32960.0,33737.0,35186.0,35649.0,37105.0,38539.0,39945.0,39413.0,41083.0,41195.0,42502.0,44205.0,45908.0
373,DANDENONG NORTH,212041312.0,31900.0,32953.0,33728.0,35175.0,35636.0,39658.0,41331.0,42893.0,43647.0,44792.0,45530.0,47033.0,48722.0,50071.0
378,ROWVILLE,211011256.0,41226.0,42820.0,43780.0,46193.0,47623.0,49158.0,50793.0,53825.0,54602.0,55374.0,56749.0,57342.0,59141.0,60538.0
379,SCORESBY,211011254.0,37692.0,39321.0,40249.0,41615.0,43188.0,46905.0,48689.0,50301.0,51216.0,52430.0,54481.0,55621.0,57632.0,59267.0
381,PRAHRAN,206061136.0,54564.0,59583.0,58920.0,61706.0,62905.0,68847.0,69781.0,72231.0,72739.0,76455.0,73899.0,78362.0,83932.0,88528.0
383,WINDSOR,206061136.0,54564.0,59583.0,58920.0,61706.0,62905.0,68847.0,69781.0,72231.0,72739.0,76455.0,73899.0,78362.0,83932.0,88528.0
384,ST KILDA,206051133.0,53841.0,57318.0,57188.0,60912.0,61456.0,63720.0,65742.0,66453.0,69260.0,70022.0,72672.0,70774.0,75745.0,77755.0
390,ELWOOD,206051129.0,56211.0,60163.0,62655.0,65094.0,67563.0,74196.0,77845.0,78251.0,81065.0,82347.0,85843.0,86143.0,88876.0,92171.0
391,ELSTERNWICK,208021179.0,53727.0,57435.0,60540.0,61868.0,64472.0,71716.0,75791.0,77546.0,83299.0,84113.0,85428.0,89585.0,90346.0,91653.0
394,BRIGHTON,208011169.0,87854.0,97619.0,92762.0,97052.0,101776.0,113694.0,116749.0,118592.0,126031.0,126939.0,128527.0,128678.0,136482.0,137864.0
398,BRIGHTON EAST,208011170.0,59584.0,64385.0,63697.0,67061.0,70118.0,75248.0,80894.0,82818.0,85995.0,90497.0,92593.0,95730.0,100390.0,102102.0
400,HAMPTON,208011172.0,58626.0,63271.0,63557.0,68632.0,70728.0,79817.0,81481.0,84517.0,88632.0,91060.0,94258.0,95772.0,100880.0,103087.0
408,CHELTENHAM,208031188.0,40197.0,43139.0,44193.0,46283.0,47179.0,49734.0,51900.0,54121.0,56079.0,57620.0,59713.0,62833.0,64774.0,66835.0
412,BEAUMARIS,208011168.0,60294.0,63561.0,62090.0,65854.0,67848.0,74735.0,77676.0,80358.0,84379.0,87199.0,89193.0,90674.0,92062.0,95080.0
416,MENTONE,208031190.0,44320.0,46799.0,46952.0,49730.0,51038.0,55353.0,57505.0,59735.0,61707.0,63452.0,65598.0,66945.0,68079.0,72211.0
418,ASPENDALE,208031189.0,39934.0,42525.0,44422.0,46971.0,48701.0,54433.0,56328.0,58121.0,61504.0,63263.0,65331.0,67797.0,71182.0,74348.0
421,MORDIALLOC,208031193.0,41863.0,44783.0,46673.0,48948.0,51061.0,56333.0,58286.0,61092.0,63310.0,65706.0,68029.0,69800.0,73482.0,75133.0
423,PARKDALE,208031193.0,41863.0,44783.0,46673.0,48948.0,51061.0,56333.0,58286.0,61092.0,63310.0,65706.0,68029.0,69800.0,73482.0,75133.0
426,CHELSEA,208031186.0,37593.0,39774.0,41653.0,44563.0,45761.0,49784.0,51686.0,53625.0,54938.0,57138.0,59615.0,61711.0,65349.0,66780.0
429,CARRUM,208031185.0,44994.0,47721.0,48615.0,51438.0,52566.0,58059.0,59292.0,60892.0,60312.0,63178.0,64371.0,65850.0,68945.0,70124.0
432,SEAFORD,214011375.0,34905.0,36216.0,37527.0,39656.0,40971.0,43870.0,45821.0,47199.0,49147.0,51114.0,52799.0,54633.0,56528.0,58360.0
433,FRANKSTON,214011371.0,36278.0,38056.0,38373.0,40460.0,41748.0,43231.0,44700.0,45871.0,47278.0,48821.0,50154.0,51374.0,53259.0,55331.0
441,CARRUM DOWNS,214011370.0,35303.0,36495.0,38106.0,39672.0,40512.0,44115.0,45512.0,47380.0,47867.0,49477.0,50904.0,52676.0,54305.0,56480.0
443,BENTLEIGH,208021174.0,45563.0,48100.0,49566.0,51739.0,53734.0,59589.0,61828.0,66383.0,68627.0,69346.0,70899.0,72884.0,74073.0,77352.0
447,SOUTH MELBOURNE,206051132.0,61242.0,67480.0,65682.0,70876.0,71064.0,82798.0,88106.0,87449.0,87266.0,89607.0,93443.0,91651.0,94718.0,94237.0
449,ALBERT PARK,206051128.0,76832.0,83996.0,80569.0,88033.0,91871.0,101191.0,105550.0,107915.0,112261.0,111338.0,115049.0,115981.0,117352.0,120412.0
450,MIDDLE PARK,206051128.0,76832.0,83996.0,80569.0,88033.0,91871.0,101191.0,105550.0,107915.0,112261.0,111338.0,115049.0,115981.0,117352.0,120412.0
452,PORT MELBOURNE,206051131.0,71994.0,66438.0,73262.0,73366.0,78334.0,90766.0,86036.0,95756.0,83268.0,132566.0,224340.0,116157.0,87256.0,70348.0
455,LARA,203021043.0,39809.0,42023.0,42704.0,45128.0,46843.0,50714.0,53609.0,55388.0,55624.0,56586.0,57985.0,60326.0,62036.0,63783.0
461,CORIO,203021038.0,33060.0,34270.0,35343.0,36996.0,37816.0,40029.0,41552.0,42902.0,44191.0,44757.0,45572.0,46401.0,47323.0,48364.0
469,NORTH GEELONG,203021047.0,36676.0,37894.0,38240.0,40671.0,42836.0,45835.0,47804.0,48746.0,50618.0,52090.0,53699.0,55081.0,56636.0,59181.0
471,BELMONT,203021037.0,37424.0,39412.0,39614.0,42418.0,43877.0,44663.0,46221.0,48340.0,49792.0,49872.0,50759.0,51750.0,53674.0,56271.0
473,GROVEDALE,203021041.0,37423.0,39414.0,39614.0,42415.0,43877.0,44258.0,46767.0,48517.0,49425.0,50590.0,51567.0,53685.0,55567.0,57797.0
484,GEELONG WEST,203021040.0,37623.0,39295.0,40048.0,42796.0,44381.0,48254.0,51040.0,53671.0,54610.0,56556.0,58308.0,60422.0,63102.0,65809.0
485,HERNE HILL,203021040.0,37623.0,39295.0,40048.0,42796.0,44381.0,48254.0,51040.0,53671.0,54610.0,56556.0,58308.0,60422.0,63102.0,65809.0
496,GEELONG,203021039.0,41839.0,44247.0,44621.0,47591.0,48528.0,53269.0,55308.0,56807.0,58455.0,61519.0,61780.0,63406.0,64680.0,67478.0
497,NEWTOWN,203021046.0,48623.0,51972.0,51750.0,55117.0,56512.0,65621.0,69703.0,69854.0,73628.0,76709.0,77266.0,79885.0,83648.0,85349.0
521,BARWON HEADS,203031050.0,38085.0,40751.0,40756.0,43450.0,45409.0,50642.0,52785.0,54335.0,56976.0,58667.0,60270.0,62732.0,64215.0,66856.0
527,TORQUAY,203031053.0,39889.0,42580.0,43070.0,46598.0,48553.0,53894.0,56781.0,57901.0,61020.0,63363.0,64149.0,64721.0,68034.0,71515.0
568,HAMILTON,217011421.0,34332.0,35529.0,36282.0,39010.0,37900.0,43067.0,45139.0,44957.0,45075.0,47235.0,47314.0,48303.0,49549.0,52803.0
610,PORTLAND,217011422.0,37654.0,39296.0,40932.0,42195.0,42034.0,46398.0,49852.0,50494.0,52280.0,53675.0,53527.0,54003.0,55632.0,57119.0
706,MELTON,213041356.0,36927.0,38013.0,39385.0,41379.0,42127.0,44542.0,46372.0,47027.0,47849.0,48924.0,49934.0,50733.0,51938.0,53740.0
743,ALFREDTON,201011001.0,36768.0,38604.0,39326.0,42024.0,43672.0,49967.0,51670.0,52993.0,54625.0,56374.0,57747.0,60026.0,62315.0,63668.0
858,WENDOUREE,201011008.0,33373.0,34704.0,35914.0,36989.0,38227.0,39939.0,41696.0,43593.0,44267.0,45558.0,47310.0,47545.0,49104.0,50404.0
860,DELACOMBE,201011006.0,31588.0,32640.0,34074.0,35549.0,36101.0,40802.0,43298.0,45581.0,46312.0,48356.0,49260.0,50741.0,52199.0,54845.0
861,SEBASTOPOL,201011004.0,35005.0,36484.0,37339.0,39713.0,40968.0,40180.0,41918.0,43625.0,44722.0,45473.0,46143.0,47676.0,49041.0,50778.0
862,BUNINYONG,201011005.0,38861.0,39919.0,40464.0,43132.0,45539.0,51017.0,53538.0,55675.0,56765.0,58011.0,58292.0,60009.0,61565.0,63258.0
1041,HORSHAM,215011388.0,33380.0,33923.0,36997.0,37647.0,37617.0,42487.0,44525.0,46660.0,48541.0,48234.0,48270.0,50607.0,52518.0,54821.0
1127,SUNBURY,210041241.0,39764.0,41396.0,42346.0,44880.0,46021.0,49363.0,51694.0,53352.0,54450.0,55400.0,57266.0,57771.0,60086.0,62355.0
1185,CASTLEMAINE,202021027.0,32230.0,34680.0,33881.0,35458.0,36760.0,40507.0,42126.0,43743.0,44849.0,45496.0,46478.0,48000.0,50841.0,52122.0
1574,BENDIGO,202011018.0,35593.0,37050.0,37155.0,39934.0,41646.0,44658.0,48021.0,49764.0,50960.0,52505.0,54347.0,55161.0,56944.0,59825.0
1578,FLORA HILL,202011021.0,35592.0,37051.0,37158.0,39934.0,41649.0,44607.0,47467.0,49304.0,49064.0,51326.0,52722.0,53538.0,54870.0,57804.0
1582,NORTH BENDIGO,202011018.0,35593.0,37050.0,37155.0,39934.0,41646.0,44658.0,48021.0,49764.0,50960.0,52505.0,54347.0,55161.0,56944.0,59825.0
1630,GOLDEN SQUARE,202011022.0,31737.0,33073.0,33553.0,35340.0,36355.0,39900.0,41968.0,43556.0,44458.0,46420.0,47181.0,48010.0,49833.0,51787.0
