,Suburb,SA2_code,2005_income,2006_income,2007_income,2008_income,2009_income,2010_income,2011_income,2012_income,2013_income,2014_income,2015_income,2016_income,2017_income,2018_income
1,EAST MELBOURNE,206041119.0,80524.0,87975.0,79947.0,90831.0,95349.0,105396.0,107768.0,104960.0,116888.0,114762.0,122960.0,124057.0,128069.0,132130.0
6,SOUTHBANK,206051132.0,61242.0,67480.0,65682.0,70876.0,71064.0,82798.0,88106.0,87449.0,87266.0,89607.0,93443.0,91651.0,94718.0,94237.0
7,DOCKLANDS,206041118.0,56900.0,62884.0,64625.0,64491.0,64633.0,69732.0,73182.0,71884.0,72349.0,72972.0,74153.0,68978.0,69260.0,71476.0
9,FOOTSCRAY,213031348.0,36482.0,37360.0,38467.0,41170.0,42943.0,42600.0,45491.0,46902.0,48180.0,49954.0,50887.0,52664.0,55519.0,57701.0
10,SEDDON,213031350.0,36635.0,38005.0,39443.0,42187.0,43745.0,57518.0,59896.0,61714.0,63637.0,65726.0,68694.0,71878.0,75083.0,78218.0
17,WEST FOOTSCRAY,213031351.0,36457.0,38579.0,40523.0,43189.0,44327.0,46517.0,48643.0,51242.0,52318.0,53792.0,55182.0,57404.0,59885.0,62995.0
18,YARRAVILLE,213031352.0,44732.0,47113.0,50175.0,53475.0,55554.0,60265.0,63528.0,66799.0,68348.0,70906.0,73604.0,76250.0,79585.0,83130.0
20,NEWPORT,213021344.0,45235.0,48260.0,48942.0,54284.0,55668.0,60778.0,64056.0,66402.0,69088.0,72132.0,75204.0,76882.0,80219.0,83403.0
22,SPOTSWOOD,213021344.0,45235.0,48260.0,48942.0,54284.0,55668.0,60778.0,64056.0,66402.0,69088.0,72132.0,75204.0,76882.0,80219.0,83403.0
23,WILLIAMSTOWN,213021346.0,54985.0,58481.0,58068.0,62356.0,64547.0,71487.0,74167.0,77761.0,79946.0,82819.0,85094.0,87460.0,90668.0,94350.0
25,ALTONA,213021341.0,40353.0,42867.0,42517.0,45150.0,46560.0,51245.0,53651.0,56677.0,58832.0,60523.0,63487.0,65344.0,69301.0,71989.0
32,SUNSHINE,213011336.0,32520.0,33742.0,34635.0,36434.0,36554.0,39412.0,41244.0,42997.0,43701.0,44873.0,45577.0,46975.0,48530.0,50119.0
38,ST ALBANS,213011334.0,32102.0,33087.0,34031.0,35538.0,35565.0,36741.0,38432.0,39255.0,40024.0,40164.0,41248.0,41719.0,42113.0,43682.0
42,DEER PARK,213011330.0,38761.0,40575.0,42196.0,44570.0,45481.0,43733.0,45927.0,47451.0,48190.0,48829.0,50358.0,50950.0,52634.0,53966.0
59,HOPPERS CROSSING,213051361.0,38964.0,40334.0,41764.0,43570.0,44029.0,47326.0,49067.0,50554.0,51032.0,51837.0,52778.0,53595.0,55029.0,56365.0
65,WERRIBEE,213051368.0,40974.0,43286.0,44618.0,47005.0,48141.0,48916.0,50479.0,51657.0,53289.0,55336.0,56628.0,59566.0,61353.0,63382.0
67,FLEMINGTON,206031115.0,45445.0,48254.0,50072.0,52727.0,54027.0,53202.0,56232.0,57459.0,58532.0,60336.0,60826.0,61354.0,64204.0,67156.0
68,KENSINGTON,206041121.0,45569.0,48483.0,50314.0,53008.0,54147.0,63012.0,65024.0,67157.0,67891.0,69149.0,71707.0,73885.0,77638.0,81061.0
69,ASCOT VALE,206031113.0,44879.0,47196.0,48951.0,51455.0,53536.0,61537.0,64141.0,66592.0,70171.0,71349.0,74690.0,76378.0,77927.0,80680.0
73,KEILOR EAST,210011228.0,43328.0,44897.0,45912.0,49067.0,51194.0,54735.0,56480.0,58509.0,60503.0,61573.0,63481.0,65532.0,66759.0,68758.0
74,AVONDALE HEIGHTS,210011229.0,37754.0,39801.0,40647.0,43648.0,44572.0,48456.0,51527.0,53187.0,55045.0,56196.0,58596.0,60289.0,62902.0,64732.0
75,KEILOR,210011228.0,43328.0,44897.0,45912.0,49067.0,51194.0,54735.0,56480.0,58509.0,60503.0,61573.0,63481.0,65532.0,66759.0,68758.0
81,SYDENHAM,213011339.0,37955.0,39210.0,40686.0,42563.0,44164.0,44960.0,47182.0,48485.0,48842.0,49907.0,50975.0,52299.0,53949.0,55512.0
87,MOONEE PONDS,206031116.0,49472.0,52983.0,55038.0,58573.0,59861.0,65275.0,68691.0,71215.0,72264.0,74951.0,77508.0,78083.0,80195.0,81817.0
89,ESSENDON,206031114.0,48832.0,51681.0,53282.0,56151.0,58967.0,65736.0,68576.0,71609.0,71885.0,74175.0,75208.0,77349.0,80759.0,82310.0
98,GLADSTONE PARK,210051245.0,37521.0,38778.0,40165.0,42765.0,43915.0,45742.0,47943.0,49342.0,50380.0,51625.0,52529.0,54159.0,55799.0,58060.0
99,TULLAMARINE,210051250.0,37013.0,38283.0,39472.0,41764.0,42824.0,45258.0,47699.0,48539.0,48879.0,50120.0,52443.0,53305.0,55024.0,57393.0
100,PASCOE VALE,210031239.0,38524.0,40825.0,41884.0,44342.0,45741.0,50626.0,52898.0,55157.0,56207.0,57658.0,60036.0,61327.0,64174.0,66617.0
101,PASCOE VALE SOUTH,206011109.0,39756.0,42352.0,43388.0,46033.0,47627.0,52991.0,56047.0,58224.0,59553.0,62311.0,64988.0,66374.0,68803.0,72770.0
103,OAK PARK,210031239.0,38524.0,40825.0,41884.0,44342.0,45741.0,50626.0,52898.0,55157.0,56207.0,57658.0,60036.0,61327.0,64174.0,66617.0
104,BROADMEADOWS,210051242.0,30425.0,30414.0,31557.0,32975.0,33243.0,35336.0,36815.0,38096.0,39141.0,39139.0,39778.0,39929.0,41320.0,42128.0
113,NORTH MELBOURNE,206041123.0,43585.0,45320.0,47056.0,50320.0,51960.0,54967.0,56228.0,57669.0,59378.0,60656.0,62713.0,62117.0,65142.0,66723.0
115,PARKVILLE,206041124.0,52708.0,54333.0,51256.0,53899.0,56616.0,64303.0,63964.0,69002.0,66053.0,67371.0,69759.0,67230.0,66765.0,72420.0
116,CARLTON,206041117.0,41363.0,43551.0,42956.0,46255.0,46594.0,50158.0,52772.0,55741.0,58137.0,57510.0,57023.0,56237.0,57176.0,59791.0
118,CARLTON NORTH,206071140.0,53352.0,58034.0,55585.0,58552.0,60978.0,67919.0,71065.0,73098.0,76703.0,80015.0,79372.0,80741.0,82747.0,88807.0
124,BRUNSWICK,206011105.0,39847.0,41837.0,43541.0,46842.0,48107.0,52100.0,55600.0,57142.0,57814.0,60483.0,62220.0,63199.0,66873.0,68893.0
131,COBURG,206011108.0,37704.0,39522.0,41133.0,43715.0,44709.0,49437.0,52155.0,54078.0,55109.0,57617.0,59523.0,61246.0,63488.0,66384.0
132,COBURG NORTH,210031236.0,37710.0,39528.0,41143.0,43720.0,44720.0,45005.0,47111.0,49785.0,51114.0,53727.0,55706.0,57651.0,59756.0,62422.0
136,FAWKNER,210031237.0,31942.0,33193.0,33931.0,36180.0,37180.0,39767.0,41445.0,43156.0,44046.0,44824.0,46888.0,47835.0,49407.0,50646.0
143,ROXBURGH PARK,210051249.0,36890.0,38101.0,39272.0,41234.0,42100.0,40968.0,42678.0,44638.0,44762.0,45638.0,46364.0,47044.0,48045.0,49418.0
144,FITZROY,206071142.0,49069.0,53575.0,53384.0,57904.0,58172.0,62772.0,66487.0,70405.0,72296.0,72607.0,76425.0,80755.0,83189.0,86036.0
145,COLLINGWOOD,206071141.0,43297.0,45341.0,47256.0,51058.0,53727.0,57944.0,61109.0,62028.0,64475.0,64144.0,67310.0,69726.0,73036.0,77705.0
147,ABBOTSFORD,206071139.0,45910.0,50173.0,50188.0,53880.0,55691.0,59621.0,63043.0,65938.0,63884.0,65878.0,69588.0,72002.0,75384.0,78181.0
