SA2_name,Mar 2021 Median,% rental price Growth in 5 years,% income Growth in 5 years,% population Growth in 5 years,num_property
Abbotsford,450.0,-0.0049732215596678,0.1233857258141052,-0.1043126232688383,35
Albert Park,500.0,0.077725958900273,0.0226879718367343,0.0776821841213593,17
Alfredton,350.0,0.0702529869227498,0.0939466736888165,0.4924082851188386,17
Alphington - Fairfield,410.0,0.0632162577606475,0.1028464080878018,0.013429329973669999,38
Altona,400.0,0.0410275902770141,0.2029849328628515,0.0586155109147345,37
Armadale,450.0,-0.048451584168759,0.0447416156864932,0.0697267714079708,28
Ascot Vale,410.0,0.0088295026264361,0.1045064077936617,0.024693881995469,46
Ashburton (Vic.),450.0,0.0570145365230586,0.1180335545615783,0.0302931832265409,12
Ashwood - Chadstone,445.0,0.0322609075251515,0.0962214710425372,0.1036385575671079,18
Bairnsdale,320.0,0.0728544060315592,0.0583375740221747,0.1047680159291002,4
Ballarat - South,320.0,0.057713132667491,0.1009175216363943,0.0442240963838873,9
Balwyn,550.0,0.0351944779743829,0.0074151481654692,0.0381430070091221,29
Bayswater,390.0,0.0476066378456106,0.0694494480593644,0.0543518202691585,5
Beaumaris,585.0,0.0062760531212222,0.0713101930552211,0.0632628938487221,10
Belmont,395.0,0.0682749831179126,0.0826257394623436,0.0329289061592186,22
Benalla,320.0,0.1662646132511884,0.0701805388671671,0.0141013309396222,30
Bendigo,336.6666666666667,0.06424360624990683,0.1124615219173391,-0.0037597083147866664,94
Bentleigh - McKinnon,490.0,0.0654498245099049,0.0892743067618006,0.0833820995069958,38
Berwick - North,400.0,0.0179779981995318,0.0553790317544961,0.0089855896723764,44
Blackburn,420.0,0.0117163298557286,0.0827737693845983,0.036029148089544,23
Box Hill,400.0,0.1131719143277696,0.0088187293151741,0.2528067935597015,74
Brighton (Vic.),670.0,0.0229357238858766,0.0590127406093346,-0.0097857492217151,81
Brighton East,695.0,0.0335889525168658,0.1378538139579753,0.0257704754504694,39
Broadmeadows,370.0,0.0110984240119398,0.0550207973391168,-0.0210431472318878,16
Brunswick,450.0,0.0576219492972877,0.1113414606009269,0.0764524302724466,104
Bulleen,480.0,0.0373655723939524,0.0667120891629628,0.0028319475175148,21
Bundoora - West,400.0,0.009224344698962,0.0425102626485433,-0.0011620902119915,55
Buninyong,350.0,0.0342200855950552,0.0388470736581923,0.0560914830107201,2
Burwood,450.0,0.0570145365230586,0.0300978223031591,0.062972574349795,59
Burwood East,450.0,0.0558924050723591,0.0558265502049133,0.0157544803974451,21
Camberwell,480.0,0.0298066102564628,0.0306048585651416,-0.0609579744776494,60
Carlton,350.0,0.1730444015414974,0.0128609002807706,0.0422771665846474,123
Carlton North - Princes Hill,580.0,0.0716162577190251,0.1036332327749763,0.0065236772233886,41
Carnegie,410.0,0.054965150045738,0.0735860871127807,0.0927646568921374,49
Carrum - Patterson Lakes,450.0,0.090900376581193,0.0861517707957672,0.0339134222070978,8
