index,numSchool_3km,numHospital_1km,numStation_1km,numShopping_3km,numFacility_3km,cbd_route,facility_route,hospital_route,shopping_route,station_route,school_route
0,33.0,0.0,2.0,1.0,58.0,25557.6,522.3,15439.5,2675.1,1610.0,886.4
1,12.0,1.0,2.0,1.0,21.0,21010.4,1110.9,2431.0,15528.4,1116.9,1070.1
2,6.0,1.0,0.0,0.0,20.0,206417.3,1064.3,2040.9,145682.7,188525.6,374.5
3,6.0,1.0,0.0,0.0,21.0,206368.5,1525.0,2133.9,142933.5,188476.8,1182.0
4,30.0,0.0,1.0,1.0,55.0,23930.3,306.2,15124.9,3035.2,2356.1,3872.8
5,63.0,4.0,3.0,9.0,86.0,10366.3,927.1,1228.9,621.1,701.7,1886.1
6,49.0,1.0,4.0,5.0,80.0,6040.6,535.5,2060.1,1340.5,1358.6,568.2
7,35.0,1.0,0.0,5.0,60.0,13174.8,2687.0,2878.8,1731.1,12863.3,2078.8
8,15.0,0.0,0.0,0.0,42.0,113452.3,1474.3,114014.9,113741.9,113270.4,955.5
9,5.0,1.0,0.0,0.0,11.0,200302.5,943.3,2595.9,180519.8,188629.3,568.8
10,22.0,2.0,0.0,3.0,57.0,152784.7,526.4,1994.8,1391.3,122788.5,1140.0
11,20.0,0.0,0.0,3.0,57.0,151968.1,639.3,107812.1,1565.5,121971.9,1048.0
12,36.0,0.0,2.0,4.0,58.0,19580.8,1275.2,13679.7,1939.6,1598.9,1348.3
13,20.0,0.0,0.0,0.0,52.0,114096.7,774.9,115986.1,113645.9,113785.2,159.0
14,40.0,3.0,3.0,6.0,45.0,21593.5,399.5,1473.4,1301.1,936.4,848.2
15,41.0,3.0,3.0,4.0,43.0,20503.6,1003.4,1237.8,1065.5,1319.2,1416.5
16,57.0,1.0,4.0,3.0,86.0,5370.1,953.9,854.0,1414.3,1336.8,463.8
17,56.0,1.0,3.0,2.0,86.0,7771.1,543.5,2133.4,2650.5,2106.8,431.8
18,59.0,2.0,4.0,2.0,86.0,7456.6,395.1,2337.4,2965.1,1776.9,334.2
19,40.0,0.0,0.0,3.0,65.0,15046.8,1158.5,13460.2,11444.9,16940.3,705.4
20,43.0,1.0,0.0,5.0,55.0,20802.9,1169.4,1248.1467087067188,636.8,12507.1,1107.7
21,62.0,11.0,1.0,24.0,79.0,2471.4,328.7,1269.8,2485.0,2765.9,1182.0
22,60.0,17.0,6.0,23.0,65.0,1026.5,1018.2,1645.0,907.4,797.9,1214.9
23,45.0,0.0,5.0,5.0,77.0,16278.4,853.2,12709.6,1985.7,771.9,1096.7
24,43.0,0.0,3.0,5.0,70.0,17282.0,257.5,13335.9,2474.2,1451.9,395.5
25,55.0,3.0,2.0,4.0,80.0,12222.2,1342.4,1603.8,1075.6,1011.8,179.6
26,51.0,2.0,3.0,4.0,77.0,12736.8,1340.8,1943.0,1397.9,1108.9,933.5
27,49.0,5.0,3.0,3.0,73.0,13674.8,322.5,1774.4,2739.5,1179.5,588.6
28,31.0,2.0,2.0,4.0,47.0,22227.9,1085.3,1690.7,12091.4,2077.7,550.9
29,25.0,2.0,2.0,1.0,38.0,26072.5,559.5,2828.5,2821.9,623.5,2068.3
30,2.0,1.0,0.0,0.0,5.0,344469.9,282.2,287.8,131544.7,305660.3,934.4
31,2.0,1.0,0.0,0.0,5.0,344469.9,282.2,287.8,131544.7,305660.3,934.4
32,25.0,3.0,0.0,3.0,40.0,34469.6,1251.8,2050.3,1666.9,18565.0,2004.3
33,24.0,3.0,2.0,3.0,39.0,34534.1,1006.8,1168.0,947.8,1604.4,1382.9
34,28.0,4.0,2.0,3.0,32.0,33518.8,852.1,1976.8,2169.3,2706.5,123.7
35,26.0,3.0,0.0,3.0,43.0,33121.9,880.0,1259.7,1870.1,17062.9,1335.3
36,26.0,3.0,2.0,3.0,38.0,34589.6,1062.3,1914.5,1525.0,2002.7,1438.3
37,24.0,3.0,1.0,3.0,38.0,33900.4,374.4,965.3,695.9,1832.0,631.4
38,23.0,3.0,0.0,2.0,36.0,30929.8,2638.6,1940.5,13091.4,12000.8,561.6
39,26.0,3.0,2.0,3.0,33.0,33772.6,666.8,2217.5,1828.0,2696.1,377.5
40,26.0,3.0,0.0,3.0,43.0,33121.9,880.0,1259.7,1870.1,17062.9,1335.3
41,18.0,0.0,0.0,2.0,47.0,25420.1,413.2,10867.9,11272.7,17590.0,573.9
42,25.0,0.0,0.0,3.0,50.0,27242.3,3799.6,12617.1,4735.1,14159.5,2882.8
43,8.0,1.0,0.0,0.0,10.0,212165.3,488.9,2229.9,168682.8,194798.5,102.2
44,44.0,5.0,4.0,3.0,56.0,10037.7,303.3,1108.9,126163.0,401.8,648.9
45,41.0,3.0,3.0,4.0,56.0,8850.8,1523.7,1918.2,1991.9,695.8,911.9
46,37.0,3.0,3.0,1.0,51.0,9973.3,688.8,2036.8,2331.0,1972.9,940.2
47,44.0,0.0,4.0,3.0,80.0,10172.7,1434.9,13344.4,2821.3,814.2,1153.1
48,38.0,1.0,1.0,8.0,65.0,10502.3,233.2,2907.8,1721.1,2597.8,288.0
49,20.0,0.0,0.0,3.0,38.0,39111.7,451.5,12147.3,12232.5,17171.5,1101.1
50,53.0,2.0,5.0,3.0,70.0,8581.0,968.6,2198.1,2915.0,267.8,560.8
51,52.0,2.0,5.0,3.0,71.0,8499.9,807.0,2420.4,2753.3,210.4,399.2
52,41.0,7.0,3.0,8.0,71.0,8648.6,260.9,838.5,2654.4,2247.6,576.5
53,40.0,7.0,3.0,8.0,73.0,8634.1,275.4,824.0,2668.9,2233.1,562.0
54,39.0,7.0,3.0,8.0,70.0,8432.2,318.4,496.8,2075.8,1955.8,361.3
55,2.0,1.0,0.0,0.0,4.0,173012.6,583.9,681.5,122113.8,128808.0,967.6
