,STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,ROUTEUSSP,geometry,Fin_year,Pax_annual
0,19970,Royal Park Railway Station (Parkville),-37.781193,144.952301,Upfield,POINT (144.95230116 -37.7811929699999),FY20-21,117850
1,19971,Flemington Bridge Railway Station (North Melbourne),-37.78814,144.939323,Upfield,POINT (144.93932316 -37.78813998),FY20-21,94250
2,19972,Macaulay Railway Station (North Melbourne),-37.794267,144.936166,Upfield,POINT (144.93616596 -37.794267),FY20-21,101750
3,19973,North Melbourne Railway Station (West Melbourne),-37.807419,144.94257,"Flemington,Sunbury,Upfield,Werribee,Williamstown,Craigieburn",POINT (144.94257 -37.80741897),FY20-21,669700
4,19974,Clifton Hill Railway Station (Clifton Hill),-37.788657,144.995417,"Mernda,Hurstbridge",POINT (144.99541692 -37.78865703),FY20-21,347000
5,19975,Victoria Park Railway Station (Abbotsford),-37.799158,144.994451,"Mernda,Hurstbridge",POINT (144.99445104 -37.79915796),FY20-21,277400
6,19976,Collingwood Railway Station (Abbotsford),-37.804526,144.99375,"Mernda,Hurstbridge",POINT (144.99375012 -37.804526010000004),FY20-21,221100
7,19977,North Richmond Railway Station (Richmond),-37.810398,144.9925,"Mernda,Hurstbridge",POINT (144.99249984 -37.81039797),FY20-21,339950
8,19978,West Richmond Railway Station (Richmond),-37.814949,144.991423,"Mernda,Hurstbridge",POINT (144.99142308 -37.814949),FY20-21,265250
9,19979,Jolimont-MCG Railway Station (East Melbourne),-37.816527,144.984098,"Mernda,Hurstbridge",POINT (144.98409816 -37.81652697),FY20-21,358650
10,19983,Macleod Railway Station (Macleod),-37.726012,145.069143,Hurstbridge,POINT (145.06914312 -37.72601199),FY20-21,204450
11,19984,Watsonia Railway Station (Watsonia),-37.710958,145.083793,Hurstbridge,POINT (145.08379296 -37.71095796),FY20-21,242150
12,19985,Greensborough Railway Station (Greensborough),-37.703954,145.108247,Hurstbridge,POINT (145.10824704 -37.70395398),FY20-21,254900
13,19986,Montmorency Railway Station (Montmorency),-37.715296,145.121516,Hurstbridge,POINT (145.12151592 -37.71529596),FY20-21,103450
14,19987,Eltham Railway Station (Eltham),-37.71355,145.147822,Hurstbridge,POINT (145.14782184 -37.71354996),FY20-21,206900
15,19988,Diamond Creek Railway Station (Diamond Creek),-37.673297,145.158506,Hurstbridge,POINT (145.15850592 -37.67329701),FY20-21,72850
16,19989,Wattle Glen Railway Station (Wattle Glen),-37.663968,145.181615,Hurstbridge,POINT (145.18161504 -37.66396797),FY20-21,16600
17,19990,Hurstbridge Railway Station (Hurstbridge),-37.639398,145.192017,Hurstbridge,POINT (145.19201688 -37.63939797),FY20-21,50350
18,19991,Williamstown Railway Station (Williamstown),-37.867753,144.905323,Williamstown,POINT (144.90532296 -37.86775299),FY20-21,64100
19,19992,Williamstown Beach Railway Station (Williamstown),-37.863982,144.894484,Williamstown,POINT (144.89448408 -37.86398199),FY20-21,78150
20,19993,North Williamstown Railway Station (Williamstown),-37.857333,144.889069,Williamstown,POINT (144.88906896 -37.85733297),FY20-21,125500
21,19994,Newport Railway Station (Newport),-37.842718,144.8836,"Williamstown,Werribee",POINT (144.88359984 -37.84271796),FY20-21,497600
22,19995,Spotswood Railway Station (Spotswood),-37.830639,144.885933,"Williamstown,Werribee",POINT (144.885933 -37.83063897),FY20-21,122500
23,19996,Yarraville Railway Station (Yarraville),-37.81585,144.889934,"Williamstown,Werribee",POINT (144.88993404 -37.81584999),FY20-21,368300
