,SA2,2005_income,2006_income,2007_income,2008_income,2009_income,2010_income,2011_income,2012_income,2013_income,2014_income,2015_income,2016_income,2017_income,2018_income
536,201011001,36768,38604,39326,42024,43672,49967,51670,52993,54625,56374,57747,60026,62315,63668
537,201011002,36495,38269,38960,41616,43323,57063,61177,63669,65507,67217,72754,71895,74671,77876
538,201011003,36910,38758,39424,42222,43918,46159,48947,50872,52024,53017,54660,56067,59786,60367
539,201011004,35005,36484,37339,39713,40968,40180,41918,43625,44722,45473,46143,47676,49041,50778
540,201011005,38861,39919,40464,43132,45539,51017,53538,55675,56765,58011,58292,60009,61565,63258
541,201011006,31588,32640,34074,35549,36101,40802,43298,45581,46312,48356,49260,50741,52199,54845
542,201011007,31262,32787,35425,36688,36384,44262,45270,47339,49268,50299,52010,54314,56172,59735
543,201011008,33373,34704,35914,36989,38227,39939,41696,43593,44267,45558,47310,47545,49104,50404
544,201021009,36401,36976,39087,40873,42980,47061,50218,51399,52574,54168,55485,57510,66628,61565
545,201021010,31552,33258,34646,38207,37011,40476,43597,44973,45298,45965,48087,50497,51504,52233
546,201021011,31163,32399,33303,35453,36977,41096,42418,43007,44634,45981,46610,49000,50440,52044
547,201021012,35038,36404,37776,39645,40338,44957,45825,48620,49888,52710,54516,56551,57960,60424
548,201031013,28481,29091,29975,30795,31530,32721,33238,34430,36570,39755,39128,41427,43798,46335
549,201031014,28914,29322,31996,32817,33782,36015,37839,37320,39510,41927,48944,45355,48542,49835
550,201031015,32036,33400,36292,36981,37014,39489,41814,43143,43803,45756,46709,48035,50394,52792
551,201031016,28545,29889,30363,31594,32034,36414,38101,39191,39450,40456,40883,42843,44231,45694
552,201031017,27249,28012,28360,28927,29186,33132,35649,36984,38189,38491,38558,40632,42490,44469
553,202011018,35593,37050,37155,39934,41646,44658,48021,49764,50960,52505,54347,55161,56944,59825
554,202011019,30099,31001,32101,34432,35405,37866,40336,41954,42756,43641,44850,45857,47779,49687
555,202011020,35592,37051,37161,39941,41649,47145,48835,51149,52387,54023,54515,55551,57894,60577
556,202011021,35592,37051,37158,39934,41649,44607,47467,49304,49064,51326,52722,53538,54870,57804
557,202011022,31737,33073,33553,35340,36355,39900,41968,43556,44458,46420,47181,48010,49833,51787
