,Facility ID,Pcode,Suburb/Town,Latitude,Longitude
94,ARARAT12891,3379.0,WICKLIFFE,-37.685497,142.722645
96,ARARAT12864,3377.0,ARARAT,-37.282005,142.93149
97,ARARAT5315,,ARARAT,-37.271082,142.94756
98,ARARAT5316,,ARARAT,-37.271082,142.94756
99,ARARAT5317,,ARARAT,-37.199867,142.88762
100,ARARAT5130,3377.0,ARARAT,-37.270736,142.941584
101,ARARAT5318,,ARARAT,-37.279115,142.91492
102,ARARAT5320,,ARARAT,-37.293243,142.93861
103,ARARAT11308,3377.0,ARARAT,-37.292104,142.935676
105,ARARAT12873,3377.0,ARARAT,-37.282422,142.95468
106,ARARAT12863,3377.0,ARARAT,-37.269793,142.909362
107,ARARAT12878,3469.0,ELMHURST,-37.186553,143.245971
108,ARARAT12883,3351.0,LAKE BOLAC,-37.715756,142.844007
109,ARARAT12888,3351.0,STREATHAM,-37.681405,143.05791
110,ARARAT12895,3379.0,WILLLAURA,-37.578737,142.752396
112,ARARAT12874,3377.0,ARARAT,-37.276349,142.958473
113,ARARAT12866,3377.0,ARARAT,-37.281886,142.93024
114,ARARAT12870,3377.0,ARARAT,-37.279948,142.933877
116,ARARAT12880,3351.0,LAKE BOLAC,-37.720296,142.842156
117,ARARAT12892,3379.0,WILLLAURA,-37.546223,142.744596
118,ARARAT11261,,ARARAT ,-37.277696,142.993778
125,ARARAT11173,,ARARAT,-37.273998,142.950067
128,ARARAT12867,3377.0,ARARAT,-37.28075,142.928877
129,ARARAT12881,3351.0,LAKE BOLAC,-37.719091,142.840212
130,ARARAT12893,3379.0,WILLLAURA,-37.546062,142.745701
132,ARARAT12869,3377.0,ARARAT,-37.277621,142.928738
134,ARARAT12877,3377.0,CATHCART,-37.295351,142.878367
143,ARARAT12890,3377.0,WARRAK,-37.255213,143.139315
146,BALLAR12511,3350.0,REDAN,-37.580091,143.834217
151,BALLAR12497,3350.0,BALLARAT,-37.557818,143.863653
152,BALLAR12461,3350.0,BALLARAT,-37.573219,143.835744
153,BALLAR12462,3350.0,MOUNT CLEAR,-37.602661,143.867711
154,BALLAR12538,3355.0,WENDOUREE,-37.541994,143.839993
155,BALLAR5487,3355.0,WENDOUREE,-37.54018,143.826133
156,BALLAR12491,3355.0,WENDOUREE,-37.54018,143.826133
157,BALLAR12492,3352.0,MAGPIE,-37.63028,143.836995
158,BALLAR12493,3350.0,SEBASTOPOL,-37.587151,143.840496
159,BALLAR12494,3355.0,WENDOUREE,-37.540176,143.826312
160,BALLAR12501,3350.0,BALLARAT,-37.559542,143.858644
161,BALLAR12516,3350.0,BALLARAT NORTH,-37.542919,143.857592
162,BALLAR12517,3350.0,BALLARAT,-37.562484,143.859425
163,BALLAR12525,3350.0,BALLARAT NORTH,-37.542901,143.857062
164,BALLAR12527,3356.0,SEBASTOPOL,-37.589433,143.829566
165,BALLAR12530,3350.0,MOUNT HELEN,-37.625352,143.890766
166,BALLAR12519,3350.0,BALLARAT,-37.549886,143.817174
167,BALLAR12479,3350.0,BROWN HILL,-37.552298,143.896409
168,BALLAR12486,3355.0,WENDOUREE,-37.536707,143.842577
169,BALLAR12507,3350.0,BALLARAT,-37.569035,143.866226
170,BALLAR12533,3350.0,MOUNT HELEN,-37.625006,143.887907
171,BALLAR12460,3350.0,ALFREDTON,-37.555141,143.799882
172,BALLAR12467,3355.0,WENDOUREE,-37.534015,143.831061
173,BALLAR12472,3350.0,BALLARAT EAST,-37.559416,143.894588
174,BALLAR12473,3355.0,WENDOUREE,-37.519558,143.832447
175,BALLAR12484,3357.0,BUNINYONG,-37.648825,143.89068
177,BALLAR12489,3350.0,BALLARAT,-37.558181,143.837205
178,BALLAR12495,3356.0,DELACOMBE,-37.584168,143.816064
180,BALLAR12499,3350.0,BALLARAT,-37.539132,143.847834
181,BALLAR12505,3352.0,LEARMONTH,-37.421732,143.711951
182,BALLAR12509,3356.0,SEBASTOPOL,-37.604027,143.843462
183,BALLAR12512,3350.0,MOUNT CLEAR,-37.606279,143.874694
184,BALLAR12514,3350.0,MOUNT PLEASANT,-37.578352,143.850479
185,BALLAR12520,3350.0,BALLARAT EAST,-37.555753,143.883908
186,BALLAR12541,3350.0,BALLARAT,-37.565202,143.839485
187,BALLAR12542,3350.0,BALLARAT,-37.56872,143.856478
188,BALLAR12468,3355.0,WENDOUREE,-37.527544,143.841549
191,BALLAR12496,3350.0,BALLARAT EAST,-37.560242,143.892582
192,BALLAR12498,3350.0,BALLARAT,-37.56538,143.862489
193,BALLAR12543,3355.0,WENDOUREE,-37.52842,143.840921
194,BALLAR12537,3355.0,WENDOUREE,-37.535116,143.843576
195,BALLAR12508,3350.0,BALLARAT NORTH,-37.542845,143.857234
196,BALLAR12474,3350.0,BALLARAT EAST,-37.566583,143.868055
200,BALLAR5396,,BALLARAT,-37.5636,143.82102
201,BALLAR12535,3350.0,BALLARAT,-37.5636,143.82102
216,BALLAR12503,3353.0,INVERMAY,-37.523333,143.874412
222,BALLAR12524,3350.0,BALLARAT EAST,-37.57698,143.884745
226,BALLAR12540,3355.0,WENDOUREE WEST,-37.525042,143.81885
230,BALLAR12477,3350.0,BALLARAT,-37.565487,143.839918
232,BALLAR5429,,,-37.553135,143.874314
233,BALLAR5380,,BURRUMBEET,-37.469851,143.65724
234,BALLAR5382,,BURRUMBEET,-37.469851,143.65724
235,BALLAR5383,,LEARMONTH,-37.434522,143.74005
237,BALLAR5385,,MINERS REST,-37.478536,143.81972
240,BALLAR12532,3352.0,MOUNT ROWAN,-37.505685,143.845918
242,BALLAR5560,3350.0,BALLARAT,-37.546259,143.868684
245,BALLAR12463,3350.0,BALLARAT,-37.551132,143.818928
258,BALLAR12466,3350.0,BALLARAT,-37.550372,143.81141
259,BALLAR12483,3357.0,BUNINYONG,-37.649037,143.875501
260,BALLAR12510,3350.0,BALLARAT,-37.527874,143.856983
261,BALLAR12515,3350.0,BALLARAT,-37.562836,143.903691
265,BALLAR12523,3356.0,SEBASTOPOL,-37.593172,143.839209
266,BALLAR12464,3350.0,BALLARAT,-37.556997,143.863806
267,BALLAR12465,3350.0,BALLARAT,-37.572992,143.861682
268,BALLAR12469,3350.0,ALFREDTON,-37.554258,143.800463
269,BALLAR12470,3350.0,BALLARAT,-37.545093,143.858595
270,BALLAR12482,3357.0,BUNINYONG,-37.652787,143.885981
271,BALLAR12487,3355.0,WENDOUREE,-37.542495,143.835769
273,BALLAR12488,3350.0,BALLARAT,-37.5646,143.839889
275,BALLAR12490,3350.0,BALLARAT,-37.559138,143.837172
276,BALLAR12502,3353.0,INVERMAY,-37.522275,143.873281
277,BALLAR12504,3352.0,LEARMONTH,-37.42342,143.714907
280,BALLAR12522,3356.0,SEBASTOPOL,-37.60027,143.842116
282,BALLAR12534,3350.0,BALLARAT,-37.558452,143.882306
284,BALLAR12536,3355.0,WENDOUREE,-37.528303,143.840312
285,BALLAR11262,,BALLARAT,-37.631175,143.861506
293,BALLAR12506,3350.0,BALLARAT,-37.567872,143.866464
299,BALLAR11214,3355.0,WENDOUREE,-37.55549,143.838349
300,BALLAR11175,,MT ROWAN,-37.489447,143.860168
307,BALLAR12518,3350.0,REDAN,-37.571823,143.835887
309,BALLAR12521,3356.0,SEBASTOPOL,-37.591582,143.838186
310,BALLAR12528,3356.0,SEBASTOPOL,-37.602356,143.845182
311,BALLAR12529,3350.0,REDAN,-37.572108,143.837561
322,BALLAR12478,3350.0,BLACK HILL,-37.548972,143.87247
323,BALLAR12480,3350.0,BALLARAT,-37.553057,143.89671
324,BALLAR12485,3357.0,BUNINYONG,-37.650262,143.888
325,BALLAR12500,3350.0,BALLARAT,-37.564234,143.885261
326,BALLAR5488,3350.0,BALLARAT NORTH,-37.540936,143.859342
327,BALLAR5489,3356.0,SEBASTOPOL,-37.593049,143.838478
328,BALLAR12526,3355.0,WENDOUREE,-37.528395,143.841968
329,BALLAR12531,3350.0,MOUNT HELEN,-37.625507,143.890819
330,BALLAR12539,3355.0,WENDOUREE,-37.536656,143.841276
331,BALLAR12475,3355.0,WENDOUREE,-37.525797,143.841648
332,BALLAR5561,3355.0,LAKE GARDENS,-37.54015,143.818827
333,BALLAR12476,3350.0,BALLARAT NORTH,-37.542732,143.858164
336,BALLAR12471,3355.0,WENDOUREE,-37.526586,143.841483
338,BALLAR12481,3357.0,BUNINYONG,-37.649105,143.888593
343,BALLAR12513,3350.0,MOUNT HELEN,-37.633129,143.881491
345,BANYUL12798,3085.0,MACLEOD,-37.724356,145.070395
346,BANYUL2628,3083.0,BUNDOORA,-37.684267,145.071665
347,BANYUL12842,3081.0,WEST HEIDELBERG ,-37.738083,145.035075
348,BANYUL12855,3094.0,MONTMORENCY ,-37.710847,145.110006
349,BANYUL12794,3087.0,WATSONIA ,-37.704194,145.087592
350,BANYUL12795,3088.0,ST HELENA ,-37.691447,145.126294
351,BANYUL12800,3083.0,BUNDOORA ,-37.697332,145.080915
352,BANYUL12805,3079.0,IVANHOE ,-37.77672,145.049173
353,BANYUL12813,3084.0,ROSANNA,-37.746418,145.067919
354,BANYUL12814,3085.0,MACLEOD,-37.722727,145.070588
355,BANYUL12815,3087.0,WATSONIA ,-37.71493,145.090947
356,BANYUL12818,3081.0,WEST HEIDELBERG ,-37.754252,145.037293
357,BANYUL12822,3088.0,GREENSBOROUGH ,-37.700383,145.106353
358,BANYUL12824,3088.0,GREENSBOROUGH ,-37.706035,145.098228
359,BANYUL12825,3084.0,HEIDELBERG ,-37.753959,145.072988
360,BANYUL12827,3084.0,HEIDELBERG ,-37.755878,145.075764
361,BANYUL12829,3079.0,IVANHOE ,-37.772888,145.051829
362,BANYUL12836,3085.0,MACLEOD,-37.72902,145.06907
363,BANYUL12839,3094.0,MONTMORENCY ,-37.715283,145.113397
364,BANYUL12860,3094.0,MONTMORENCY,-37.717495,145.113018
365,BANYUL12840,3083.0,BUNDOORA ,-37.704732,145.065326
367,BANYUL12844,3094.0,MONTMORENCY ,-37.717216,145.125934
368,BANYUL12847,3079.0,IVANHOE ,-37.765457,145.032107
369,BANYUL12848,3081.0,HEIDELBERG HEIGHTS ,-37.740974,145.049584
370,BANYUL12849,3094.0,MONTMORENCY ,-37.712414,145.109734
371,BANYUL12853,3084.0,HEIDELBERG,-37.752489,145.079546
372,BANYUL12854,3088.0,GREENSBOROUGH,-37.699948,145.104116
373,BANYUL12856,3085.0,MACLEOD ,-37.71796,145.080081
374,BANYUL12859,3083.0,BUNDOORA ,-37.697336,145.061188
375,BANYUL12837,3085.0,MACLEOD,-37.723317,145.068971
378,BANYUL12821,3093.0,LOWER PLENTY ,-37.727341,145.108231
379,BANYUL12835,3083.0,BUNDOORA ,-37.703645,145.075398
380,BANYUL12838,3095.0,ELTHAM NORTH ,-37.701774,145.125942
383,BANYUL12841,3081.0,WEST HEIDELBERG ,-37.740147,145.040629
387,BANYUL12799,3084.0,VIEWBANK,-37.747777,145.08857
389,BANYUL12803,3079.0,IVANHOE ,-37.760286,145.034231
390,BANYUL12804,3088.0,GREENSBOROUGH ,-37.715628,145.105598
403,BANYUL12831,3081.0,HEIDELBERG HEIGHTS,-37.749856,145.052201
414,BANYUL12852,3083.0,BUNDOORA ,-37.696371,145.072506
420,BANYUL11309,3084.0,VIEWBANK,-37.736535,145.098561
421,BANYUL11462,3079.0,EAST IVANHOE VIC ,-37.76643,145.044021
422,BANYUL12817,3088.0,GREENSBOROUGH,-37.702516,145.102782
423,BANYUL12796,3084.0,HEIDELBERG,-37.75609,145.064412
425,BANYUL12801,3088.0,GREENSBOROUGH,-37.714423,145.105637
426,BANYUL5545,3083.0,BUNDOORA,-37.705663,145.054772
427,BANYUL12807,3079.0,IVANHOE ,-37.768672,145.042375
428,BANYUL12808,3094.0,MONTMORENCY ,-37.716902,145.120829
429,BANYUL12810,3083.0,BUNDOORA ,-37.694378,145.060169
430,BANYUL12811,3087.0,WATSONIA ,-37.711743,145.093652
431,BANYUL12816,3084.0,HEIDELBERG,-37.756312,145.069229
433,BANYUL12797,3083.0,BUNDOORA ,-37.702087,145.071402
434,BANYUL12828,3079.0,IVANHOE ,-37.76226,145.043423
435,BANYUL12832,3083.0,BUNDOORA ,-37.699165,145.059327
436,BANYUL11476,3085.0,HEIDELBERG ,-37.756854,145.065173
438,BANYUL11485,3085.0,MACLEOD,-37.724525,145.068352
440,BANYUL12809,3084.0,ROSANNA,-37.743578,145.065542
441,BANYUL12850,3081.0,WEST HEIDELBERG ,-37.749991,145.042789
442,BANYUL12823,3088.0,GREENSBOROUGH,-37.704373,145.104566
443,BANYUL12858,3088.0,GREENSBOROUGH,-37.714402,145.097399
444,BANYUL12826,3093.0,LOWER PLENTY ,-37.730757,145.110374
445,BANYUL12802,3079.0,IVANHOE ,-37.779908,145.057347
446,BANYUL12845,3093.0,LOWER PLENTY ,-37.744963,145.104339
450,BANYUL12812,3081.0,WEST HEIDELBERG ,-37.755193,145.033537
451,BANYUL4261,,BUNDOORA,-37.697322,145.062771
452,BANYUL12806,3084.0,HEIDELBERG ,-37.754991,145.062012
454,BANYUL12846,3088.0,GREENSBOROUGH,-37.714402,145.097399
457,BANYUL12833,3079.0,IVANHOE ,-37.770918,145.043779
461,BANYUL12834,3088.0,GREENSBOROUGH ,-37.699253,145.099894
465,BANYUL12819,3087.0,WATSONIA ,-37.714772,145.087218
468,BANYUL12843,3088.0,GREENSBOROUGH ,-37.697878,145.103027
469,BANYUL12857,3085.0,YALLAMBIE ,-37.728769,145.106565
482,BANYUL12861,3079.0,IVANHOE EAST,-37.778907,145.062318
487,BANYUL12830,3079.0,IVANHOE ,-37.762839,145.031895
496,BANYUL12851,3084.0,VIEWBANK ,-37.740499,145.092682
501,BASSCO11895,3922.0,COWES,-38.451054,145.247337
502,BASSCO5565,3996.0,INVERLOCH,-38.635349,145.732649
503,BASSCO11915,3995.0,WONTHAGGI,-38.600924,145.597243
504,BASSCO11891,3991.0,BASS,-38.480834,145.470741
506,BASSCO11900,3992.0,DALYSTON,-38.596136,145.542022
507,BASSCO11903,3996.0,INVERLOCH,-38.631772,145.727419
509,BASSCO11918,3995.0,WONTHAGGI,-38.599783,145.599475
511,BASSCO11892,3995.0,CAPE PATERSON,-38.669361,145.621415
512,BASSCO11893,3984.0,CORINELLA,-38.413097,145.433028
513,BASSCO11894,3984.0,CORONET BAY,-38.434736,145.438135
514,BASSCO11905,3996.0,INVERLOCH,-38.633258,145.727817
515,BASSCO11898,3922.0,COWES,-38.452373,145.24571
516,BASSCO11911,3925.0,SAN REMO,-38.523713,145.369858
518,BASSCO11904,3996.0,INVERLOCH,-38.627084,145.73935
522,BASSCO11901,3979.0,GLEN ALVIE,-38.502487,145.658444
524,BASSCO11916,3995.0,WONTHAGGI,-38.613706,145.584756
525,BASSCO11907,3925.0,NEWHAVEN,-38.512759,145.354379
526,BASSCO11908,3923.0,RHYLL,-38.462436,145.29081
530,BASSCO11899,3922.0,COWES,-38.459666,145.246372
532,BASSCO5355,,WONTHAGGI,-38.607313,145.58103
533,BASSCO5307,3922.0,COWES,-38.5016,145.23208
534,BASSCO5353,,INVERLOCH,-38.625376,145.80813
535,BASSCO5563,3922.0,COWES,-38.459666,145.246372
536,BASSCO11311,3922.0,VENTNOR,-38.465303,145.184361
537,BASSCO11312,3995.0,WONTHAGGI,-38.602798,145.577647
538,BASSCO11310,3991.0,WOOLAMAI,-38.497237,145.510761
541,BASSCO11896,3922.0,COWES,-38.454863,145.256516
542,BASSCO11906,3984.0,LANG LANG,-38.342252,145.605615
543,BASSCO11914,3995.0,WONTHAGGIE,-38.596053,145.585884
546,BASSCO5564,3922.0,COWES,-38.453623,145.248716
548,BASSCO11917,3995.0,WONTHAGGI,-38.607282,145.587999
549,BASSCO11269,,WONTHAGGI,-38.599149,145.562106
550,BASSCO11912,3922.0,SMITHS BEACH,-38.502413,145.232687
551,BASSCO11919,3995.0,WONTHAGGI,-38.598262,145.562975
559,BASSCO11215,3922.0,COWES,-38.449021,145.2334
560,BASSCO11216,3925.0,NEWHAVEN,-38.514634,145.361675
561,BASSCO11217,3923.0,RHYLL,-38.464975,145.306561
562,BASSCO11218,3996.0,INVERLOCH,-38.635934,145.731411
563,BASSCO5569,3990.0,GLEN FORBES,-38.428957,145.507959
564,BASSCO5568,3995.0,WONTHAGGI,-38.623601,145.603857
565,BASSCO5572,3922.0,COWES,-38.450945,145.246266
567,BASSCO5571,3996.0,INVERLOCH,-38.63303,145.727969
568,BASSCO5570,3995.0,WONTHAGGI,-38.601611,145.598633
575,BASSCO5566,3995.0,CAPE PATERSON,-38.675825,145.610213
576,BASSCO11207,3995.0,CAPE PATERSON,-38.673002,145.619178
577,BASSCO11208,3996.0,INVERLOCH,-38.646258,145.70208
578,BASSCO11211,3925.0,CAPE WOOLAMAI,-38.543499,145.34041
580,BASSCO11897,3922.0,COWES,-38.456624,145.240686
584,BASSCO11920,,GLEN FORBES,-38.459369,145.542666
585,BASSCO11902,3984.0,GRANTVILLE,-38.40455,145.532087
586,BASSCO5567,3979.0,KERNOT,-38.42636,145.598871
588,BASSCO11909,3923.0,RHYLL,-38.463056,145.303234
592,BAWBAW12121,3820.0,WARRAGUL,-38.164437,145.926676
593,BAWBAW12077,3818.0,DROUIN,-38.135303,145.842993
594,BAWBAW12131,3820.0,WARRAGUL,-38.147815,145.931005
595,BAWBAW12075,3821.0,BULN BULN,-38.097287,145.936979
596,BAWBAW12076,3822.0,DARNUM,-38.184952,146.010853
597,BAWBAW12145,3823.0,YARRAGON,-38.208602,146.058902
598,BAWBAW12078,3818.0,DROUIN,-38.13238,145.85887
599,BAWBAW12120,3820.0,WARRAGUL,-38.157589,145.942241
600,BAWBAW12143,3283.0,WARRAGUL SOUTH,-38.219723,145.91157
601,BAWBAW12088,3818.0,HALLORA,-38.251238,145.822667
602,BAWBAW12122,3820.0,WARRAGUL,-38.168923,145.937311
603,BAWBAW12092,3816.0,LONGWARRY,-38.116862,145.763789
604,BAWBAW12097,3831.0,NEERIM SOUTH,-38.015807,145.957674
605,BAWBAW12106,3835.0,THORPDALE,-38.290569,146.187541
606,BAWBAW12111,3824.0,TRAFALGAR,-38.207704,146.142568
607,BAWBAW12125,3820.0,WARRAGUL,-38.1541,145.920212
608,BAWBAW12144,3825.0,WILLOW GROVE,-38.071118,146.178569
610,BAWBAW12132,3820.0,WARRAGUL,-38.168316,145.938697
612,BAWBAW12107,3835.0,THORPDALE,-38.288407,146.178107
613,BAWBAW12084,3818.0,DROUIN,-38.135303,145.842993
614,BAWBAW12103,3825.0,RAWSON,-37.956465,146.399734
615,BAWBAW12099,3831.0,NEERIM SOUTH,-38.016004,145.956411
616,BAWBAW12137,3820.0,WARRAGUL,-38.144917,145.930688
617,BAWBAW12113,3824.0,TRAFALGAR,-38.21363,146.158049
618,BAWBAW12130,3820.0,WARRAGUL,-38.16645,145.927108
619,BAWBAW12101,3825.0,RAWSON,-37.956002,146.400618
620,BAWBAW12117,3824.0,TRAFALGAR,-38.214896,146.155113
622,BAWBAW12139,3820.0,WARRAGUL,,
624,BAWBAW12074,3818.0,ATHLONE,-38.240848,145.77789
626,BAWBAW12151,3821.0,BULN BULN,-38.100272,145.939028
631,BAWBAW12150,3818.0,DROUIN,-38.14571,145.851613
635,BAWBAW12089,3818.0,JINDIVICK,-38.030964,145.907753
636,BAWBAW12090,3821.0,LARDNER,-38.203853,145.880519
640,BAWBAW12152,3820.0,WARRAGUL,-38.160869,145.914327
647,BAWBAW12149,3820.0,WARRAGUL,-38.159164,145.913787
650,BAWBAW12083,3818.0,DROUIN,-38.136907,145.85612
651,BAWBAW12127,3820.0,WARRAGUL,-38.164905,145.929591
652,BAWBAW5339,,WARRAGUL,-38.168676,145.92244
653,BAWBAW5340,,CLOVERLEA,-38.222066,146.04062
654,BAWBAW5341,,DARNUM,-38.184228,146.00467
655,BAWBAW5431,,,-37.981754,146.370335
656,BAWBAW5435,,,-37.841123,146.267231
657,BAWBAW5342,,SHADY CREEK,-38.101553,146.103
658,BAWBAW5344,,SHADY CREEK,-38.182136,146.01281
659,BAWBAW12124,3820.0,WARRAGUL,-38.168296,145.93428
660,BAWBAW5345,,YARRAGOON,-38.210063,146.06963
661,BAWBAW5522,3818.0,LARDNER,-38.202214,145.862121
663,BAWBAW11313,3815.0,BUNYIP,-38.103806,145.711596
665,BAWBAW11314,3831.0,NEERIM,-37.961272,145.963474
666,BAWBAW12110,3824.0,TRAFALGAR,-38.203702,146.145987
667,BAWBAW12126,3820.0,WARRAGUL,-38.157426,145.930786
668,BAWBAW12136,3825.0,MOE,-38.177637,146.260925
669,BAWBAW12135,3820.0,WARRAGUL,-38.161673,145.955081
670,BAWBAW12141,3820.0,WARRAGUL,-38.161778,145.940645
671,BAWBAW12086,3818.0,DROUIN WEST,,
672,BAWBAW12134,3820.0,WARRAGUL,,
673,BAWBAW12138,3820.0,WARRAGUL,,
676,BAWBAW12082,3818.0,DROUIN,-38.101058,145.832539
678,BAWBAW12116,3824.0,TRAFALGAR,-38.154648,146.158576
679,BAWBAW12129,3820.0,WARRAGUL,-38.147842,145.922583
680,BAWBAW11521,3820.0,WARRAGUL,,
683,BAWBAW12133,3820.0,WARRAGUL,,
684,BAWBAW12080,3818.0,DROUIN,-38.138102,145.85972
685,BAWBAW12093,3816.0,LONGWARRY,-38.113247,145.767998
686,BAWBAW12098,3831.0,NEERIM SOUTH,-38.023999,145.954523
687,BAWBAW12108,3835.0,THORPDALE,-38.285929,146.174068
688,BAWBAW12112,3824.0,TRAFALGAR,-38.205923,146.151939
689,BAWBAW12148,3824.0,TRAFALGAR,-38.211791,146.152298
691,BAWBAW12146,3823.0,YARRAGON,-38.202945,146.06785
693,BAWBAW12140,3820.0,WARRAGUL,,
694,BAWBAW12085,3818.0,DROUIN WEST,-38.063187,145.897902
704,BAWBAW12123,3820.0,WARRAGUL,-38.161803,145.923328
709,BAWBAW11203,3818.0,DROUIN,-38.16124,145.869743
710,BAWBAW12079,3818.0,DROUIN,-38.134257,145.857462
711,BAWBAW12100,3831.0,NEERIM SOUTH,-38.016226,145.95544
712,BAWBAW12118,3824.0,TRAFALGAR,-38.207665,146.156683
713,BAWBAW12128,3820.0,WARRAGUL,-38.165089,145.927998
714,BAWBAW12119,3820.0,WARRAGUL,-38.162937,145.923101
721,BAWBAW12102,3825.0,RAWSON,-37.956055,146.39877
723,BAWBAW12096,3831.0,NEERIM SOUTH,-38.017088,145.95515
725,BAWBAW12109,3835.0,THORPDALE,-38.288407,146.178107
726,BAWBAW12115,3824.0,TRAFALGAR,-38.211763,146.154839
728,BAWBAW12081,3818.0,DROUIN,-38.12713,145.852498
732,BAWBAW12087,3821.0,ELLINBANK,-38.239945,145.936107
735,BAWBAW12091,3820.0,LILLICO,-38.130286,145.967312
737,BAWBAW12114,3824.0,TRAFALGAR,-38.211763,146.154839
738,BAWBAW12094,3816.0,MODELLA,-38.186016,145.710863
739,BAWBAW12105,3825.0,THALLOO,-38.089431,146.308549
740,BAWBAW12095,3832.0,NEERIM JUNCTION,-37.929143,145.96341
742,BAWBAW12153,,NOOJEE,-37.894071,146.000051
744,BAWBAW12104,3821.0,ROKEBY,-38.070607,145.926424
746,BAWBAW12142,3820.0,WARRAGUL NORTH,-38.146532,145.933985
749,BAWBAW12147,3823.0,YARRAGON,-38.207184,146.065237
752,BAYSID12345,3186.0,BRIGHTON EAST,-37.925092,145.02322
753,BAYSID5411,,,-37.9393,145.018
754,BAYSID12351,3188.0,HAMPTON,-37.939513,145.017855
755,BAYSID12372,3186.0,BRIGHTON,-37.909522,144.993288
756,BAYSID12384,3193.0,BEAUMARIS,-37.986546,145.042191
757,BAYSID12330,3186.0,BRIGHTON,-37.928371,144.990557
758,BAYSID5409,,,-37.9285,144.9911
759,BAYSID5405,,,-37.9335,145.0119
760,BAYSID12388,3192.0,CHELTENHAM,-37.970663,145.050831
761,BAYSID5404,,,-37.9256,145.0227
762,BAYSID12358,3193.0,BEAUMARIS,-37.981983,145.026046
763,BAYSID12352,3185.0,ELSTERNWICK,-37.884783,144.99379
764,BAYSID5642,3190.0,HIGHETT,-37.95102,145.055081
765,BAYSID5402,,,-37.9103,145.0144
766,BAYSID5412,,,-37.9459,145.0261
