,Facility ID,Pcode,Suburb/Town,Latitude,Longitude
0,MITCHE3674,3741.0,BRIGHT,-37.851683,145.180228
5,ALPINE5519,3741.0,BRIGHT,-36.737199,146.973353
6,ALPINE10930,3699.0,MOUNT BEAUTY,-36.740988,147.168502
7,ALPINE10928,3699.0,MOUNT BEAUTY,-36.739256,147.172162
8,ALPINE10924,3691.0,DEDERANG,-36.475264,147.020525
11,ALPINE10932,3737.0,MYRTLEFORD,-36.567524,146.723777
13,ALPINE10942,3740.0,POREPUNKAH,-36.698109,146.910729
14,ALPINE10919,3741.0,BRIGHT,-36.733294,146.963623
16,ALPINE10941,3737.0,MYRTLEFORD,-36.552593,146.725872
18,ALPINE10934,3737.0,MYRTLEFORD,-36.553518,146.715794
19,ALPINE10944,3744.0,WANDILIGONG,-36.765294,146.977687
20,ALPINE10918,3741.0,BRIGHT,-36.733701,146.962508
22,ALPINE10925,3737.0,GAPSTED,-36.505019,146.676961
23,ALPINE10927,3741.0,HARRIETVILLE,-36.895455,147.059682
24,ALPINE10937,3737.0,MYRTLEFORD,-36.552593,146.725872
25,ALPINE10935,3737.0,MYRTLEFORD,-36.555836,146.723887
27,ALPINE10938,3737.0,MYRTLEFORD,-36.54996,146.724992
31,ALPINE5428,,,-36.742701,147.169347
32,ALPINE11307,3737.0,MYRTLEFORD,-36.543428,146.738124
34,ALPINE10920,3741.0,BRIGHT,-36.728695,146.958053
35,ALPINE10921,3741.0,BRIGHT,-36.711338,146.935086
36,ALPINE10922,3691.0,DEDERANG,-36.478094,147.02098
37,ALPINE10929,3699.0,MOUNT BEAUTY,-36.737378,147.179398
38,ALPINE10933,3737.0,MYRTLEFORD,-36.541407,146.728312
39,ALPINE11452,3741.0,BRIGHT  ,,
40,ALPINE11495,3699.0,MOUNT BEAUTY,,
41,ALPINE10917,3741.0,BRIGHT,-36.731007,146.969729
42,ALPINE10923,3691.0,DEDERANG,-36.476276,147.021519
43,ALPINE4257,3737.0,MYRTLEFORD,-36.56297,146.72498
44,ALPINE10943,3697.0,TAWONGA,-36.698664,147.143918
45,ALPINE11260,, MYRTLEFORD,-36.541578,146.767051
46,ALPINE11277,,MYRTLEFORD,-36.543227,146.724751
47,ALPINE10939,3737.0,MYRTLEFORD,-36.541364,146.767159
51,ALPINE10916,3741.0,BRIGHT,-36.728932,146.970354
52,ALPINE10940,3737.0,MYRTLEFORD,-36.556305,146.728418
55,ALPINE10931,3699.0,MOUNT BEAUTY,-36.740988,147.168502
60,ALPINE10936,3737.0,MYRTLEFORD,-36.562971,146.724982
64,ALPINE10926,3691.0,GUNDOWRING,-36.422159,147.061754
72,ARARAT12872,3377.0,ARARAT,-37.290964,142.944466
73,ARARAT12868,3377.0,ARARAT,-37.279414,142.927461
75,ARARAT12882,3351.0,LAKE BOLAC,-37.718696,142.842711
76,ARARAT12884,3377.0,MAROONA,-37.439012,142.860913
77,ARARAT12885,3351.0,MININERA,-37.602218,142.963743
78,ARARAT12886,3377.0,MOYSTON,-37.299648,142.765968
79,ARARAT12889,3378.0,TATYOON,-37.52441,142.943444
80,ARARAT12894,3379.0,WILLLAURA,-37.545101,142.744682
81,ARARAT12865,3377.0,ARARAT,-37.281984,142.92884
82,ARARAT12871,3377.0,ARARAT,-37.28209,142.932911
84,ARARAT12875,3377.0,ARARAT,-37.275846,142.959809
85,ARARAT12876,3375.0,BUANGOR,-37.365352,143.172993
86,ARARAT12879,3469.0,ELMHURST,-37.183506,143.243133
91,ARARAT12887,3381.0,POMONAL,-37.195245,142.610113
92,ARARAT12862,3377.0,ARARAT,-37.270497,142.916201
