,Suburb,crime_rate_2021,crime_rate_2020,crime_rate_2019,crime_rate_2018,crime_rate_2017,crime_rate_2016,crime_rate_2015,crime_rate_2014,crime_rate_2013,crime_rate_2012
0,MELBOURNE,0.14717311415436,0.14585646182982,0.15064750773769,0.15788206696924,0.16661325491231,0.19337969554266,0.18153457244725,0.18537995702286,0.20742812376275,0.23003774005838
2,EAST MELBOURNE,0.0919464539904099,0.11026424242424,0.10907640174948,0.11476457637952,0.11001729274746,0.1215686696665,0.11177340613636,0.11416059063603,0.10960910888259,0.11319338485013
3,WEST MELBOURNE,0.14717311415436,0.14585646182982,0.15064750773769,0.15788206696924,0.16661325491231,0.19337969554266,0.18153457244725,0.18537995702286,0.20742812376275,0.23003774005838
5,ST KILDA ROAD CENTRAL,0.0919464539904099,0.11026424242424,0.10907640174948,0.11476457637952,0.11001729274746,0.1215686696665,0.11177340613636,0.11416059063603,0.10960910888259,0.11319338485013
6,ST KILDA ROAD MELBOURNE,0.0919464539904099,0.11026424242424,0.10907640174948,0.11476457637952,0.11001729274746,0.1215686696665,0.11177340613636,0.11416059063603,0.10960910888259,0.11319338485013
7,WORLD TRADE CENTRE,0.14717311415436,0.14585646182982,0.15064750773769,0.15788206696924,0.16661325491231,0.19337969554266,0.18153457244725,0.18537995702286,0.20742812376275,0.23003774005838
8,SOUTH WHARF,0.08341795829827,0.0883958927161,0.0847777201176299,0.08790888624023,0.08755964430307,0.096522963904,0.09219691486262,0.0869211400561,0.08593719409531,0.0884646571831899
9,SOUTHBANK,0.08341795829827,0.0883958927161,0.0847777201176299,0.08790888624023,0.08755964430307,0.096522963904,0.09219691486262,0.0869211400561,0.08593719409531,0.0884646571831899
10,DOCKLANDS,0.14717311415436,0.14585646182982,0.15064750773769,0.15788206696924,0.16661325491231,0.19337969554266,0.18153457244725,0.18537995702286,0.20742812376275,0.23003774005838
11,UNIVERSITY OF MELBOURNE,0.14717311415436,0.14585646182982,0.15064750773769,0.15788206696924,0.16661325491231,0.19337969554266,0.18153457244725,0.18537995702286,0.20742812376275,0.23003774005838
12,FOOTSCRAY,0.04650938808824,0.0489628319658799,0.04969573258232,0.05224930808563,0.05316917973702,0.06300103360435,0.05786361254585,0.05472856499919,0.05411210420564,0.06124585433656
13,SEDDON,0.04650938808824,0.0489628319658799,0.04969573258232,0.05224930808563,0.05316917973702,0.06300103360435,0.05786361254585,0.05472856499919,0.05411210420564,0.06124585433656
14,SEDDON WEST,0.04650938808824,0.0489628319658799,0.04969573258232,0.05224930808563,0.05316917973702,0.06300103360435,0.05786361254585,0.05472856499919,0.05411210420564,0.06124585433656
15,BROOKLYN,0.0418641795418,0.0466688316731,0.0488383522968699,0.04421479674351,0.0450282281983299,0.0544914716662,0.0529523185931799,0.05040394616698,0.0522630131800999,0.06177043616125
16,KINGSVILLE,0.0418641795418,0.0466688316731,0.0488383522968699,0.04421479674351,0.0450282281983299,0.0544914716662,0.0529523185931799,0.05040394616698,0.0522630131800999,0.06177043616125
17,KINGSVILLE WEST,0.0418641795418,0.0466688316731,0.0488383522968699,0.04421479674351,0.0450282281983299,0.0544914716662,0.0529523185931799,0.05040394616698,0.0522630131800999,0.06177043616125
18,MAIDSTONE,0.0418641795418,0.0466688316731,0.0488383522968699,0.04421479674351,0.0450282281983299,0.0544914716662,0.0529523185931799,0.05040394616698,0.0522630131800999,0.06177043616125
19,TOTTENHAM,0.0418641795418,0.0466688316731,0.0488383522968699,0.04421479674351,0.0450282281983299,0.0544914716662,0.0529523185931799,0.05040394616698,0.0522630131800999,0.06177043616125
20,WEST FOOTSCRAY,0.0418641795418,0.0466688316731,0.0488383522968699,0.04421479674351,0.0450282281983299,0.0544914716662,0.0529523185931799,0.05040394616698,0.0522630131800999,0.06177043616125
21,YARRAVILLE,0.14717311415436,0.14585646182982,0.15064750773769,0.15788206696924,0.16661325491231,0.19337969554266,0.18153457244725,0.18537995702286,0.20742812376275,0.23003774005838
22,YARRAVILLE WEST,0.14717311415436,0.14585646182982,0.15064750773769,0.15788206696924,0.16661325491231,0.19337969554266,0.18153457244725,0.18537995702286,0.20742812376275,0.23003774005838
23,NEWPORT,0.14717311415436,0.14585646182982,0.15064750773769,0.15788206696924,0.16661325491231,0.19337969554266,0.18153457244725,0.18537995702286,0.20742812376275,0.23003774005838
24,SOUTH KINGSVILLE,0.14717311415436,0.14585646182982,0.15064750773769,0.15788206696924,0.16661325491231,0.19337969554266,0.18153457244725,0.18537995702286,0.20742812376275,0.23003774005838
25,SPOTSWOOD,0.14717311415436,0.14585646182982,0.15064750773769,0.15788206696924,0.16661325491231,0.19337969554266,0.18153457244725,0.18537995702286,0.20742812376275,0.23003774005838
26,WILLIAMSTOWN,0.04691164939436,0.04571795211276,0.05114304710275,0.04988546967797,0.05162457531739,0.05710310878057,0.05844623339224,0.06145968125463,0.06106202628156,0.06622216687986
27,WILLIAMSTOWN NORTH,0.04691164939436,0.04571795211276,0.05114304710275,0.04988546967797,0.05162457531739,0.05710310878057,0.05844623339224,0.06145968125463,0.06106202628156,0.06622216687986
28,ALTONA,0.0418641795418,0.0466688316731,0.0488383522968699,0.04421479674351,0.0450282281983299,0.0544914716662,0.0529523185931799,0.05040394616698,0.0522630131800999,0.06177043616125
29,SEAHOLME,0.0418641795418,0.0466688316731,0.0488383522968699,0.04421479674351,0.0450282281983299,0.0544914716662,0.0529523185931799,0.05040394616698,0.0522630131800999,0.06177043616125
30,BRAYBROOK,0.04650938808824,0.0489628319658799,0.04969573258232,0.05224930808563,0.05316917973702,0.06300103360435,0.05786361254585,0.05472856499919,0.05411210420564,0.06124585433656
31,BRAYBROOK NORTH,0.04650938808824,0.0489628319658799,0.04969573258232,0.05224930808563,0.05316917973702,0.06300103360435,0.05786361254585,0.05472856499919,0.05411210420564,0.06124585433656
