Suburb,% rental price Growth in 5 years,% income Growth in 5 years,% population Growth in 5 years,average
BENDIGO,0.06778494074757285,0.11246152191733913,-0.003749735352753831,0.05883224243738605
MOONEE PONDS,0.00882950262643618,0.07694647955712255,0.08705382821336169,0.05760993679897347
BAYSWATER,0.04760663784561066,0.0694494480593644,0.054351820269158545,0.057135968724711196
HAMPTON PARK,0.0329001914857918,0.08517134877029954,0.04990635629138378,0.05599263218249171
ELTHAM,0.06420774074975523,0.10857176877829962,-0.005841958684083955,0.05564585028132363
NORTH BENDIGO,0.0571609372545749,0.11246152191733913,-0.003779654238852482,0.055280934977687185
HUGHESDALE,0.05686649627336034,0.10349277487432014,0.005481088427970098,0.05528011985855019
MALVERN,0.03207149335030121,0.10564853327967921,0.027321528603780152,0.05501385174458686
CAULFIELD,0.010675844572709228,0.10187226747785467,0.05135427781416203,0.05463412995490865
GLEN IRIS,0.029806610256462873,0.10564853327967921,0.02740797615533974,0.054287706563827275
AVONDALE HEIGHTS,0.04900789781964363,0.1333952493318909,-0.02116196926913004,0.053747059294134834
MALVERN EAST,0.014835040812437555,0.09163031499735196,0.05438018075956128,0.053615178856450264
HAMPTON,0.006276053121222216,0.12224524128445612,0.029911795756806074,0.05281103005416147
SYDENHAM,0.046031695071672235,0.08881083364484994,0.023580005307974376,0.05280751134149886
KENSINGTON,0.0013838527999235942,0.11652664245904427,0.039877387112945945,0.05259596079063794
FAWKNER,0.019342489268782605,0.10384657279440437,0.0332042493638743,0.05213110380902042
MITCHAM,0.026221781303423713,0.0704282268954722,0.05736825054168892,0.051339419580194945
ST ALBANS,0.015529215053721178,0.052794776368908905,0.08564396367906472,0.051322651700564936
HURSTBRIDGE,0.009224344698962002,0.13820778208162424,0.004053313711444425,0.050495146830676886
ROXBURGH PARK,0.011098424011939839,0.056094116273030105,0.08414033783841182,0.050444292707793915
DANDENONG,0.054287777619935175,0.1354988281450996,-0.03930113204393358,0.050161824573700386
BURWOOD,0.0570145365230586,0.03009782230315911,0.06297257434979506,0.05002831105867092
MURRUMBEENA,0.05686649627336034,0.07591644145590162,0.015334296639144774,0.04937241145613558
DANDENONG NORTH,0.03687170197551133,0.10162709915113625,0.009035065519413323,0.04917795554868697
MAFFRA,0.043044426652253547,0.06335992983592065,0.04112734992957051,0.04917723547258157
TULLAMARINE,0.03985867918619186,0.10914828788565081,-0.006258343905564312,0.04758287438875946
GLEN WAVERLEY,0.05419780951430753,0.028994880440565456,0.05900041529425075,0.047397701749707914
BEAUMARIS,0.006276053121222216,0.07131019305522115,0.06326289384872219,0.046949713341721856
KEILOR,0.07050831554535661,0.08259664517490266,-0.0137257550597198,0.04645973522017982
CRANBOURNE,0.05255949974361951,0.05872835863485482,0.027230588310996038,0.046172815563156784
ASCOT VALE,0.00882950262643618,0.1045064077936617,0.02469388199546905,0.046009930805188975
SUNSHINE,0.0521388213311684,0.11500835359089638,-0.03202900354574664,0.045039390458772706
MORWELL,0.10969624034039606,0.022153367093657676,0.0027179272931495066,0.04485584490906775
THOMASTOWN,0.03091772965187892,0.10259326739259678,0.000585996502058923,0.044698997848844874
GREENSBOROUGH,0.009224344698962002,0.134723304659319,-0.010197829856740753,0.04458327316718008
FLORA HILL,0.03825794874183977,0.09023050215482976,0.005153747295826051,0.04454739939749853
BLACKBURN,0.011716329855728604,0.08277376938459839,0.036029148089544036,0.043506415776623675
IVANHOE EAST,0.04295857058829546,0.08319312362036745,0.0043401704828292375,0.04349728823049737
GLADSTONE PARK,0.03985867918619186,0.10495764784192747,-0.014963293044171717,0.04328434466131587
BUNINYONG,0.0342200855950552,0.0388470736581923,0.056091483010720165,0.04305288075465589
BURWOOD EAST,0.055892405072359125,0.05582655020491339,0.01575448039744519,0.0424911452249059
ROWVILLE,0.0510191553083703,0.07448031048425961,0.0003086964504710347,0.04193605408103365
TRARALGON,0.03298475668759368,0.05405934112340177,0.03852944692983576,0.04185784824694374
PORTLAND,0.033076704458735895,0.06488679886249712,0.026179126995724906,0.04138087677231931
SOUTH MELBOURNE,-0.004746995604185949,0.019583458230803236,0.10790753703051474,0.04091466655237735
DONVALE,0.06925591468224336,0.04497314065751527,0.00734154033769549,0.040523531892484706
KEILOR EAST,0.04900789781964363,0.08259664517490266,-0.013658296660923374,0.03931541544454097
EAST MELBOURNE,0.023666468945980682,0.0892453182935962,0.004448944006890911,0.0391202437488226
MOE,0.07563991784723063,0.045601167544779275,-0.005615811659300477,0.03854175791090315
NEWBOROUGH,0.07563991784723063,0.045601167544779275,-0.005842352266258279,0.03846624437525054
MULGRAVE,0.05419780951430753,0.060187031338340885,-0.0019535157965006153,0.03747710835204927
SOUTHBANK,-0.015546961416342946,0.019583458230803236,0.10825266754669548,0.03742972145371859
WANTIRNA,0.07238486518059957,0.05218472777877794,-0.01594701514757194,0.036207525937268524
BULLEEN,0.03736557239395246,0.06671208916296285,0.002831947517514805,0.03563653635814337
SALE,0.043044426652253547,0.04157673947782647,0.0220519611580393,0.03555770909603977
HOPPERS CROSSING,0.04860927959776552,0.06370541946222152,-0.007376795056558119,0.034979301334476305
MONT ALBERT,0.01792962508953667,0.0625408149643365,0.01939704517982465,0.03328916174456594
SURREY HILLS,0.01792962508953667,0.06857321343830718,0.013297240367181617,0.03326669296500849
CANTERBURY,0.01792962508953667,0.06857321343830718,0.012956943629366516,0.03315326071907012
HAMILTON,0.03296290028699609,0.05753122049951574,0.00875339591713972,0.033082505567883856
ELWOOD,0.008207412073082569,0.07814701200264704,0.002728512813444145,0.02969431229639125
KEW,0.03659300484711317,0.048910347476791564,-0.0012910857421761922,0.02807075552724285
BERWICK,0.01797799819953184,0.0553790317544961,0.00898558967237645,0.027447539875468132
BALWYN,0.03519447797438291,0.007415148165469224,0.03814300700912218,0.026917544382991442
MILL PARK,-0.013834790613770713,0.08475808390466487,0.008901880725921022,0.02660839133893839
TEMPLESTOWE,0.03736557239395246,0.04288008308376296,-0.00503393857657562,0.025070572300379932
BRIGHTON,0.02293572388587668,0.05901274060933461,-0.009785749221715183,0.024054238424498702
ARMADALE,-0.04845158416875902,0.04474161568649326,0.06972677140797083,0.02200560097523502
FLEMINGTON,0.0013838527999235942,0.07857837830245079,-0.013969397360973516,0.02199761124713362
DEER PARK,0.015529215053721178,0.07261650045574099,-0.03400280875214391,0.018047635585772753
ESSENDON,0.012696118317824271,0.06873832994904969,-0.02958788364803326,0.017282188206280233
BUNDOORA,0.009224344698962002,0.042510262648543386,-0.001162090211991564,0.01685750571183794
BROADMEADOWS,0.011098424011939839,0.05502079733911682,-0.021043147231887886,0.015025358039722927
HAWTHORN,0.016112133965362575,0.010984355934199715,0.012829079573876793,0.01330852315781303
LALOR,0.03091772965187892,0.11372048253656729,-0.12330462887142217,0.007111194439008016
ABBOTSFORD,-0.004973221559667838,0.12338572581410526,-0.1043126232688383,0.004699960328533037
CAMBERWELL,0.029806610256462873,0.0306048585651416,-0.060957974477649474,-0.0001821685520149996
