Suburb,% rental price Growth in 5 years,% income Growth in 5 years,% population Growth in 5 years,average
PORT MELBOURNE,0.04294663508334585,0.45393516362051284,599.293950609401,199.9302774693683
WERRIBEE,0.04860927959776552,0.1862593693284952,1.4910421297885985,0.5753035929049531
GROVEDALE,0.06827498311791266,0.13476890474722467,0.7562350854419813,0.31975965776903953
ALFREDTON,0.0702529869227498,0.09394667368881651,0.4924082851188386,0.2188693152434683
DOCKLANDS,-0.043949356076796404,0.00643679936180074,0.6477950714284545,0.20342750490448627
DELACOMBE,0.057713132667491,0.12873238949543903,0.38923869980887366,0.1918947406572679
BARWON HEADS,0.04597920268233253,0.1173436999834766,0.3908320580260097,0.18471832023060628
WARRAGUL,0.23316566648406228,0.09725469024945678,0.218381315470564,0.18293389073469435
DROMANA,0.11416848775495166,0.14539434889780312,0.2762308223193012,0.17859788632401866
TORQUAY,0.1529488945524991,0.09950416317475803,0.256099336464697,0.16951746473065135
LARA,0.13482913042590872,0.07390380375470126,0.21342525500955495,0.14071939639672162
PORTSEA,0.11416848775495166,0.12002687925457095,0.17008064510634438,0.134758670705289
NORTH MELBOURNE,0.006857379062222309,0.06179476281383955,0.31497811358917277,0.12787675182174488
COBURG NORTH,0.018524531378453342,0.2077088986418718,0.15197947603175974,0.1260709686840283
BOX HILL,0.1131719143277696,0.008818729315174129,0.2528067935597015,0.12493247906754841
COLLINGWOOD,-0.004973221559667838,0.18024631350367656,0.1741583164775677,0.11647713614052546
CHELTENHAM,0.023786108159461385,0.19153478154202883,0.1309717839533051,0.11543089121826511
CHELSEA,0.09090037658119302,0.17758500410445752,0.06898455498756405,0.1124899785577382
MORNINGTON,0.13217097489960328,0.1332780364164913,0.07147931699256212,0.11230944276955222
ASPENDALE,0.09090037658119302,0.16992962159824224,0.07479482597283993,0.11187494138409172
SPOTSWOOD,0.1049757987511839,0.1431372975670503,0.07340257737914009,0.10717189123245809
NEWPORT,0.1049757987511839,0.1431372975670503,0.072995395511235,0.1070361639431564
YARRAVILLE,0.0862200985911941,0.16465275033251295,0.06658017704955314,0.10581767532442006
SEYMOUR,0.23804388259156772,0.0745708887248995,0.00011875967741130814,0.10424451033129284
FITZROY NORTH,0.03292307888066014,0.22800694392271353,0.049635819281278,0.10352194736155056
IVANHOE,0.04295857058829546,0.17198623156025958,0.09333530742050845,0.10276003652302117
SUNBURY,0.08368134215102238,0.09962575124984828,0.12425043657573495,0.10251917665886852
ALTONA,0.0410275902770141,0.20298493286285155,0.058615510914734506,0.10087601135153339
SOUTH YARRA,0.011819918165375224,-0.012472311031389332,0.29727957070863714,0.09887572594754102
HASTINGS,0.10603783165913197,0.1136836424686359,0.07329619896709777,0.09767255769828855
FOOTSCRAY,0.05356650184009823,0.16235941664654763,0.0729171408140343,0.09628101976689339
HERNE HILL,0.05060094519802692,0.1507621125092683,0.0846097434845768,0.09532426706395734
GEELONG WEST,0.05060094519802692,0.1507621125092683,0.08445870168563253,0.09527391979764259
OAK PARK,0.019342489268782605,0.1328811703899755,0.13047624727054247,0.09423330230976686
PASCOE VALE,0.018524531378453342,0.1328811703899755,0.12920981890857483,0.09353850689233456
PARKDALE,0.07844268343555821,0.1511083114179994,0.04471034529406841,0.09142044671587535
LILYDALE,0.04745685374452194,0.18618983357920954,0.040596461716542256,0.09141438301342458
MORDIALLOC,0.07844268343555821,0.1511083114179994,0.04468643631471389,0.0914124770560905
NEWTOWN,0.11605584117020241,0.10431641101421672,0.04944843260798216,0.08994022826413377
CASTLEMAINE,0.08403182304214135,0.10630858020277197,0.07876422658019701,0.08970154327503677
WEST FOOTSCRAY,0.004652058274522113,0.21194562888603916,0.051968828863073115,0.08952217200787814
CARRUM DOWNS,0.07048823490959812,0.13655785485677652,0.06003279662748423,0.08902629546461961
THORNBURY,0.09577407659196456,0.18792444504539535,-0.020703169512111232,0.08766511737508291
NORTH GEELONG,0.07034184748411593,0.11495805182612225,0.07389502603774618,0.08639830844932811
SHEPPARTON,0.0761236766277867,0.09770294515028295,0.08318799641710449,0.08567153939839138
PASCOE VALE SOUTH,0.02835122353712576,0.1553084642165789,0.0717933728759162,0.08515102020987363
FRANKSTON,0.07059045204517278,0.14559886713048595,0.03875132417395747,0.08498021444987207
BENALLA,0.16626461325118844,0.07018053886716712,0.014101330939622285,0.08351549435265927
CLAYTON,0.01760571283608769,-0.008047437376789911,0.23915271436264682,0.08290366327398153
HEIDELBERG WEST,0.035806714685289016,0.13537384560151988,0.07749828389275384,0.08289294805985424
SCORESBY,0.07238486518059957,0.11174265709304045,0.06449533681709704,0.08287428636357902
MOUNT WAVERLEY,0.07439549226185932,0.0856965998634109,0.08750318606377154,0.08253175939634726
ECHUCA,0.14186683625066016,0.09194159410740307,0.013552608049960915,0.08245367946934139
BRUNSWICK,0.05762194929728772,0.11134146060092692,0.07645243027244665,0.0818052800568871
FITZROY,0.034499071076994056,0.16191263808681955,0.04821145554175465,0.08154105490185609
NORTHCOTE,0.02759139764003794,0.16849040972025572,0.04566498590957415,0.08058226442328927
TOORAK,0.040250945678249765,0.20376173240091552,-0.002709851932191589,0.08043427538232457
WODONGA,0.07600539332569783,0.10263645055593718,0.06035645523441016,0.0796660997053484
BENTLEIGH,0.06544982450990496,0.08927430676180065,0.0833820995069958,0.07936874359290046
CLIFTON HILL,0.03292307888066014,0.149378343778735,0.054600771181093535,0.07896739794682955
BAIRNSDALE,0.07285440603155925,0.05833757402217477,0.1047680159291002,0.07865333199427808
PAKENHAM,0.01434302174860818,0.075286279384423,0.14303843944482392,0.0775559135259517
CHADSTONE,0.03226090752515157,0.0962214710425372,0.10363855756710796,0.07737364537826558
VERMONT,0.055892405072359125,0.11959789223070563,0.05584811695000874,0.0771128047510245
BURNLEY,0.01918500679758145,0.10041166960001471,0.1112706838439057,0.07695578674716728
SEAFORD,0.07048823490959812,0.1540760509561933,0.0059421571402362506,0.07683548100200922
CARLTON,0.17304440154149742,0.012860900280770637,0.04227716658464742,0.07606082280230515
PRAHRAN,-0.013508363994582776,0.22564616466331933,0.015557299144957215,0.07589836660456459
WINDSOR,-0.013508363994582776,0.22564616466331933,0.015540202089997965,0.07589266758624484
FLINDERS,0.10603783165913197,0.12567830967824936,-0.004749267622167603,0.07565562457173791
GOLDEN SQUARE,0.058475727603122134,0.11008179736371114,0.058281750185507394,0.07561309171744689
KANGAROO FLAT,0.058475727603122134,0.11008179736371114,0.057921655542208045,0.07549306016968044
ST KILDA,-0.001618941527192419,0.0969959969283121,0.12970311795372996,0.07502672445161655
MENTONE,0.07844268343555821,0.12104848717595959,0.025389307535312378,0.07496015938227672
MONTMORENCY,0.06420774074975523,0.1393554126162556,0.020639032212468707,0.07473406185949318
FOREST HILL,0.055892405072359125,0.10016953668809442,0.06812611131313655,0.07472935102453003
WILLIAMSTOWN,0.046397394317221397,0.11980156947514152,0.05636117846903207,0.07418671408713166
CARNEGIE,0.054965150045738,0.07358608711278077,0.09276465689213748,0.07377196468355209
RICHMOND,0.01918500679758145,0.10041166960001471,0.10160346509849737,0.07373338049869783
RINGWOOD,0.05594527954084654,0.11207181224302043,0.05102591691337137,0.07301433623241278
RESERVOIR,0.038112791124208525,0.10432507420671228,0.07542380779658296,0.07262055770916792
HORSHAM,0.08149847280177182,0.11893348850729338,0.013565316457689625,0.07133242592225161
ELSTERNWICK,0.021190386984916675,0.11181230317052579,0.07953975562182528,0.07084748192575592
CARRUM,0.09090037658119302,0.08615177079576727,0.03391342220709786,0.07032185652801938
OAKLEIGH,0.03226090752515157,0.12134603685560477,0.05389940811675327,0.06916878416583654
MELTON,0.10584429522735199,0.06938865831872296,0.03195569161267391,0.06906288171958296
ASHBURTON,0.0570145365230586,0.1180335545615783,0.03029318322654092,0.06844709143705928
SEBASTOPOL,0.057713132667491,0.10091752163639439,0.04422409638388732,0.06761825022925758
SPRINGVALE,0.03515421692157526,0.07121880459208305,0.09258794858191138,0.06632032336518989
COBURG,0.02835122353712576,0.14152154607924006,0.02843260025378482,0.06610178995671688
BRIGHTON EAST,0.03358895251686587,0.13785381395797539,0.025770475450469475,0.06573774730843691
PARKVILLE,0.17304440154149742,-0.011970185768792978,0.035416822310154146,0.06549701269428619
SEDDON,0.0862200985911941,0.11618267106475634,-0.009877877704004194,0.06417496398398208
NUNAWADING,0.026221781303423713,0.0856668921639801,0.07978966712133444,0.06389278019624609
DONCASTER,0.03736557239395246,0.055026285481052276,0.09756635498263833,0.06331940428588102
BELMONT,0.06827498311791266,0.08262573946234361,0.032928906159218695,0.06127654291315832
CORIO,0.12781190792995045,0.0645483962134447,-0.009434654842625331,0.06097521643358994
GEELONG,0.02691460717632405,0.09213622459225138,0.0629219201661782,0.06065758397825121
CARLTON NORTH,0.07161625771902515,0.10363323277497635,0.006523677223388686,0.06059105590579673
FAIRFIELD,0.06321625776064754,0.10284640808780184,0.01508076852319374,0.0603811447905477
HEIDELBERG,0.035806714685289016,0.02920674491984056,0.1147729355770648,0.05992879839406479
SWAN HILL,0.08436369672979958,0.06065754760040054,0.03390634922031545,0.05964253118350519
WENDOUREE,0.0702529869227498,0.10797586434960345,0.00025195773642210426,0.05949360300292512
ALBERT PARK,0.07772595890027305,0.02268797183673433,0.07771707941411422,0.059377003383707196
MIDDLE PARK,0.07772595890027305,0.02268797183673433,0.07764728882860446,0.059353739855203945
ALPHINGTON,0.06321625776064754,0.10284640808780184,0.01177789142414634,0.059280185757531904
