,Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population",crime_rate
0,2021,December,1 North West Metro, Banyule,5418,4122.096863362,0.041220968633619993
1,2021,December,1 North West Metro, Brimbank,12682,6252.185377446,0.06252185377446
2,2021,December,1 North West Metro, Darebin,9563,5800.002842383,0.05800002842383
3,2021,December,1 North West Metro, Hobsons Bay,4567,4691.164939436,0.04691164939436
4,2021,December,1 North West Metro, Hume,12588,5126.172194369,0.05126172194369
5,2021,December,1 North West Metro, Maribyrnong,7001,7453.874821439,0.07453874821439
6,2021,December,1 North West Metro, Melbourne,24648,14717.311415436,0.14717311415436
7,2021,December,1 North West Metro, Melton,8987,4997.810400896,0.04997810400896
8,2021,December,1 North West Metro, Moonee Valley,6083,4650.938808824,0.046509388088240004
9,2021,December,1 North West Metro, Moreland,9337,4992.6901475,0.04992690147500001
10,2021,December,1 North West Metro, Nillumbik,1377,2122.901086559,0.02122901086559
11,2021,December,1 North West Metro, Whittlesea,9384,3941.663565461,0.03941663565461
12,2021,December,1 North West Metro, Wyndham,12168,4186.41795418,0.0418641795418
13,2021,December,1 North West Metro, Yarra,9273,9194.645399041,0.09194645399040999
14,2021,December,1 North West Metro,Total,133076,5797.152342281,0.05797152342281
15,2021,December,2 Eastern, Alpine,386,2946.932255074,0.029469322550739998
16,2021,December,2 Eastern, Bass Coast,2149,5569.24854334,0.055692485433399996
17,2021,December,2 Eastern, Baw Baw,3109,5530.330947281,0.055303309472809994
18,2021,December,2 Eastern, Benalla,1003,7053.441411565,0.07053441411565
19,2021,December,2 Eastern, Boroondara,5540,3110.581853395,0.03110581853395
20,2021,December,2 Eastern, East Gippsland,3606,7485.83973659,0.0748583973659
21,2021,December,2 Eastern, Greater Shepparton,5915,8790.615916565,0.08790615916565
22,2021,December,2 Eastern, Indigo,408,2383.452041515,0.02383452041515
23,2021,December,2 Eastern, Knox,7081,4309.75787526,0.0430975787526
24,2021,December,2 Eastern, Latrobe,7999,10489.487977913,0.10489487977913
25,2021,December,2 Eastern, Manningham,3000,2354.276638289,0.02354276638289
26,2021,December,2 Eastern, Mansfield,365,3807.269724604,0.03807269724604
27,2021,December,2 Eastern, Maroondah,5319,4474.555469904,0.044745554699040006
28,2021,December,2 Eastern, Mitchell,2492,5134.217038305,0.051342170383049994
