,SA2,2010_income,2011_income,2012_income,2013_income
124,106031125,48305,51799,53456,54200
125,106041126,60587,65508,68160,70550
126,106041127,52623,56821,59542,57704
127,106041128,53478,56740,76681,143305
128,106041129,47014,50747,51921,55310
129,107011131,45587,48352,49749,50944
130,107011132,53472,55616,57784,58671
131,107011133,na,na,na,na
132,107011134,54924,57746,58656,59672
133,107011545,43728,46128,47284,48546
134,107011546,44474,47150,47609,48749
135,107011547,44860,47435,48715,50216
136,107021135,na,na,na,na
137,107031136,50387,53160,54768,56509
138,107031137,44326,46443,48033,50356
139,107031138,49914,52500,55567,58129
140,107031139,51418,54907,56416,57057
141,107031140,51499,55618,55888,57863
142,107031141,52547,55995,58400,60283
143,107031142,48035,51117,52650,54069
144,107031143,44102,45659,47119,48083
145,107041144,51391,54951,56188,57517
146,107041145,48465,51610,53678,54456
147,107041146,51979,54503,56505,58726
148,107041147,57089,59348,62730,62967
149,107041148,63613,65912,70320,72782
150,107041150,54458,58506,61234,63339
151,107041548,52101,54716,56442,58253
152,107041549,51229,52609,55254,56723
153,108011151,38210,42756,43905,43432
154,108011152,37793,39333,42429,42745
155,108011153,35561,37820,40081,38977
156,108011154,32618,34797,37798,38443
157,108021155,36990,38294,40071,41056
158,108021156,33676,35813,37158,37949
159,108021157,35369,37097,39023,42055
160,108021158,34415,36606,38051,40327
161,108021159,33375,36069,36744,39064
162,108021160,34518,38069,39403,40805
163,108031161,41615,43036,45993,49532
164,108041162,34879,37533,40079,41191
165,108041163,43495,46245,48565,49514
166,108041164,39481,40980,43910,45654
167,108041165,36612,37369,37894,39228
168,108041166,39506,41394,43612,45021
169,108051167,37463,39401,39047,39586
170,108051168,41326,42689,46255,45739
171,108051169,38598,40317,41934,42986
172,108051170,33968,36834,37856,38188
173,108051171,37348,39338,41011,41567
174,109011172,51293,53084,53623,55340
175,109011173,42319,45167,45995,48098
176,109011174,52973,55017,57293,58528
177,109011175,44815,46238,47076,48452
178,109011176,41060,42070,43377,44466
179,109021177,38281,43690,42323,46260
180,109021178,39454,41695,42793,43904
181,109021179,39767,41946,42755,42720
182,109031180,42313,43640,45451,46301
183,109031181,42840,41801,45933,46288
184,109031182,40994,41032,43641,46053
185,109031183,34215,35008,38458,41203
186,109031184,41496,45178,48055,49042
187,109031185,38528,39750,41834,43855
188,110011186,44256,46195,47958,48977
189,110011187,35273,37486,36715,36481
190,110011188,38557,41331,41601,41944
191,110011189,37631,39888,35930,34433
192,110021190,33630,36318,34591,35628
193,110021191,38516,40616,41907,43892
194,110021192,29400,33302,29950,31669
195,110021193,30802,33855,31177,29995
196,110021194,31046,33155,32961,33856
197,110031195,49883,51268,55245,53958
198,110031196,45143,55686,54480,51823
199,110031197,44722,48915,51894,55147
200,110031198,42716,44587,44723,42818
201,110041199,45406,50533,51519,53735
202,110041200,41511,41993,42349,47349
203,110041201,39917,41303,40928,41785
204,110041202,44043,46455,46818,47520
205,110041203,48990,49830,52969,54515
206,110041204,38107,39865,41183,41766
207,110041205,40238,42894,44117,45284
208,111011206,50787,54205,56640,59222
209,111011207,46436,50017,50872,52305
210,111011208,52058,55005,56869,56969
211,111011209,51536,53895,55707,56523
212,111011210,45764,48185,50449,51656
213,111011211,57302,60233,63951,64974
214,111011212,46712,50512,53551,54271
215,111011213,59289,63664,66577,66086
216,111011214,51643,55343,57172,58531
217,111021215,45075,48148,50427,50514
218,111021216,44619,48002,50166,50938
219,111021217,49674,52905,55478,56002
220,111021218,43191,46097,47968,49596
221,111021219,51016,54687,56584,57735
222,111021220,52012,55445,56803,58626
223,111021221,48049,50665,52104,52390
224,111031222,50875,53689,56672,57939
225,111031223,44730,47402,46911,48018
226,111031224,56990,60758,62930,64374
227,111031225,56810,60391,62818,63785
228,111031226,51244,55439,57440,58592
229,111031227,46334,49456,51106,51673
230,111031228,68484,72240,75621,79268
231,111031229,67498,71516,76342,85775
232,111031230,na,na,na,na
233,111031231,38477,40427,41533,42038
234,111031232,51860,55361,57762,57071
235,111031233,48278,50768,52368,52805
236,111031234,46448,49582,51853,51783
237,111031235,50359,52691,55848,55619
238,112011236,38773,40625,42720,43996
239,112011237,41340,42817,44800,47130
240,112011238,44514,47612,48074,53928
241,112011239,37440,38264,40691,42828
242,112011240,38594,41956,44334,46551
243,112011241,37225,39412,40605,42304
244,112011242,47671,50624,55184,56248
245,112011243,34015,35399,36902,40091
246,112021244,36778,38851,40465,41406
247,112021245,30974,32814,33043,34982
248,112021246,41132,43533,45614,46303
249,112021247,32493,33918,35676,36538
250,112021248,37930,39788,41488,43227
251,112021249,39692,41576,42020,44149
252,112031250,46149,49743,53051,56011
253,112031251,38439,39682,41320,42120
254,112031252,38791,40704,41714,43125
255,112031253,40080,42751,45587,46921
256,112031254,39720,41914,44155,46618
257,112031550,39107,41502,44082,45187
258,112031551,46196,46666,51320,52598
259,112031552,35880,38299,39952,40751
260,113011256,42499,44267,46159,47734
261,113011257,42232,42165,46280,49186
262,113011258,40914,42158,44380,46052
263,113011259,43310,42226,43030,45833
264,113021260,41968,42659,42012,44164
265,113021261,47286,48835,49944,51838
266,113021262,44412,45864,44930,47431
267,113031263,42669,45374,46080,48285
268,113031264,43451,42345,42776,45986
269,113031265,46756,48019,48025,47518
270,113031266,43084,41377,44681,46686
271,113031267,50178,53097,54930,56481
272,113031268,45950,48692,51123,52097
273,113031269,48015,49536,51947,52935
274,113031270,48873,50777,53214,55509
275,113031271,45203,46294,48300,50479
276,114011272,46242,46869,48159,50743
277,114011273,41087,40517,44366,44030
278,114011274,40307,41530,42126,42868
279,114011275,na,na,50779,29469
280,114011276,45510,48065,50229,52975
281,114011277,44945,46506,48561,49696
282,114011278,42747,44846,46411,47230
283,114011279,37204,38618,40487,41895
284,114011280,32075,35381,36457,37375
285,114011281,40699,43482,46528,48501
286,114011282,35374,37463,38829,40636
287,114011283,35904,38283,39995,40681
288,114021284,56582,57303,62009,62362
289,114021285,45251,48292,49581,52069
290,114021286,48914,51630,53702,57522
291,114021287,46322,47928,50052,51282
292,114021288,53413,58352,59732,63579
293,114021289,45196,49200,48322,51589
294,115011290,55545,57425,59635,61227
295,115011291,62849,64903,67916,69547
296,115011294,74867,75550,77820,79371
297,115011296,75710,78168,82175,84844
298,115011553,58598,62774,64487,63519
299,115011554,63713,67028,70622,71704
300,115011555,66406,68281,72494,73305
301,115011556,64331,66787,69193,70977
302,115011557,69290,71870,73424,73989
303,115011558,62393,65009,67933,68423
304,115011559,61544,63683,66414,67634
305,115021297,72032,72449,73943,76645
306,115021298,64676,67231,67440,68825
307,115031299,43323,46154,49271,50440
308,115031300,50438,52711,55950,57754
309,115041301,50851,54966,56985,59025
310,115041302,62000,63999,66116,68608
311,116011303,43512,46081,46954,48339
312,116011304,44570,46446,48171,48850
313,116011306,46251,48520,51072,52362
314,116011307,50219,52092,54306,55703
315,116011308,47259,49228,50367,51951
316,116011560,44533,46162,48082,48802
317,116011561,44496,46274,48238,48840
318,116021309,56012,58826,60829,61951
319,116021310,60177,62649,65047,66956
320,116021312,46883,49107,50975,53961
321,116021562,55723,57113,60087,60693
322,116021563,51437,53763,55912,57082
323,116031313,39294,41219,42577,43392
324,116031314,47110,47978,50019,51174
325,116031315,46613,48954,50753,51442
326,116031316,41687,44116,45817,47312
327,116031317,40373,42368,44401,44441
328,116031318,48824,59170,134619,140266
329,116031319,46644,48892,50424,51349
330,117011320,58831,54546,68496,57286
331,117011321,56274,58187,61680,64032
332,117011322,48159,50786,52591,54266
333,117011323,50289,52725,54705,56789
334,117011324,na,na,na,na
335,117011325,na,na,na,na
336,117021326,53061,55736,58433,60585
337,117021327,64050,66699,68929,71087
338,117021328,54402,58281,59180,60976
339,117031329,74500,79834,83171,87772
340,117031330,71593,73030,75900,78362
341,117031331,70779,73599,76754,78262
342,117031332,62294,64748,67966,69533
343,117031333,76815,76605,82123,85643
344,117031334,65507,68672,70486,74101
345,117031335,56599,59914,61190,63632
346,117031336,66913,70304,74009,77177
347,117031337,53876,57042,61572,68031
348,117031338,58077,58656,61173,64442
349,118011339,87455,87231,92906,102283
350,118011340,72567,77905,81025,87806
351,118011341,75144,77291,78994,83013
352,118011342,na,na,na,na
353,118011343,135486,137581,146515,160859
354,118011344,87061,92770,96769,100068
355,118011345,104895,105824,109913,116211
356,118011346,154036,152920,154965,163424
357,118011347,122725,133296,128992,136738
358,118021348,79387,83615,86896,91315
359,118021350,56960,59860,62698,65361
360,118021564,64846,65489,67724,71338
361,118021565,53635,55564,58325,61160
362,118021566,70828,75446,78354,80989
363,118021567,58939,60359,63368,65701
364,118021568,54663,57755,59930,62657
365,118021569,77055,80622,84442,87453
366,118021570,66996,70277,72507,76786
367,119011354,43837,46112,48200,48783
368,119011355,46912,63345,59969,51352
369,119011356,43060,44725,46369,48235
370,119011357,39931,41945,44230,45250
371,119011358,48335,50616,52780,54406
372,119011359,52380,55028,56662,58445
373,119011360,47771,49402,52122,53282
374,119011361,41288,43227,44947,46039
375,119011571,40151,43098,45242,44688
376,119011572,39112,41241,43349,43993
377,119021362,42237,44408,46232,47349
378,119021363,37993,39797,41562,42697
379,119021364,52344,54674,57451,59918
380,119021366,39504,38950,40909,41699
381,119021367,45032,46306,47563,49570
382,119021573,34556,36765,38234,38255
383,119021574,36028,37922,40074,40029
384,119031368,41877,43287,44951,46426
385,119031369,54068,55934,57747,59581
386,119031370,45123,47703,49779,50308
387,119031371,64967,66358,67271,69373
388,119031372,54097,56422,58722,60650
389,119031373,40230,41500,44037,44716
390,119031374,57003,59426,61357,63401
391,119041375,48538,50876,52689,53888
392,119041376,46051,48499,50062,51455
393,119041377,51287,53120,54977,56943
394,119041378,46751,49195,51751,52501
395,119041379,50673,52664,54600,55407
396,119041380,51849,53998,56404,58630
397,119041381,41675,44572,46660,48317
398,119041382,58448,60205,62175,64361
399,120011383,69630,77092,75776,78298
400,120011384,56556,58526,59970,61515
401,120011385,79398,81145,85602,89745
402,120011386,69833,71707,74091,77622
403,120021387,106436,108439,111189,118640
404,120021388,73873,77630,81055,84043
405,120021389,85505,88116,92173,94343
406,120031390,48285,51672,53326,54993
407,120031391,49703,51143,53203,54769
408,120031392,55206,58366,60041,61617
409,120031393,49868,52612,55066,56708
410,120031394,59793,62182,64400,66630
411,120031395,69202,72574,75397,82507
412,120031396,45199,49146,51003,51816
413,120031575,57735,60122,64046,65613
414,120031576,51787,54565,58048,59325
415,121011398,67739,69852,72259,73682
416,121011399,69443,71419,73925,75749
417,121011400,102353,102966,109120,111027
418,121011401,82776,84825,88131,91290
419,121011402,108001,110949,115519,126472
420,121021403,57095,59243,61404,63037
421,121021404,57042,59079,60729,62611
422,121021406,61231,63554,66149,67704
423,121021577,51059,52919,54791,55147
424,121021578,56472,58307,59725,61224
425,121021579,57366,60935,62435,63222
426,121031407,102362,98982,102003,104609
427,121031408,106216,108111,110653,116449
428,121031409,93321,98354,99638,102380
429,121031410,83446,85992,88490,91004
430,121031411,82216,83253,87307,91659
431,121031412,98242,98374,103533,108961
432,121041413,96573,99921,105789,108659
433,121041414,81786,83561,87263,89742
434,121041415,138641,135798,142467,155115
435,121041416,92133,94681,102498,101287
436,121041417,115348,116338,114877,109085
437,122011418,98342,101191,105707,112569
438,122011419,80623,78795,82736,93254
439,122021420,78158,81199,80167,86439
440,122021421,76166,77673,80837,86053
441,122021422,75110,76436,80133,81537
442,122021423,61370,63466,65795,68168
443,122031424,53512,56142,58972,61136
444,122031425,55678,58637,61666,62722
445,122031426,58404,61583,64219,65817
446,122031427,67682,70617,74767,77410
447,122031428,65070,67495,69272,72707
448,122031429,70506,73403,76269,89777
449,122031430,63884,66509,70177,71887
450,122031431,63582,66228,71314,72396
451,122031432,90901,92325,90808,92069
452,123011433,55274,58280,60081,61544
453,123011434,55901,58788,61710,62958
454,123011435,53853,56600,59137,60547
455,123021436,45590,47554,48109,49370
456,123021437,46603,49514,50864,51878
457,123021438,46544,48565,50809,51363
458,123021439,na,na,na,na
459,123021440,49198,50880,52871,54090
460,123021441,47339,49623,50910,51682
461,123021442,44872,46747,48704,49411
462,123021443,44895,46965,48423,49253
463,123021444,47620,49824,52439,52836
464,123031445,47822,51162,52563,53509
465,123031446,54630,57554,60620,62880
466,123031447,49680,52085,54847,56280
467,123031448,53801,59109,58499,60000
468,124011449,45994,47755,49234,49177
469,124011450,56633,59801,61655,63257
470,124011451,na,na,na,na
471,124011452,43913,46923,47819,48969
472,124011453,48875,51118,52772,54026
473,124011454,52468,55011,57223,58739
474,124011455,47704,50774,52046,53657
475,124021456,na,na,na,na
476,124031457,47395,49995,51785,52804
477,124031458,49672,52212,56119,57684
478,124031459,53756,56299,58224,59744
479,124031460,55903,58826,60490,62173
480,124031461,49107,51186,53248,54663
481,124031462,47426,49631,51159,52355
482,124031463,56284,58197,62528,64781
483,124031464,46430,48573,50775,52360
484,124031465,49469,51773,54962,56874
485,124041466,47295,49655,50388,52770
486,124041467,48618,50573,52730,54904
487,124041468,47377,50176,53690,53861
488,124051469,50132,52767,54979,56499
489,124051470,47982,50145,52478,53551
490,124051580,44296,46390,47793,48143
491,124051581,43116,45269,46208,46961
492,125011473,61136,62505,64846,64573
493,125011475,na,na,na,na
494,125011582,34388,36185,37099,36838
495,125011583,32048,33971,35732,35637
496,125011584,38463,40024,41024,41553
497,125011585,40103,41644,42873,43370
498,125011586,40870,43190,45334,45860
499,125011587,41145,42626,44935,46191
500,125021476,53554,55000,56540,57905
501,125021477,48400,50553,52802,54634
502,125021478,51863,53415,55666,56624
503,125031479,41969,43942,45341,45585
504,125031480,37970,39621,41142,42129
505,125031481,39508,41699,42624,43907
506,125031482,50153,52285,54626,56195
507,125031483,38098,40352,41871,42702
508,125031484,42583,44607,46369,46042
509,125031485,42979,44889,46731,47939
510,125031486,77554,78022,67490,74793
511,125031487,na,35430,42085,45687
512,125041489,48829,51501,53443,55199
513,125041490,56299,58262,60920,62789
514,125041491,52710,55170,57522,58454
515,125041492,41893,44526,47297,49182
516,125041493,48111,50887,52433,54065
517,125041494,54004,56527,58119,60619
518,125041588,47089,49928,51708,53917
519,125041589,47721,49948,52845,54259
520,126011495,60164,62376,64730,66023
521,126011496,70866,73829,77732,79724
522,126021497,55240,56292,57921,59329
523,126021498,75622,77432,79078,83515
524,126021499,129903,128235,138794,145133
525,126021500,51940,54429,56118,56913
526,126021501,58769,62557,64984,66141
527,126021503,52232,54346,57088,58121
528,126021590,75323,79366,79405,83481
529,126021591,53980,56216,59126,61110
530,127011504,36996,39020,41072,41492
531,127011505,46485,48801,49215,52295
532,127011506,50783,52385,56083,58921
533,127011592,40670,43327,45899,46159
534,127011593,50430,53689,55961,57796
535,127011594,43596,45651,48087,48754
536,127011595,45293,47045,48884,50538
537,127011596,47871,50338,52289,53916
538,127011597,50272,52937,55331,55995
539,127021509,42052,44389,46019,46907
540,127021510,46654,49244,50517,52397
541,127021511,36382,38470,39556,40236
542,127021512,40449,41328,43046,44122
543,127021513,37887,39949,41072,42106
544,127021514,45674,46992,48487,50075
545,127021515,38150,39801,41930,42513
546,127021516,40151,41546,43049,44128
547,127021517,44011,45699,48909,49326
548,127021518,54373,57153,61235,61381
549,127021519,43070,45092,47056,48090
550,127021520,42730,44731,46399,47110
551,127021521,60446,55722,60679,57266
552,127031522,48109,50520,52917,53078
553,127031523,50206,52668,54370,56126
554,127031524,55577,57571,59835,61412
555,127031598,41246,43939,44820,45807
556,127031599,40028,41647,43088,43797
557,127031600,50303,52256,54280,55124
558,127031601,41936,43416,45106,44933
559,128011529,60608,63157,65760,67751
560,128011530,56119,59150,60878,63381
561,128011531,61033,62928,64876,66293
562,128011602,53749,56211,58561,60265
563,128011603,65681,70047,71895,74908
564,128011604,62971,65168,68762,71669
565,128011605,83582,85038,88299,90033
566,128011606,79762,82945,86177,96318
567,128021533,52315,54015,56538,57170
568,128021534,61269,63784,66425,67263
569,128021535,59289,61712,63994,65740
570,128021536,62786,64723,67991,69588
571,128021537,na,na,na,na
572,128021538,53052,55109,57204,59180
573,128021607,52081,54423,56408,58374
574,128021608,55563,58260,61489,61575
575,128021609,62440,64850,66602,68745
576,197979799,na,na,na,na
577,199999499,na,na,na,na
578,201011001,49967,51670,52993,54625
579,201011002,57063,61177,63669,65507
580,201011003,46159,48947,50872,52024
581,201011004,40180,41918,43625,44722
582,201011005,51017,53538,55675,56765
583,201011006,40802,43298,45581,46312
584,201011007,44262,45270,47339,49268
585,201011008,39939,41696,43593,44267
586,201021009,47061,50218,51399,52574
587,201021010,40476,43597,44973,45298
588,201021011,41096,42418,43007,44634
589,201021012,44957,45825,48620,49888
590,201031013,32721,33238,34430,36570
591,201031014,36015,37839,37320,39510
592,201031015,39489,41814,43143,43803
593,201031016,36414,38101,39191,39450
594,201031017,33132,35649,36984,38189
595,202011018,44658,48021,49764,50960
596,202011019,37866,40336,41954,42756
597,202011020,47145,48835,51149,52387
598,202011021,44607,47467,49304,49064
599,202011022,39900,41968,43556,44458
600,202011023,46813,49457,51118,52207
601,202011024,51630,54394,57426,59180
602,202011025,43379,45791,47664,48548
603,202021026,47006,48891,49889,52418
604,202021027,40507,42126,43743,44849
605,202021028,39474,41137,42789,41706
606,202021029,37132,39319,40284,43281
607,202021030,46185,47268,48726,51634
608,202021031,56196,57842,60277,60928
609,202031032,40426,42158,44589,46148
610,202031033,33691,35570,39514,40013
611,203011034,49296,52564,53210,55113
612,203011035,43416,46344,47437,49454
613,203011036,46830,48483,49429,48701
614,203021037,44663,46221,48340,49792
615,203021038,40029,41552,42902,44191
616,203021039,53269,55308,56807,58455
617,203021040,48254,51040,53671,54610
618,203021041,44258,46767,48517,49425
619,203021042,61312,57021,59167,59660
620,203021043,50714,53609,55388,55624
621,203021044,45652,48272,49507,51019
622,203021045,40704,42384,43982,44950
623,203021046,65621,69703,69854,73628
624,203021047,45835,47804,48746,50618
625,203031048,43973,46171,47491,49036
626,203031049,42977,45995,46380,48628
627,203031050,50642,52785,54335,56976
628,203031051,40318,41979,44031,45238
629,203031052,49921,53193,55084,57043
630,203031053,53894,56781,57901,61020
631,204011054,38660,38781,38557,39171
632,204011055,36325,37901,38598,40612
633,204011056,46273,48076,50285,50762
634,204011057,38055,39051,39684,40695
635,204011058,40262,42017,43060,44905
636,204011059,41911,43619,44543,45874
637,204011060,46713,52530,49786,52533
638,204011061,32187,34209,35060,36649
639,204011062,38424,40221,40928,41724
640,204021063,40730,41734,43334,44302
641,204021064,36029,38082,38811,41059
642,204021065,43245,43670,45759,48054
643,204021066,41431,43536,45614,47226
644,204021067,38225,40225,41188,44686
645,204031068,42766,43344,43885,46172
646,204031069,36289,38178,39083,41666
647,204031070,44630,45175,46104,47467
648,204031071,38090,39138,40908,42256
649,204031072,40644,42750,41416,44243
650,204031073,45951,46606,48194,50906
651,204031074,44050,46987,48694,50410
652,204031075,46258,48253,48787,50222
653,205011076,41781,43397,43959,45975
654,205011077,44176,45464,45050,49289
655,205011078,47204,49429,49663,52033
656,205011079,46449,48585,49059,50933
657,205021080,na,na,na,na
658,205021081,41383,43072,44563,45576
659,205021082,36463,38459,40142,41359
660,205021083,na,na,na,na
661,205021084,38704,39567,40582,42802
662,205021085,37399,38380,38720,41697
663,205021086,37928,39731,41478,42348
664,205031087,39151,39660,37098,42784
665,205031088,26091,25761,22575,20473
666,205031089,41104,42395,41076,44788
667,205031090,43200,44547,43732,47549
668,205031091,39488,41203,40773,41917
669,205031092,na,na,na,na
670,205031093,41558,42933,40933,42411
671,205041094,50859,52920,54495,56746
672,205041095,46590,48380,50006,51882
673,205041096,44134,45699,47128,48380
674,205041097,54436,56592,59021,59735
675,205041098,53284,55251,58339,60210
676,205051099,28239,21836,18343,29169
677,205051100,46122,48516,50421,54142
678,205051101,44224,47039,47223,49793
679,205051102,44836,47644,44057,49586
680,205051103,50131,53076,55468,57487
681,205051104,40271,43052,43208,55079
682,206011105,52100,55600,57142,57814
683,206011106,55119,56729,58966,58886
684,206011107,52931,54723,56811,58040
685,206011108,49437,52155,54078,55109
686,206011109,52991,56047,58224,59553
687,206021110,63409,69140,68272,70623
688,206021111,60901,63804,65625,67212
689,206021112,53212,56189,57675,60048
690,206031113,61537,64141,66592,70171
691,206031114,65736,68576,71609,71885
692,206031115,53202,56232,57459,58532
693,206031116,65275,68691,71215,72264
694,206041117,50158,52772,55741,58137
695,206041118,69732,73182,71884,72349
696,206041119,105396,107768,104960,116888
697,206041120,55712,62218,71078,73763
698,206041121,63012,65024,67157,67891
699,206041122,56465,54738,54176,57011
700,206041123,54967,56228,57669,59378
701,206041124,64303,63964,69002,66053
702,206041125,109471,102855,106727,127605
703,206041126,76885,71516,73232,74154
704,206041127,na,na,na,na
705,206051128,101191,105550,107915,112261
706,206051129,74196,77845,78251,81065
707,206051130,85293,87824,93019,95573
708,206051131,90766,86036,95756,83268
709,206051132,82798,88106,87449,87266
710,206051133,63720,65742,66453,69260
711,206051134,56503,59557,60990,62108
712,206061135,92214,95768,99631,106695
713,206061136,68847,69781,72231,72739
714,206061137,85017,82858,83613,90398
715,206061138,149052,148362,146406,161878
716,206071139,59621,63043,65938,63884
717,206071140,67919,71065,73098,76703
718,206071141,57944,61109,62028,64475
719,206071142,62772,66487,70405,72296
720,206071143,67362,71647,73041,76502
721,206071144,68504,71718,73467,77062
722,206071145,74313,76471,79710,80797
723,207011146,67845,72098,76336,81790
724,207011147,77115,81028,82777,87150
725,207011148,67979,69737,71711,72756
726,207011149,85242,87150,90295,94918
727,207011150,80271,84499,87597,90923
728,207011151,89721,95184,96673,99132
729,207011152,82058,85026,89435,90165
730,207011153,94041,97256,100950,103845
731,207011154,71894,74386,76520,82586
732,207011155,91519,98718,96629,105272
733,207021156,53339,55099,57460,58040
734,207021157,50406,51572,52619,53499
735,207021159,66783,69905,71111,72672
736,207021160,51892,53977,56291,57906
737,207021424,52263,54486,56065,57347
738,207021425,46149,48800,50623,51526
739,207031161,55687,58672,60949,62466
740,207031162,50743,53310,56287,57535
741,207031163,50170,52535,54283,55332
742,207031164,53736,56240,57688,59763
743,207031165,49034,50544,52698,53421
744,207031166,44338,46745,49250,49256
745,207031167,76486,75737,78736,82193
746,208011168,74735,77676,80358,84379
747,208011169,113694,116749,118592,126031
748,208011170,75248,80894,82818,85995
749,208011171,57901,60771,63763,66158
750,208011172,79817,81481,84517,88632
751,208011173,82277,84671,87245,90711
752,208021174,59589,61828,66383,68627
753,208021176,54260,56431,59517,61256
754,208021177,74208,79252,81708,86392
755,208021178,67414,69808,71423,74687
756,208021179,71716,75791,77546,83299
757,208021180,52157,55469,56837,59027
758,208021181,56234,59056,61585,62636
759,208021182,53317,57070,58519,60836
760,208021426,52751,55284,59215,60662
761,208021427,51873,54409,57467,58427
762,208031183,51968,55078,57510,59481
763,208031184,79658,75205,85136,79921
764,208031185,58059,59292,60892,60312
765,208031186,49784,51686,53625,54938
766,208031187,46104,47880,50700,52422
767,208031188,49734,51900,54121,56079
768,208031189,54433,56328,58121,61504
769,208031190,55353,57505,59735,61707
770,208031191,52906,54596,56218,57775
771,208031192,na,na,na,na
772,208031193,56333,58286,61092,63310
773,208041194,92796,96937,98413,104655
774,208041195,81621,82678,86103,88953
775,209011196,45570,47332,48925,50038
776,209011197,52354,54124,55862,57505
777,209011198,56197,58573,60831,62707
778,209011199,44118,46532,48158,49242
