,SA2,2010_income,2011_income,2012_income,2013_income
0,101021007,40219,42319,43579,44619
1,101021008,52575,55144,57352,58792
2,101021009,52995,55416,57650,58375
3,101021010,58164,60016,62336,62814
4,101021011,65666,67875,69718,71469
5,101021012,67947,71295,73444,74993
6,101031013,41504,44088,43973,48797
7,101031014,45046,47356,47258,49602
8,101031015,40965,42384,43665,45820
9,101031016,42731,44211,45694,46597
10,101041017,35929,37708,39205,40126
11,101041018,38788,40815,42648,44374
12,101041019,42402,44141,45251,46322
13,101041020,36359,37881,38711,41399
14,101041021,42715,44226,45092,47180
15,101041022,29777,na,na,na
16,101041023,38837,42100,43310,43015
17,101041024,38466,40517,40067,41184
18,101041025,38640,40437,41959,43429
19,101041026,37841,38301,40438,41666
20,101041027,35316,36250,38329,38871
21,101051539,45964,47675,49659,50486
22,101051540,42849,44958,45498,46522
23,101061541,49765,51775,53850,53756
24,101061542,60886,62423,62059,64226
25,101061543,41113,42473,45050,46408
26,101061544,40248,42199,42635,43845
27,102011028,57908,60388,60046,60992
28,102011029,49152,51297,53838,55950
29,102011030,49572,49858,52673,53735
30,102011031,52659,54655,56765,58934
31,102011032,48255,50230,52623,54428
32,102011033,47938,50880,52872,53984
33,102011034,42237,45393,48255,49542
34,102011035,46017,48027,50215,52198
35,102011036,49101,51827,53602,54923
36,102011037,48261,50395,52982,55138
37,102011038,44722,47395,50385,52496
38,102011039,54889,58483,62037,62596
39,102011040,42910,45587,46770,48739
40,102011041,53573,56794,59959,61103
41,102011042,44147,46678,48783,49429
42,102011043,43269,45258,46911,48067
43,102021044,42555,44409,46540,48345
44,102021045,41289,43200,45478,46292
45,102021046,42390,44983,46704,47816
46,102021047,44534,47230,50181,51519
47,102021048,41012,42575,44314,45692
48,102021049,57150,57563,61945,67030
49,102021050,41147,44155,46682,47796
50,102021051,50833,54772,57306,59459
51,102021052,41985,45017,47228,48421
52,102021053,42666,44418,46999,49094
53,102021054,40716,43697,45636,47193
54,102021055,46177,48806,51203,52991
55,102021056,47873,50058,52729,53999
56,102021057,41455,44043,45886,46980
57,103011058,48235,50790,52930,53882
58,103011059,49971,53501,54513,56642
59,103011060,47137,49536,49115,50551
60,103011061,44515,44550,45052,47096
61,103021062,45963,42290,44593,48182
62,103021063,40400,39968,42178,43118
63,103021064,38306,39583,36745,40460
64,103021065,40943,42174,44063,48001
65,103021066,42724,38215,41329,44849
66,103021067,45988,48825,50972,50961
67,103021068,41652,37801,35799,40765
68,103021069,49512,44683,45886,52329
69,103031070,52125,54256,54686,56577
70,103031071,51398,54107,53404,54733
71,103031072,48921,54619,58076,59882
72,103031073,43645,47611,42337,45729
73,103031074,41747,45192,46827,47747
74,103031075,na,na,na,na
75,103041076,46692,50198,50423,50246
76,103041077,47969,50825,52284,52995
77,103041078,53361,57480,59107,60375
78,103041079,47525,51176,52886,53599
79,104011080,38393,40030,41624,43004
80,104011081,33890,35250,36681,38594
81,104011082,33736,35857,37335,39037
82,104021083,36458,38967,40404,42318
83,104021084,40273,42375,43784,45617
84,104021085,41537,43218,45304,47850
85,104021086,41021,43579,48382,44678
86,104021087,30026,31369,31458,32910
87,104021088,46685,49022,52572,51362
88,104021089,39271,41688,44393,46317
89,104021090,36060,39378,42363,43564
90,104021091,35740,39069,40212,41542
91,105011092,46556,46781,43524,44707
92,105011093,55434,58161,62124,67242
93,105011094,49162,40100,44884,37321
94,105011095,48481,46667,50096,50685
95,105011096,43776,42278,49133,31709
96,105021097,46410,50434,53110,53639
97,105021098,47430,50558,47062,53870
98,105031099,36734,36825,36515,37801
99,105031100,47152,49506,51393,52239
100,105031101,46699,49586,51258,52327
101,105031102,48344,50215,51103,52753
102,105031103,42914,46171,45294,47899
103,105031104,40877,38335,40157,39123
104,105031105,43320,43248,44469,45685
105,105031106,41138,42439,41222,43806
106,106011107,57556,62852,65794,66326
107,106011108,48086,53382,55532,53903
108,106011109,47631,51337,54838,55803
109,106011110,44763,48073,48228,48645
110,106011111,47117,50590,51335,51493
111,106011112,66310,71623,75814,73025
112,106011113,57108,60932,64135,65610
113,106021114,54038,55953,58335,60061
114,106021115,51589,54879,56708,57180
115,106021116,61396,68263,66812,69599
116,106021117,53598,59002,60882,60323
117,106021118,53600,57495,59469,59562
118,106031119,44154,48897,52638,52059
119,106031120,41942,45317,46743,47440
120,106031121,43630,46402,48760,50367
121,106031122,44781,47392,48918,49509
122,106031123,56971,60677,59842,60702
123,106031124,36105,39099,39556,41169
