,SA2,2005_income,2006_income,2007_income,2008_income,2009_income
1204,309051243,35289,39114,40516,43224,47217
1205,309051244,35721,38461,40183,41311,42683
1206,309051245,32774,35491,36740,38617,40193
1207,309061246,33949,36603,37521,39538,40476
1208,309061247,34356,37027,38138,39948,40980
1209,309061248,33950,36601,37521,39538,40473
1210,309061249,33949,36605,37521,39535,40473
1211,309061250,35725,38459,40187,41310,42682
1212,309071251,35676,38914,40631,42709,43738
1213,309071252,43160,47818,47643,49981,51567
1214,309071253,43110,47771,47567,49910,51495
1215,309071254,35888,38738,40833,42486,43839
1216,309071255,37294,40211,42470,43917,45673
1217,309071256,36236,39110,41207,42525,43096
1218,309071257,35686,38915,40620,42719,43731
1219,309071258,35703,38905,40654,42669,43679
1220,309081259,36178,38591,38819,40981,42071
1221,309081260,36113,38507,38746,40928,42002
1222,309081261,36104,38394,38703,40908,41871
1223,309081262,32077,34919,36425,38267,40030
1224,309091263,35499,37293,38521,39927,41433
1225,309091264,35499,37286,38512,39913,41422
1226,309091265,35496,37288,38519,39922,41431
1227,309091266,34320,36847,36039,37117,37659
1228,309101267,45959,49715,45971,48081,49111
1229,309101268,45964,49709,45968,48075,49116
1230,309101269,45963,49724,45983,48083,49108
1231,309101270,45957,49714,45974,48081,49114
1232,310011271,34629,36878,38604,39546,41124
1233,310011272,32222,33865,35590,37119,38107
1234,310011273,37823,40215,42017,44069,44670
1235,310011274,30961,32490,34186,35600,36500
1236,310011275,47327,50783,52782,55659,58183
1237,310011276,33512,35670,37866,39648,41662
1238,310021277,30434,32259,33615,34970,35900
1239,310021278,28214,29621,31393,32912,33709
1240,310021280,30077,32759,34173,36556,36954
1241,310021281,33567,35868,37897,39996,40694
1242,310021282,35250,37321,39195,41196,43651
1243,310031283,35307,37457,39021,41186,42163
1244,310031284,32970,34934,36214,38009,39505
1245,310031285,35312,37455,39019,41192,42160
1246,310031286,35311,37457,39013,41181,42160
1247,310031287,34349,36402,37759,39717,40958
1248,310031288,37878,40327,42228,44414,46403
1249,310031289,38139,40619,42561,44757,46835
1250,310031290,38135,40614,42549,44750,46818
1251,310031291,35522,37690,39282,41452,42510
1252,310031292,35313,37463,39015,41182,42160
1253,310031293,35312,37459,39019,41185,42160
1254,310031294,37807,40265,42149,44341,46294
1255,310031295,29149,31320,33849,36200,36990
1256,310041296,35801,38065,40477,43211,45452
1257,310041297,35804,38071,40478,43210,45462
1258,310041299,34311,36564,38507,40269,40504
1259,310041300,35737,37999,40383,43070,45202
1260,310041302,34314,36562,38503,40267,40502
1261,310041303,35803,38073,40478,43221,45458
1262,310041304,35809,38064,40477,43210,45448
1263,311011305,33027,35160,36648,38327,40239
1264,311021306,33974,36524,38174,40085,40516
1265,311021307,33973,36527,38178,40088,40514
1266,311021308,33966,36516,38166,40073,40502
1267,311021309,33974,36530,38180,40093,40517
1268,311021310,33970,36522,38179,40084,40514
1269,311031311,35452,37515,39522,41754,42840
1270,311031312,35419,37593,39799,41286,42213
1271,311031313,33415,35342,36748,38744,39388
1272,311031314,31440,33143,35411,37356,37890
1273,311031316,35367,37549,39831,41244,42199
1274,311031317,31526,33244,35510,37438,37980
1275,311031318,34827,36852,38593,40416,40539
1276,311031319,35363,37549,39826,41239,42199
1277,311041320,35539,37748,39823,42075,43332
1278,311041321,34760,37193,38956,40798,42246
1279,311041322,34122,36688,38396,40303,40811
1280,311051323,32745,34393,35976,37836,38656
1281,311051324,39512,42283,44598,46684,48598
1282,311051325,37217,39942,41225,43263,44718
1283,311051326,32183,34688,36563,38011,38753
1284,311051327,38771,41302,42668,44958,46334
1285,311051328,33409,35322,36743,38733,39378
1286,311061329,37229,39628,40828,42945,43385
1287,311061330,29432,30982,32481,34032,34322
