,Postcode,Suburb,LGA,SA2_code,SA2_name
0,3000,MELBOURNE,Melbourne,206041122,Melbourne
1,3001,MELBOURNE,Moonee Valley,206041122,Melbourne
2,3002,EAST MELBOURNE,Yarra,206041119,East Melbourne
3,3003,WEST MELBOURNE,Melbourne,206041127,West Melbourne
4,3004,MELBOURNE,Yarra,206041126,Southbank
5,3004,ST KILDA ROAD CENTRAL,Yarra,206041125,South Yarra - West
6,3004,ST KILDA ROAD MELBOURNE,Yarra,206041125,South Yarra - West
7,3005,WORLD TRADE CENTRE,Melbourne,206041118,Docklands
8,3006,SOUTH WHARF,Port Phillip,206041126,Southbank
9,3006,SOUTHBANK,Port Phillip,206051132,South Melbourne
10,3008,DOCKLANDS,Melbourne,206041118,Docklands
11,3010,UNIVERSITY OF MELBOURNE,Melbourne,206041124,Parkville
12,3011,FOOTSCRAY,Moonee Valley,213031348,Footscray
13,3011,SEDDON,Moonee Valley,213031350,Seddon - Kingsville
14,3011,SEDDON WEST,Moonee Valley,213031350,Seddon - Kingsville
15,3012,BROOKLYN,Wyndham,213011338,Sunshine West
16,3012,KINGSVILLE,Wyndham,213031350,Seddon - Kingsville
17,3012,KINGSVILLE WEST,Wyndham,213031350,Seddon - Kingsville
18,3012,MAIDSTONE,Wyndham,213031347,Braybrook
19,3012,TOTTENHAM,Wyndham,213031351,West Footscray - Tottenham
20,3012,WEST FOOTSCRAY,Wyndham,213031351,West Footscray - Tottenham
21,3013,YARRAVILLE,Melbourne,213031352,Yarraville
22,3013,YARRAVILLE WEST,Melbourne,213031352,Yarraville
23,3015,NEWPORT,Melbourne,213021344,Newport
24,3015,SOUTH KINGSVILLE,Melbourne,213021344,Newport
25,3015,SPOTSWOOD,Melbourne,213021344,Newport
26,3016,WILLIAMSTOWN,Hobsons Bay,213021346,Williamstown
27,3016,WILLIAMSTOWN NORTH,Hobsons Bay,213021346,Williamstown
28,3018,ALTONA,Wyndham,213021341,Altona
29,3018,SEAHOLME,Wyndham,213021341,Altona
30,3019,BRAYBROOK,Moonee Valley,213031347,Braybrook
31,3019,BRAYBROOK NORTH,Moonee Valley,213031347,Braybrook
32,3019,ROBINSON,Moonee Valley,213031347,Braybrook
33,3020,ALBION,Wyndham,213011328,Ardeer - Albion
34,3020,GLENGALA,Wyndham,213011338,Sunshine West
35,3020,SUNSHINE,Wyndham,213011336,Sunshine
36,3020,SUNSHINE NORTH,Wyndham,213011337,Sunshine North
37,3020,SUNSHINE WEST,Wyndham,213011338,Sunshine West
38,3021,ALBANVALE,Melton,213011333,Kings Park (Vic.)
39,3021,KEALBA,Melton,213011332,Keilor Downs
40,3021,KINGS PARK,Melton,213011333,Kings Park (Vic.)
41,3021,ST ALBANS,Melton,213011334,St Albans - North
42,3022,ARDEER,Brimbank,213011328,Ardeer - Albion
43,3022,DEER PARK EAST,Brimbank,213011328,Ardeer - Albion
44,3023,BURNSIDE,Melton,213041461,Burnside
45,3023,BURNSIDE HEIGHTS,Melton,213041462,Burnside Heights
46,3023,CAIRNLEA,Melton,213011329,Cairnlea
47,3023,CAROLINE SPRINGS,Melton,213041463,Caroline Springs
48,3023,DEER PARK,Melton,213011330,Deer Park - Derrimut
49,3023,DEER PARK NORTH,Melton,213011330,Deer Park - Derrimut
50,3023,RAVENHALL,Melton,213041359,Rockbank - Mount Cottrell
51,3024,FIELDSTONE,Wyndham,213041359,Rockbank - Mount Cottrell
52,3024,MAMBOURIN,Wyndham,213051468,Werribee - West
53,3024,MANOR LAKES,Wyndham,213051369,Wyndham Vale
54,3024,MOUNT COTTRELL,Wyndham,213051365,Tarneit
55,3024,WYNDHAM VALE,Wyndham,213051369,Wyndham Vale
56,3025,ALTONA EAST,Wyndham,213021343,Altona North
57,3025,ALTONA GATE,Wyndham,213021343,Altona North
58,3025,ALTONA NORTH,Wyndham,213021343,Altona North
59,3026,DERRIMUT,Wyndham,213011330,Deer Park - Derrimut
60,3026,LAVERTON NORTH,Wyndham,213051363,Laverton
61,3027,LAVERTON RAAF,Wyndham,213051363,Laverton
62,3027,WILLIAMS LANDING,Wyndham,213051363,Laverton
63,3027,WILLIAMS RAAF,Wyndham,213051464,Point Cook - East
64,3028,ALTONA MEADOWS,Wyndham,213021342,Altona Meadows
65,3028,LAVERTON,Wyndham,213051363,Laverton
66,3028,SEABROOK,Wyndham,213021345,Seabrook
67,3029,HOPPERS CROSSING,Wyndham,213051361,Hoppers Crossing - North
68,3029,TARNEIT,Wyndham,213051365,Tarneit
69,3029,TRUGANINA,Wyndham,213051366,Truganina
70,3030,CHARTWELL,Wyndham,213011330,Deer Park - Derrimut
71,3030,COCOROC,Wyndham,213051368,Werribee - South
72,3030,POINT COOK,Wyndham,213051466,Point Cook - South
73,3030,QUANDONG,Wyndham,213051369,Wyndham Vale
74,3030,WERRIBEE,Wyndham,213051368,Werribee - South
75,3030,WERRIBEE SOUTH,Wyndham,213051368,Werribee - South
76,3031,FLEMINGTON,Moonee Valley,206031115,Flemington
77,3031,KENSINGTON,Moonee Valley,206041121,Kensington (Vic.)
78,3032,ASCOT VALE,Moreland,206031113,Ascot Vale
79,3032,HIGHPOINT CITY,Moreland,213031349,Maribyrnong
80,3032,MARIBYRNONG,Moreland,213031349,Maribyrnong
81,3032,TRAVANCORE,Moreland,206031115,Flemington
82,3033,KEILOR EAST,Moonee Valley,210011228,Keilor
83,3034,AVONDALE HEIGHTS,Moonee Valley,210011229,Keilor East
84,3036,KEILOR,Hume,210011228,Keilor
85,3036,KEILOR NORTH,Hume,213011340,Taylors Lakes
86,3037,CALDER PARK,Melton,213011340,Taylors Lakes
87,3037,DELAHEY,Melton,213011331,Delahey
88,3037,HILLSIDE,Melton,213041355,Hillside
89,3037,PLUMPTON,Melton,213041355,Hillside
90,3037,SYDENHAM,Melton,213011339,Sydenham
91,3037,TAYLORS HILL,Melton,213041360,Taylors Hill
92,3038,KEILOR DOWNS,Brimbank,213011332,Keilor Downs
93,3038,KEILOR LODGE,Brimbank,213011340,Taylors Lakes
94,3038,TAYLORS LAKES,Brimbank,213011340,Taylors Lakes
95,3038,WATERGARDENS,Brimbank,213011340,Taylors Lakes
96,3039,MOONEE PONDS,Moreland,206031116,Moonee Ponds
97,3040,ABERFELDIE,Moreland,206031114,Essendon - Aberfeldie
98,3040,ESSENDON,Moreland,206031114,Essendon - Aberfeldie
99,3040,ESSENDON WEST,Moreland,210011230,Niddrie - Essendon West
100,3041,ESSENDON FIELDS,Moreland,210011227,Essendon Airport
101,3041,ESSENDON NORTH,Moreland,206031114,Essendon - Aberfeldie
102,3041,STRATHMORE,Moreland,210011231,Strathmore
103,3041,STRATHMORE HEIGHTS,Moreland,210011231,Strathmore
104,3042,AIRPORT WEST,Moreland,210011226,Airport West
105,3042,KEILOR PARK,Moreland,210011228,Keilor
106,3042,NIDDRIE,Moreland,210011230,Niddrie - Essendon West
107,3042,NIDDRIE NORTH,Moreland,210011230,Niddrie - Essendon West
108,3043,GLADSTONE PARK,Moreland,210051245,Gladstone Park - Westmeadows
109,3043,GOWANBRAE,Moreland,210031439,Gowanbrae
110,3043,TULLAMARINE,Moreland,210051250,Tullamarine
111,3044,PASCOE VALE,Moreland,210031239,Pascoe Vale
112,3044,PASCOE VALE SOUTH,Moreland,206011109,Pascoe Vale South
113,3045,MELBOURNE AIRPORT,Hume,210051248,Melbourne Airport
114,3046,GLENROY,Moreland,210031438,Glenroy
115,3046,HADFIELD,Moreland,210031440,Hadfield
116,3046,OAK PARK,Moreland,210031239,Pascoe Vale
117,3047,BROADMEADOWS,Moreland,210051242,Broadmeadows
118,3047,DALLAS,Moreland,210051243,Campbellfield - Coolaroo
119,3047,JACANA,Moreland,210051242,Broadmeadows
120,3048,COOLAROO,Hume,210051243,Campbellfield - Coolaroo
121,3048,MEADOW HEIGHTS,Hume,210051247,Meadow Heights
122,3049,ATTWOOD,Hume,210051245,Gladstone Park - Westmeadows
123,3049,WESTMEADOWS,Hume,210051245,Gladstone Park - Westmeadows
124,3050,ROYAL MELBOURNE HOSPITAL,Moreland,206041124,Parkville
125,3051,HOTHAM HILL,Moonee Valley,206041123,North Melbourne
126,3051,NORTH MELBOURNE,Moonee Valley,206041123,North Melbourne
127,3052,MELBOURNE UNIVERSITY,Moreland,206041124,Parkville
128,3052,PARKVILLE,Moreland,206041124,Parkville
129,3053,CARLTON,Yarra,206041117,Carlton
130,3053,CARLTON SOUTH,Yarra,206041117,Carlton
131,3054,CARLTON NORTH,Yarra,206071140,Carlton North - Princes Hill
132,3054,PRINCES HILL,Yarra,206071140,Carlton North - Princes Hill
133,3055,BRUNSWICK SOUTH,Moreland,206011105,Brunswick
134,3055,BRUNSWICK WEST,Moreland,206011107,Brunswick West
135,3055,MOONEE VALE,Moreland,206011107,Brunswick West
136,3055,MORELAND WEST,Moreland,206011107,Brunswick West
137,3056,BRUNSWICK,Yarra,206011105,Brunswick
138,3056,BRUNSWICK LOWER,Yarra,206011105,Brunswick
139,3056,BRUNSWICK NORTH,Yarra,206011105,Brunswick
140,3057,BRUNSWICK EAST,Yarra,206011106,Brunswick East
141,3057,LYGON STREET NORTH,Yarra,206011106,Brunswick East
142,3057,SUMNER,Yarra,206011106,Brunswick East
143,3058,BATMAN,Moreland,206011108,Coburg
144,3058,COBURG,Moreland,206011108,Coburg
145,3058,COBURG NORTH,Moreland,210031236,Coburg North
146,3058,MERLYNSTON,Moreland,210031236,Coburg North
147,3058,MORELAND,Moreland,206011108,Coburg
148,3059,GREENVALE,Hume,210051246,Greenvale - Bulla
149,3060,FAWKNER,Moreland,210031237,Fawkner
150,3060,FAWKNER EAST,Moreland,210031237,Fawkner
151,3060,FAWKNER NORTH,Moreland,210031237,Fawkner
152,3061,CAMPBELLFIELD,Whittlesea,210051243,Campbellfield - Coolaroo
153,3062,SOMERTON,Whittlesea,210051249,Roxburgh Park - Somerton
154,3063,OAKLANDS JUNCTION,Hume,210051246,Greenvale - Bulla
155,3063,YUROKE,Hume,210051445,Mickleham - Yuroke
156,3064,CRAIGIEBURN,Whittlesea,210051441,Craigieburn - Central
157,3064,DONNYBROOK,Whittlesea,209041225,Whittlesea
158,3064,KALKALLO,Whittlesea,210051445,Mickleham - Yuroke
159,3064,MICKLEHAM,Whittlesea,210051445,Mickleham - Yuroke
160,3064,ROXBURGH PARK,Whittlesea,210051249,Roxburgh Park - Somerton
161,3065,FITZROY,Yarra,206071142,Fitzroy
162,3066,COLLINGWOOD,Yarra,206071141,Collingwood
163,3066,COLLINGWOOD NORTH,Yarra,206071141,Collingwood
164,3067,ABBOTSFORD,Yarra,206071139,Abbotsford
165,3068,CLIFTON HILL,Yarra,206071145,Yarra - North
166,3068,FITZROY NORTH,Yarra,206071143,Fitzroy North
167,3070,NORTHCOTE,Yarra,206021111,Northcote
168,3070,NORTHCOTE SOUTH,Yarra,206021111,Northcote
169,3071,THORNBURY,Moreland,206021112,Thornbury
170,3072,GILBERTON,Moreland,209021429,Preston - West
171,3072,NORTHLAND CENTRE,Moreland,209021428,Preston - East
172,3072,PRESTON,Moreland,209021428,Preston - East
173,3072,PRESTON LOWER,Moreland,209021429,Preston - West
174,3072,PRESTON SOUTH,Moreland,209021428,Preston - East
175,3072,PRESTON WEST,Moreland,209021429,Preston - West
176,3072,REGENT WEST,Moreland,209021429,Preston - West
177,3072,SYLVESTER,Moreland,209021428,Preston - East
178,3073,KEON PARK,Whittlesea,209041223,Thomastown
179,3073,RESERVOIR,Whittlesea,209021207,Reservoir - East
180,3073,RESERVOIR EAST,Whittlesea,209021207,Reservoir - East
181,3073,RESERVOIR NORTH,Whittlesea,209021207,Reservoir - East
182,3073,RESERVOIR SOUTH,Whittlesea,209021207,Reservoir - East
183,3074,THOMASTOWN,Whittlesea,209041223,Thomastown
184,3075,LALOR,Whittlesea,209041219,Lalor
185,3075,LALOR PLAZA,Whittlesea,209041219,Lalor
186,3076,EPPING,Whittlesea,209041433,Epping - West
187,3076,EPPING DC,Whittlesea,209041433,Epping - West
188,3078,ALPHINGTON,Yarra,206021110,Alphington - Fairfield
189,3078,FAIRFIELD,Yarra,206021110,Alphington - Fairfield
190,3079,IVANHOE,Yarra,209011200,Ivanhoe
191,3079,IVANHOE EAST,Yarra,209011201,Ivanhoe East - Eaglemont
192,3079,IVANHOE NORTH,Yarra,209011200,Ivanhoe
193,3081,BELLFIELD,Darebin,209011199,Heidelberg West
194,3081,HEIDELBERG HEIGHTS,Darebin,209011199,Heidelberg West
195,3081,HEIDELBERG RGH,Darebin,209011199,Heidelberg West
196,3081,HEIDELBERG WEST,Darebin,209011199,Heidelberg West
197,3082,MILL PARK,Whittlesea,209041220,Mill Park - North
198,3083,BUNDOORA,Whittlesea,209041217,Bundoora - West
199,3083,KINGSBURY,Whittlesea,209021205,Kingsbury
200,3083,LA TROBE UNIVERSITY,Whittlesea,209021205,Kingsbury
201,3084,BANYULE,Manningham,209011198,Heidelberg - Rosanna
202,3084,EAGLEMONT,Manningham,209011201,Ivanhoe East - Eaglemont
203,3084,HEIDELBERG,Manningham,209011198,Heidelberg - Rosanna
204,3084,ROSANNA,Manningham,209011198,Heidelberg - Rosanna
205,3084,VIEWBANK,Manningham,209011203,Viewbank - Yallambie
206,3085,MACLEOD,Darebin,209021205,Kingsbury
207,3085,MACLEOD WEST,Darebin,209011203,Viewbank - Yallambie
208,3085,YALLAMBIE,Darebin,209011203,Viewbank - Yallambie
209,3086,LA TROBE UNIVERSITY,Darebin,209021205,Kingsbury
210,3087,WATSONIA,Nillumbik,209011204,Watsonia
211,3087,WATSONIA NORTH,Nillumbik,209011204,Watsonia
212,3088,BRIAR HILL,Whittlesea,209011202,Montmorency - Briar Hill
213,3088,GREENSBOROUGH,Whittlesea,209011197,Greensborough
214,3088,SAINT HELENA,Whittlesea,209011197,Greensborough
215,3088,ST HELENA,Whittlesea,209011197,Greensborough
216,3089,DIAMOND CREEK,Nillumbik,209031215,Wattle Glen - Diamond Creek
217,3090,PLENTY,Whittlesea,209031213,Plenty - Yarrambat
218,3091,YARRAMBAT,Whittlesea,209031213,Plenty - Yarrambat
219,3093,LOWER PLENTY,Nillumbik,209011202,Montmorency - Briar Hill
220,3094,MONTMORENCY,Nillumbik,209011202,Montmorency - Briar Hill
221,3095,ELTHAM,Nillumbik,209031209,Eltham
222,3095,ELTHAM NORTH,Nillumbik,209031209,Eltham
223,3095,RESEARCH,Nillumbik,209031214,Research - North Warrandyte
224,3096,WATTLE GLEN,Nillumbik,209031215,Wattle Glen - Diamond Creek
225,3097,BEND OF ISLANDS,Nillumbik,209031212,Panton Hill - St Andrews
226,3097,KANGAROO GROUND,Nillumbik,209031214,Research - North Warrandyte
227,3097,WATSONS CREEK,Nillumbik,209031212,Panton Hill - St Andrews
228,3099,ARTHURS CREEK,Whittlesea,209031212,Panton Hill - St Andrews
229,3099,COTTLES BRIDGE,Whittlesea,209031212,Panton Hill - St Andrews
230,3099,HURSTBRIDGE,Whittlesea,209031210,Hurstbridge
231,3099,NUTFIELD,Whittlesea,209031212,Panton Hill - St Andrews
232,3099,STRATHEWEN,Whittlesea,209031212,Panton Hill - St Andrews
233,3101,COTHAM,Yarra,207011153,Kew
234,3101,KEW,Yarra,207011153,Kew
235,3102,KEW EAST,Yarra,207011154,Kew East
236,3103,BALWYN,Whitehorse,207011147,Balwyn
237,3103,BALWYN EAST,Whitehorse,207011147,Balwyn
238,3103,DEEPDENE,Whitehorse,207011147,Balwyn
239,3103,DEEPDENE DC,Whitehorse,207011147,Balwyn
240,3103,STRADBROKE PARK,Whitehorse,207011154,Kew East
241,3104,BALWYN NORTH,Whitehorse,207011148,Balwyn North
242,3104,GREYTHORN,Whitehorse,207011148,Balwyn North
243,3105,BULLEEN,Manningham,207021156,Bulleen
244,3105,BULLEEN SOUTH,Manningham,207021156,Bulleen
245,3106,TEMPLESTOWE,Nillumbik,207021159,Templestowe
246,3107,TEMPLESTOWE LOWER,Manningham,207021160,Templestowe Lower
247,3108,DONCASTER,Whitehorse,207021157,Doncaster
248,3109,DONCASTER EAST,Whitehorse,207021425,Doncaster East (South)
249,3109,DONCASTER HEIGHTS,Whitehorse,207021425,Doncaster East (South)
250,3109,THE PINES,Whitehorse,207021424,Doncaster East (North)
251,3109,TUNSTALL SQUARE PO,Whitehorse,207021425,Doncaster East (South)
252,3111,DONVALE,Whitehorse,211021261,Donvale - Park Orchards
253,3113,NORTH WARRANDYTE,Nillumbik,209031214,Research - North Warrandyte
254,3113,WARRANDYTE,Nillumbik,211021262,Warrandyte - Wonga Park
255,3114,PARK ORCHARDS,Maroondah,211021261,Donvale - Park Orchards
256,3115,WONGA PARK,Yarra Ranges,211021262,Warrandyte - Wonga Park
257,3116,CHIRNSIDE PARK,Yarra Ranges,211051275,Chirnside Park
258,3121,BURNLEY,Yarra,206071144,Richmond (Vic.)
259,3121,BURNLEY NORTH,Yarra,206071144,Richmond (Vic.)
260,3121,CREMORNE,Yarra,206071144,Richmond (Vic.)
261,3121,RICHMOND,Yarra,206071144,Richmond (Vic.)
262,3121,RICHMOND EAST,Yarra,206071144,Richmond (Vic.)
263,3121,RICHMOND NORTH,Yarra,206071144,Richmond (Vic.)
264,3121,RICHMOND SOUTH,Yarra,206071144,Richmond (Vic.)
265,3121,VICTORIA GARDENS,Yarra,206071144,Richmond (Vic.)
266,3122,AUBURN SOUTH,Yarra,207011152,Hawthorn East
267,3122,GLENFERRIE SOUTH,Yarra,207011151,Hawthorn
268,3122,HAWTHORN,Yarra,207011151,Hawthorn
269,3122,HAWTHORN NORTH,Yarra,207011151,Hawthorn
270,3122,HAWTHORN WEST,Yarra,207011151,Hawthorn
271,3123,AUBURN,Stonnington,207011151,Hawthorn
272,3123,HAWTHORN EAST,Stonnington,207011152,Hawthorn East
273,3124,CAMBERWELL,Whitehorse,207011149,Camberwell
274,3124,CAMBERWELL NORTH,Whitehorse,207011149,Camberwell
275,3124,CAMBERWELL SOUTH,Whitehorse,207011149,Camberwell
276,3124,CAMBERWELL WEST,Whitehorse,207011152,Hawthorn East
277,3124,HARTWELL,Whitehorse,207011149,Camberwell
278,3124,MIDDLE CAMBERWELL,Whitehorse,207011149,Camberwell
279,3125,BENNETTSWOOD,Whitehorse,207031165,Burwood
280,3125,BURWOOD,Whitehorse,207031165,Burwood
281,3125,SURREY HILLS SOUTH,Whitehorse,207011155,Surrey Hills (West) - Canterbury
282,3126,CAMBERWELL EAST,Boroondara,207011155,Surrey Hills (West) - Canterbury
283,3126,CANTERBURY,Boroondara,207011155,Surrey Hills (West) - Canterbury
284,3127,MONT ALBERT,Whitehorse,207031167,Surrey Hills (East) - Mont Albert
