,Postcode,Suburb,LGA,SA2_code,SA2_name
285,3127,SURREY HILLS,Whitehorse,207011155,Surrey Hills (West) - Canterbury
286,3127,SURREY HILLS NORTH,Whitehorse,207011155,Surrey Hills (West) - Canterbury
287,3128,BOX HILL,Whitehorse,207031163,Box Hill
288,3128,BOX HILL CENTRAL,Whitehorse,207031163,Box Hill
289,3128,BOX HILL SOUTH,Whitehorse,207031163,Box Hill
290,3128,HOUSTON,Whitehorse,207031163,Box Hill
291,3128,WATTLE PARK,Whitehorse,207031165,Burwood
292,3129,BOX HILL NORTH,Whitehorse,207031164,Box Hill North
293,3129,KERRIMUIR,Whitehorse,207031164,Box Hill North
294,3129,MONT ALBERT NORTH,Whitehorse,207031164,Box Hill North
295,3130,BLACKBURN,Whitehorse,207031161,Blackburn
296,3130,BLACKBURN NORTH,Whitehorse,207031161,Blackburn
297,3130,BLACKBURN SOUTH,Whitehorse,207031162,Blackburn South
298,3130,LABURNUM,Whitehorse,207031161,Blackburn
299,3131,BRENTFORD SQUARE,Whitehorse,211041269,Forest Hill
300,3131,FOREST HILL,Whitehorse,211041269,Forest Hill
301,3131,NUNAWADING,Whitehorse,211041271,Nunawading
302,3132,MITCHAM,Whitehorse,211041270,Mitcham (Vic.)
303,3132,MITCHAM NORTH,Whitehorse,211041270,Mitcham (Vic.)
304,3132,RANGEVIEW,Whitehorse,211021261,Donvale - Park Orchards
305,3133,VERMONT,Whitehorse,211041272,Vermont
306,3133,VERMONT SOUTH,Whitehorse,211041273,Vermont South
307,3134,HEATHWOOD,Whitehorse,211031267,Ringwood East
308,3134,RINGWOOD,Whitehorse,211031266,Ringwood
309,3134,RINGWOOD NORTH,Whitehorse,211031268,Ringwood North
310,3134,WARRANDYTE SOUTH,Whitehorse,211021262,Warrandyte - Wonga Park
311,3134,WARRANWOOD,Whitehorse,211031265,Croydon Hills - Warranwood
312,3135,BEDFORD ROAD,Maroondah,211031267,Ringwood East
313,3135,HEATHMONT,Maroondah,211031267,Ringwood East
314,3135,RINGWOOD EAST,Maroondah,211031267,Ringwood East
315,3136,CROYDON,Yarra Ranges,211031451,Croydon - West
316,3136,CROYDON HILLS,Yarra Ranges,211031265,Croydon Hills - Warranwood
317,3136,CROYDON NORTH,Yarra Ranges,211031265,Croydon Hills - Warranwood
318,3136,CROYDON SOUTH,Yarra Ranges,211031452,Croydon South
319,3137,KILSYTH,Yarra Ranges,211051277,Kilsyth
320,3137,KILSYTH SOUTH,Yarra Ranges,211031263,Bayswater North
321,3138,MOOROOLBARK,Yarra Ranges,211051281,Mooroolbark
322,3139,BEENAK,Yarra Ranges,211051286,Yarra Valley
323,3139,DON VALLEY,Yarra Ranges,211051286,Yarra Valley
324,3139,HODDLES CREEK,Yarra Ranges,211051286,Yarra Valley
325,3139,LAUNCHING PLACE,Yarra Ranges,211051286,Yarra Valley
326,3139,SEVILLE,Yarra Ranges,211051285,Wandin - Seville
327,3139,SEVILLE EAST,Yarra Ranges,211051285,Wandin - Seville
328,3139,WANDIN EAST,Yarra Ranges,211051285,Wandin - Seville
329,3139,WANDIN NORTH,Yarra Ranges,211051285,Wandin - Seville
330,3139,WOORI YALLOCK,Yarra Ranges,211051286,Yarra Valley
331,3139,YELLINGBO,Yarra Ranges,211051286,Yarra Valley
332,3140,LILYDALE,Yarra Ranges,211051278,Lilydale - Coldstream
333,3141,CHAPEL STREET NORTH,Yarra,206061137,South Yarra - East
334,3141,DOMAIN ROAD PO,Yarra,206041125,South Yarra - West
335,3141,SOUTH YARRA,Yarra,206061137,South Yarra - East
336,3142,HAWKSBURN,Yarra,206061137,South Yarra - East
337,3142,TOORAK,Yarra,206061138,Toorak
338,3143,ARMADALE,Stonnington,206061135,Armadale
339,3143,ARMADALE NORTH,Stonnington,206061135,Armadale
340,3144,KOOYONG,Stonnington,208041194,Malvern - Glen Iris
341,3144,MALVERN,Stonnington,208041194,Malvern - Glen Iris
342,3144,MALVERN NORTH,Stonnington,208041194,Malvern - Glen Iris
343,3145,CAULFIELD EAST,Stonnington,208021177,Caulfield - North
344,3145,CENTRAL PARK,Stonnington,208041195,Malvern East
345,3145,DARLING,Stonnington,208041195,Malvern East
346,3145,DARLING SOUTH,Stonnington,208041195,Malvern East
347,3145,MALVERN EAST,Stonnington,208041195,Malvern East
348,3145,WATTLETREE ROAD PO,Stonnington,208041194,Malvern - Glen Iris
349,3146,GLEN IRIS,Whitehorse,208041194,Malvern - Glen Iris
350,3147,ASHBURTON,Stonnington,207011146,Ashburton (Vic.)
351,3147,ASHWOOD,Stonnington,212051319,Ashwood - Chadstone
352,3148,CHADSTONE,Stonnington,212051319,Ashwood - Chadstone
353,3148,CHADSTONE CENTRE,Stonnington,208041195,Malvern East
354,3148,HOLMESGLEN,Stonnington,212051319,Ashwood - Chadstone
355,3148,JORDANVILLE,Stonnington,212051323,Mount Waverley - North
356,3149,MOUNT WAVERLEY,Whitehorse,212051324,Mount Waverley - South
357,3149,PINEWOOD,Whitehorse,212051324,Mount Waverley - South
358,3149,SYNDAL,Whitehorse,212051322,Glen Waverley - West
359,3150,BRANDON PARK,Whitehorse,212051327,Wheelers Hill
360,3150,GLEN WAVERLEY,Whitehorse,212051321,Glen Waverley - East
361,3150,WHEELERS HILL,Whitehorse,212051327,Wheelers Hill
362,3151,BURWOOD EAST,Whitehorse,207031166,Burwood East
363,3151,BURWOOD HEIGHTS,Whitehorse,207031166,Burwood East
364,3152,KNOX CITY CENTRE,Whitehorse,211011260,Wantirna South
365,3152,STUDFIELD,Whitehorse,211011260,Wantirna South
366,3152,WANTIRNA,Whitehorse,211011259,Wantirna
367,3152,WANTIRNA SOUTH,Whitehorse,211011260,Wantirna South
368,3153,BAYSWATER,Yarra Ranges,211011251,Bayswater
369,3153,BAYSWATER NORTH,Yarra Ranges,211031263,Bayswater North
370,3154,THE BASIN,Yarra Ranges,211011449,The Basin
371,3155,BORONIA,Yarra Ranges,211011446,Boronia
372,3156,FERNTREE GULLY,Yarra Ranges,211011447,Ferntree Gully (North)
373,3156,LYSTERFIELD,Yarra Ranges,211011255,Lysterfield
374,3156,LYSTERFIELD SOUTH,Yarra Ranges,212021453,Endeavour Hills - North
375,3156,MOUNTAIN GATE,Yarra Ranges,211011448,Ferntree Gully (South) - Upper Ferntree Gully
376,3156,UPPER FERNTREE GULLY,Yarra Ranges,211011448,Ferntree Gully (South) - Upper Ferntree Gully
377,3158,UPWEY,Yarra Ranges,211051284,Upwey - Tecoma
378,3159,MENZIES CREEK,Yarra Ranges,211051274,Belgrave - Selby
379,3159,SELBY,Yarra Ranges,211051274,Belgrave - Selby
380,3160,BELGRAVE,Yarra Ranges,211051274,Belgrave - Selby
381,3160,BELGRAVE HEIGHTS,Yarra Ranges,211051274,Belgrave - Selby
382,3160,BELGRAVE SOUTH,Yarra Ranges,211051274,Belgrave - Selby
383,3160,TECOMA,Yarra Ranges,211051284,Upwey - Tecoma
384,3161,CAULFIELD JUNCTION,Stonnington,208021177,Caulfield - North
385,3161,CAULFIELD NORTH,Stonnington,208021177,Caulfield - North
386,3162,CAULFIELD,Glen Eira,208021178,Caulfield - South
387,3162,CAULFIELD SOUTH,Glen Eira,208021178,Caulfield - South
388,3162,HOPETOUN GARDENS,Glen Eira,208021179,Elsternwick
389,3163,BOORAN ROAD PO,Stonnington,208021178,Caulfield - South
390,3163,CARNEGIE,Stonnington,208021176,Carnegie
391,3163,GLEN HUNTLY,Stonnington,208021182,Ormond - Glen Huntly
392,3163,MURRUMBEENA,Stonnington,208021181,Murrumbeena
393,3164,DANDENONG SOUTH,Monash,212041311,Dandenong
394,3165,BENTLEIGH EAST,Monash,208021426,Bentleigh East (North)
395,3165,COATESVILLE,Monash,208021426,Bentleigh East (North)
396,3166,HUGHESDALE,Stonnington,208021180,Hughesdale
397,3166,HUNTINGDALE,Stonnington,212051326,Oakleigh - Huntingdale
398,3166,OAKLEIGH,Stonnington,212051326,Oakleigh - Huntingdale
399,3166,OAKLEIGH EAST,Stonnington,212051326,Oakleigh - Huntingdale
400,3167,OAKLEIGH SOUTH,Monash,212051326,Oakleigh - Huntingdale
401,3168,CLAYTON,Monash,212051320,Clayton
402,3168,NOTTING HILL,Monash,212051320,Clayton
403,3169,CLARINDA,Monash,212041309,Clarinda - Oakleigh South
404,3169,CLAYTON SOUTH,Monash,212041310,Clayton South
405,3170,MULGRAVE,Monash,212051325,Mulgrave
406,3170,WAVERLEY GARDENS,Monash,212051325,Mulgrave
407,3171,SANDOWN VILLAGE,Monash,212041317,Springvale
408,3171,SPRINGVALE,Monash,212041317,Springvale
409,3172,DINGLEY VILLAGE,Kingston,212041313,Dingley Village
410,3172,SPRINGVALE SOUTH,Kingston,212041318,Springvale South
411,3173,KEYSBOROUGH,Kingston,212041314,Keysborough
412,3174,NOBLE PARK,Monash,212041460,Noble Park - West
413,3174,NOBLE PARK EAST,Monash,212041460,Noble Park - West
414,3174,NOBLE PARK NORTH,Monash,212041459,Noble Park - East
415,3175,BANGHOLME,Monash,212041314,Keysborough
416,3175,DANDENONG,Monash,212041311,Dandenong
417,3175,DANDENONG EAST,Monash,212041311,Dandenong
