,STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTEUSSP,geometry
109,19859,Bonbeach Railway Station (Bonbeach),-38.062945,145.11968,2,Frankston,POINT (145.11967992 -38.06294499)
110,19860,Chelsea Railway Station (Chelsea),-38.051955,145.116041,2,Frankston,POINT (145.11604104 -38.051955)
111,19861,Edithvale Railway Station (Edithvale),-38.038056,145.108536,2,Frankston,POINT (145.10853612 -38.03805603)
112,19862,Aspendale Railway Station (Aspendale),-38.02722,145.10215,2,Frankston,POINT (145.10215008 -38.02722003)
113,19863,Mordialloc Railway Station (Mordialloc),-38.006583,145.087659,2,Frankston,POINT (145.087659 -38.00658303)
114,19864,Parkdale Railway Station (Parkdale),-37.993079,145.076327,2,Frankston,POINT (145.07632692 -37.99307898)
115,19865,Mentone Railway Station (Mentone),-37.981865,145.065166,2,Frankston,POINT (145.06516584 -37.98186498)
116,19866,Cheltenham Railway Station (Cheltenham),-37.96665,145.054558,2,Frankston,POINT (145.05455808 -37.96665003)
117,19867,Upper Ferntree Gully Railway Station (Upper Ferntree Gully),-37.892672,145.30753,2,Belgrave,POINT (145.30753008 -37.89267201)
118,19868,Ferntree Gully Railway Station (Ferntree Gully),-37.881698,145.295251,2,Belgrave,POINT (145.29525084 -37.88169804)
119,19869,Boronia Railway Station (Boronia),-37.860452,145.284385,2,Belgrave,POINT (145.28438496 -37.86045201)
120,19870,Bayswater Railway Station (Bayswater),-37.84173,145.268136,2,Belgrave,POINT (145.268136 -37.84173003)
121,19871,Heathmont Railway Station (Heathmont),-37.828322,145.244555,2,Belgrave,POINT (145.24455492 -37.82832201)
122,19872,Highett Railway Station (Highett),-37.948425,145.041872,2,Frankston,POINT (145.04187204 -37.94842503)
123,19873,Glen Waverley Railway Station (Glen Waverley),-37.879504,145.162058,2,Glen Waverley,POINT (145.16205804 -37.87950402)
124,19874,Syndal Railway Station (Glen Waverley),-37.87623,145.14978,2,Glen Waverley,POINT (145.14977988 -37.87623)
125,19875,Mount Waverley Railway Station (Mount Waverley),-37.875255,145.128056,2,Glen Waverley,POINT (145.12805604 -37.87525503)
126,19876,Lilydale Railway Station (Lilydale),-37.755518,145.34771,2,Lilydale,POINT (145.34771004 -37.75551804)
127,19877,Mooroolbark Railway Station (Mooroolbark),-37.784749,145.312402,2,Lilydale,POINT (145.31240196 -37.78474896)
128,19878,Croydon Railway Station (Croydon),-37.795437,145.280598,2,Lilydale,POINT (145.28059812 -37.795437)
129,19879,Ringwood East Railway Station (Ringwood East),-37.811968,145.250191,2,Lilydale,POINT (145.25019108 -37.81196802)
130,19880,Pakenham Railway Station (Pakenham),-38.080614,145.486379,2,Pakenham,POINT (145.48637916 -38.08061397)
131,19881,Officer Railway Station (Officer),-38.066146,145.410987,2,Pakenham,POINT (145.41098688 -38.06614602)
132,19882,Beaconsfield Railway Station (Beaconsfield),-38.050831,145.366074,2,Pakenham,POINT (145.366074 -38.05083099)
133,19883,Berwick Railway Station (Berwick),-38.040408,145.345726,2,Pakenham,POINT (145.34572608 -38.040408)
134,19884,Narre Warren Railway Station (Narre Warren),-38.027809,145.303969,2,Pakenham,POINT (145.30396896 -38.02780899)
135,19885,Hallam Railway Station (Hallam),-38.01774,145.269777,2,Pakenham,POINT (145.26977688 -38.01773997)
136,19886,Cranbourne Railway Station (Cranbourne),-38.099537,145.280599,2,Cranbourne,POINT (145.28059884 -38.0995370099999)
137,19887,Merinda Park Railway Station (Cranbourne North),-38.079,145.263511,2,Cranbourne,POINT (145.26351108 -38.079)
138,19888,Dandenong Railway Station (Dandenong),-37.989968,145.209725,2,"Pakenham,Cranbourne",POINT (145.20972492 -37.98996804)
139,19889,Yarraman Railway Station (Noble Park),-37.978255,145.1916,2,"Pakenham,Cranbourne",POINT (145.1916 -37.97825499)
140,19890,Noble Park Railway Station (Noble Park),-37.966628,145.176325,2,"Pakenham,Cranbourne",POINT (145.17632484 -37.96662798)
141,19891,Sandown Park Railway Station (Springvale),-37.956505,145.162826,2,"Pakenham,Cranbourne",POINT (145.16282592 -37.95650496)
142,19892,East Camberwell Railway Station (Camberwell),-37.825894,145.06819,1,"Lilydale,Belgrave",POINT (145.06818984 -37.82589399)
143,19893,Canterbury Railway Station (Canterbury),-37.824485,145.081224,"1,2","Lilydale,Belgrave",POINT (145.081224 -37.82448504)
144,19894,Chatham Railway Station (Surrey Hills),-37.8243,145.088648,"1,2","Lilydale,Belgrave",POINT (145.08864792 -37.8243)
145,19895,Surrey Hills Railway Station (Surrey Hills),-37.824148,145.098775,"1,2","Lilydale,Belgrave",POINT (145.09877508 -37.82414799)
146,19896,Mont Albert Railway Station (Mont Albert),-37.819427,145.10553,"1,2","Lilydale,Belgrave",POINT (145.10553012 -37.81942704)
147,19897,Laburnum Railway Station (Blackburn),-37.82078,145.140703,2,"Lilydale,Belgrave",POINT (145.14070284 -37.82078001)
148,19898,Blackburn Railway Station (Blackburn),-37.820071,145.150014,2,"Lilydale,Belgrave",POINT (145.15001388 -37.82007099)
149,19899,Nunawading Railway Station (Nunawading),-37.820428,145.175237,2,"Lilydale,Belgrave",POINT (145.17523692 -37.82042802)
150,19900,Mitcham Railway Station (Mitcham),-37.818087,145.192892,2,"Lilydale,Belgrave",POINT (145.19289204 -37.81808703)
151,19901,Heatherdale Railway Station (Ringwood),-37.818835,145.21355,2,"Lilydale,Belgrave",POINT (145.21354992 -37.81883502)
152,19902,Ringwood Railway Station (Ringwood),-37.81566,145.229474,2,"Lilydale,Belgrave",POINT (145.22947416 -37.81566)
153,19903,Auburn Railway Station (Hawthorn East),-37.822398,145.045844,1,"Belgrave,Lilydale,Alamein",POINT (145.04584392 -37.82239803)
